Depth,A,B,C,D,E,FCA,FCB,FCC,FCD,FCE,CLA,CLB,CLC,CLD,CLE,ELA,ELB,ELC,ELD,ELE
209.9,14.030001,11.91,16.21,15.92,14.899999,15.87438102,13.77973233,17.31354636,16.14453088,16.2978813,16.1527125,14.26379802,17.64789256,15.87516769,16.48353655,13.51119264,11.70376606,15.90955058,15.78696077,14.61676637
209.95,13.82,11.86,16.03,15.94,15.02,15.68699962,13.7314012,17.15720376,16.15506631,16.39500116,15.9882232,14.23111644,17.50770483,15.87632168,16.56323106,13.30068126,12.24777906,15.72480857,15.80790574,14.7384696
210,13.63,11.84,16.01,16.01,15.150001,15.50345174,13.70117539,17.13528876,16.21191124,16.50039474,15.77010528,14.22385469,17.4803969,15.92105093,16.66504835,13.10945254,12.32276645,15.70398964,15.87762178,14.87009678
210.05,13.479999,11.83,16.17,16.15,15.300001,15.35595746,13.66519518,17.25715248,16.32548441,16.61357642,15.57873936,14.18294363,17.58702236,16.03558172,16.75428377,12.95755073,12.30923522,15.86513802,16.01860523,15.02084382
210.1,13.36,11.88,16.46,16.34,15.39,15.24043998,13.6873253,17.48815223,16.47024747,16.68483563,15.45118205,14.18209333,17.79474138,16.17527661,16.81201556,12.83546449,12.35249204,16.15921484,16.21111477,15.10929763
210.15,13.2699995,11.96,16.81,16.54,15.4,15.16807694,13.73381088,17.75969192,16.63112817,16.68778103,15.37866502,14.2151837,18.04783099,16.33923748,16.79263307,12.74941747,11.72429517,16.51272435,16.41426948,15.12016789
210.2,13.2,12.06,17.22,16.69,15.31,15.12459057,13.80049037,18.0744533,16.74183314,16.61633458,15.34176059,14.27230994,18.34216917,16.44169477,16.70920766,12.68542311,12.52025624,16.92522482,16.56724095,15.03087343
210.25,13.15,12.09,17.75,16.75,15.210001,15.08555487,13.80550298,18.48596906,16.78745878,16.53612495,15.31610149,14.27958656,18.7265316,16.47377295,16.61199844,12.63660887,11.84997208,17.45965619,16.62820336,14.93351037
210.3,13.1,12.05,18.51,16.64,15.119999,15.05295133,13.75501117,19.08290875,16.69156615,16.46575069,15.29819453,14.23292853,19.26740596,16.35832614,16.5228112,12.58659987,11.80685239,18.22845191,16.517488,14.84491749
210.35,13.05,11.95,19.4,16.42,15.09,15.03175429,13.67148324,19.78400107,16.51320936,16.44033133,15.31360053,14.1690363,19.89027958,16.17074558,16.46919179,12.53590961,11.70521469,19.52195791,16.29499916,14.81730792
210.4,13.020001,11.82,20.13,16.15,15.13,15.02580268,13.55562084,20.37830872,16.29288757,16.47036032,15.35275426,14.07859968,20.38955934,15.95439226,16.46553159,12.50514134,11.570513,20.24942223,16.02274409,14.86136545
210.45,13.010001,11.67,20.31,15.95,15.25,15.03140317,13.41577758,20.53082841,16.12694736,16.56519518,15.40349965,13.94435547,20.45170875,15.80120767,16.52141503,12.49509856,11.41499306,20.42325412,15.82110608,14.98705597
210.5,13.04,11.52,19.77,15.85,15.440001,15.06674435,13.28173925,20.09167526,16.03739528,16.72393002,15.46794579,13.81877704,20.00640158,15.72571015,16.66963234,12.52611009,11.25746889,19.87554565,15.72125825,15.18444778
210.55,13.11,11.4,18.66,15.879999,15.61,15.13077346,13.17507704,19.19186164,16.04944222,16.86172926,15.54884768,13.71623404,19.18610519,15.75109778,16.79486835,12.59623701,11.13105874,18.78724443,15.75254632,15.36017522
210.6,13.22,11.31,17.34,16.03,15.759999,15.22551691,13.09083112,18.12773198,16.15928603,16.98173175,15.64981717,13.61866871,18.24839012,15.86650474,16.89244584,12.70740387,11.03782556,17.52968241,15.903952,15.51718912
210.65,13.38,11.26,16.2,16.27,15.84,15.35122397,13.04924368,17.23924537,16.34424501,17.04851186,15.74411544,13.54653734,17.47573376,16.05086824,16.93741162,12.86801351,10.98715128,16.44946691,16.14540532,15.60199982
210.7,13.57,11.23,15.34,16.56,15.91,15.50882395,13.04424816,16.57537533,16.5719516,17.10631591,15.875849,13.54742257,16.92468369,16.27332531,16.95906512,13.05852441,10.95831761,15.0321572,16.43734683,16.19745319
210.75,13.82,11.25,14.79,16.73,15.989999,15.70632663,13.07784842,16.15318598,16.70509051,17.1779426,16.02161047,13.57893945,16.56251603,16.38877327,17.01244445,13.31060241,10.97904369,14.47952331,16.60856139,16.40917034
210.8,14.07,11.32,14.44,16.71,16.12,15.90207732,13.15567398,15.88479554,16.68386715,17.28451558,16.17412704,13.64138155,16.36366958,16.35108458,17.09980742,13.56505973,11.89039296,14.12518737,16.58915045,16.50276753
