Depth,RES,DEN,NG,CAL,FCRES,FCDEN,FCNG,FCCAL,CLRES,CLDEN,CLNG,CLCAL,ELRES,ELDEN,ELCG,ELCAL
51.45,13.47,2.27,10.1,162.89001,13.56961884,2.308489065,7.243469766,152.1516233,13.35258328,2.344476667,8.319812165,145.3896506,12.97395192,2.269675014,10.85940515,161.3457442
51.5,13.15,2.27,10.38,162.89001,13.33435533,2.308501348,7.474588743,152.2014628,13.188473,2.344984856,8.458775098,145.3523205,12.6533495,2.269613764,11.09143517,163.0083522
51.55,12.87,2.27,10.7,163.77998,13.11550842,2.308273039,7.682850447,152.9467872,13.02501679,2.344814358,8.635622424,145.6518364,12.37065459,2.269585726,11.40350054,163.8902876
51.6,12.64,2.27,10.82,164.89,12.92438548,2.307718387,7.706398206,153.8601478,12.87261227,2.344387212,8.741770554,146.1107729,12.13458128,2.269602065,11.51956626,164.9909847
51.65,12.46,2.2800002,10.9,166,12.76918775,2.313593754,7.692825691,154.7720326,12.74462267,2.345690413,8.803503145,146.6062882,11.94850775,2.279943706,11.59790388,166.0922982
51.7,12.34,2.29,10.74,166.22002,12.66729733,2.319501365,7.529894386,154.9786158,12.66664548,2.347661853,8.733850099,146.8652123,11.82266546,2.290289752,11.39986055,166.3247954
51.75,12.3,2.29,10.33,166.44,12.63905159,2.319403232,7.243431213,155.1833364,12.64563324,2.34827198,8.490927199,147.0136059,11.78162767,2.290301168,10.94774441,166.5580259
51.8,12.3,2.3,9.82,166.22002,12.63473839,2.325851243,6.875967806,155.0144635,12.64637949,2.350173993,8.157863103,146.9916195,11.78173358,2.300629207,10.43364839,166.3405103
51.85,12.36,2.31,9.23,166.22002,12.68752319,2.332527696,6.491552041,155.0221117,12.68847681,2.352754892,7.771686388,146.9663353,11.8436606,2.310938286,9.802551641,166.3572149
51.9,12.44,2.31,9.01,166.22002,12.75110324,2.332747895,6.353390741,155.0135997,12.76116155,2.353956589,7.540167638,146.9476152,11.92467517,2.310958948,9.547675815,166.3748913
51.95,12.58,2.32,8.85,166,12.85634358,2.339328419,6.241699265,154.7986575,12.84243031,2.356222128,7.409542648,146.8544867,12.06543005,2.321265758,9.390407337,166.1588873
52,12.76,2.33,8.77,166,13.00154879,2.346008577,6.214265259,154.7638985,12.96240522,2.359071558,7.342600145,146.7966751,12.24675038,2.331561453,9.278673487,166.1764108
52.05,13.05,2.34,8.12,166,13.23176327,2.35259818,5.781772429,154.7266112,13.14864339,2.362145126,7.063278719,146.7608454,12.53801705,2.341867929,8.594789915,166.1937318
52.1,13.39,2.3700001,7.3800006,166,13.50026804,2.372253167,5.293070904,154.6972105,13.40331071,2.36865699,6.667733193,146.7349629,12.88124907,2.372812492,7.823288132,166.2122945
52.15,13.809999,2.39,6.4999995,166,13.84498994,2.385504103,4.74032984,154.7001483,13.7875545,2.375540258,6.19873868,146.732412,13.30488914,2.393463496,6.839695706,166.2603568
52.2,14.23,2.41,5.98,165.78,14.18471335,2.398809312,4.427955344,154.5223135,14.21435273,2.382538815,5.847254767,146.6710237,13.72954154,2.414128386,6.256898314,166.0749907
52.25,14.690001,2.42,5.5,165.33,14.56185074,2.405649254,4.156303602,154.1651951,14.65689564,2.388194851,5.574046999,146.5179467,14.19487311,2.424467573,5.712962694,165.6598089
52.3,15.16,2.43,5.09,164.00002,14.94536241,2.412568904,3.933816755,153.0951449,15.07476942,2.39299219,5.358137144,146.0529568,14.67176253,2.434798883,5.275431533,164.3553044
52.35,15.71,2.45,4.92,163.11,15.40471512,2.426239209,3.92573514,152.3830318,15.5382666,2.39881255,5.232285823,145.612871,15.23290679,2.455387936,5.075752984,163.4873159
52.4,16.31,2.4700003,4.8,164.45,15.90498409,2.439709475,3.947744586,153.4675417,16.07001454,2.405218904,5.162336854,145.9121889,15.84177419,2.475994948,4.894804416,164.8482643
52.45,16.99,2.49,5.14,166.67,16.43934982,2.45234748,4.17196807,155.2461419,16.64982008,2.411258227,5.260287361,146.6860592,16.52204381,2.496713176,5.189445761,167.0835942
52.5,17.66,2.48,4.99,168,16.95456001,2.445261838,4.011968209,156.286643,17.20089824,2.4135491,5.306915376,147.3497636,17.24061115,2.486550595,4.99732089,168.4346224
