50,58.04,58.04,58.04,58.04,58.04
50.05,55.47,55.47,55.47,55.47,55.47
50.1,52.81,52.81,52.81,52.81,52.81
50.15,50.26,50.26,50.26,50.26,50.26
50.2,48.11,48.11,48.11,48.11,48.11
50.25,46.49,46.49,46.49,46.49,46.49
50.3,45.4,45.4,45.4,45.4,45.4
50.35,44.5,44.5,44.5,44.5,44.5
50.4,43.57,43.57,43.57,43.57,43.57
50.45,42.15,42.15,42.15,42.15,42.15
50.5,40.22,40.22,40.22,40.22,40.22
50.55,37.84,37.84,37.84,37.84,37.84
50.6,35.49,35.49,35.49,35.49,35.49
50.65,33.62,33.62,33.62,33.62,33.62
50.7,32.48,32.48,32.48,32.48,32.48
50.75,32.24,32.24,32.24,32.24,32.24
50.8,32.86,32.86,32.86,32.86,32.86
50.85,34.07,34.07,34.07,34.07,34.07
50.9,35.61,35.61,35.61,35.61,35.61
50.95,37.17,37.17,37.17,37.17,37.17
51,38.8,38.8,38.8,38.8,38.8
51.05,40.34,40.34,40.34,40.34,40.34
51.1,41.53,41.53,41.53,41.53,41.53
51.15,41.99,41.99,41.99,41.99,41.99
51.2,41.52,41.52,41.52,41.52,41.52
51.25,40.36,40.36,40.36,40.36,40.36
51.3,38.76,38.76,38.76,38.76,38.76
51.35,37.13,37.13,37.13,37.13,37.13
51.4,35.71,35.71,35.71,35.71,35.71
51.45,34.75,34.75,34.75,34.75,34.75
51.5,34.35,34.35,34.35,34.35,34.35
51.55,34.49,34.49,34.49,34.49,34.49
51.6,35.19,35.19,35.19,35.19,35.19
51.65,36.07,36.07,36.07,36.07,36.07
51.7,36.84,36.84,36.84,36.84,36.84
51.75,37.19,37.19,37.19,37.19,37.19
51.8,37.11,37.11,37.11,37.11,37.11
51.85,36.68,36.68,36.68,36.68,36.68
51.9,35.79,35.79,35.79,35.79,35.79
51.95,34.45,34.45,34.45,34.45,34.45
52,32.71,32.71,32.71,32.71,32.71
52.05,30.9,30.9,30.9,30.9,30.9
52.1,29.32,29.32,29.32,29.32,29.32
52.15,28.07,28.07,28.07,28.07,28.07
52.2,27.09,27.09,27.09,27.09,27.09
52.25,26.23,26.23,26.23,26.23,26.23
52.3,25.42,25.42,25.42,25.42,25.42
52.35,24.78,24.78,24.78,24.78,24.78
52.4,24.71,24.71,24.71,24.71,24.71
52.45,25.45,25.45,25.45,25.45,25.45
52.5,27.19,27.19,27.19,27.19,27.19
52.55,29.15,29.15,29.15,29.15,29.15
52.6,30.87,30.87,30.87,30.87,30.87
52.65,31.91,31.91,31.91,31.91,31.91
52.7,32.55,32.55,32.55,32.55,32.55
52.75,32.96,32.96,32.96,32.96,32.96
52.8,33.43,33.43,33.43,33.43,33.43
52.85,33.99,33.99,33.99,33.99,33.99
