Depth,Dense,Res,Ng,Cal,sTime,Temp,SP,FD3019g,Gamma
4.55,2.2,65535,7.67,162.9,2048,21.49,0,11.45,1.56
4.6,2.21,65535,7.33,162.85,2048,21.49,0,13.09,1.79
4.65,2.23,65535,7.2,162.75,2048,21.49,0,13.91,1.9
4.7,2.23,65535,7.31,162.55,2048,21.49,0,13,1.77
4.75,2.23,65535,7.5,162.31,2048,21.49,0,11.98,1.64
4.8,2.22,65535,7.36,162.04,2048,21.49,0,12.2,1.67
4.85,2.21,65535,7.37,161.81,2048,21.49,0,14.84,2.03
4.9,2.2,65535,7.35,161.57,2048,21.49,0,18.81,2.57
4.95,2.19,65535,7.74,161.39,2048,21.49,0,22.33,3.05
5,2.18,65535,8.02,161.27,2048,21.49,0,24.03,3.28
5.05,2.17,65535,8.15,161.25,2048,21.49,0,24.27,3.31
5.1,2.16,65535,8.23,161.35,2048,21.49,0,24.06,3.28
5.15,2.14,65535,8.28,161.54,2048,21.49,0,24.07,3.29
5.2,2.13,65535,8.7,161.83,2048,21.49,0,23.43,3.2
5.25,2.13,65535,9.6,162.14,2048,21.49,0,22.5,3.07
5.3,2.13,65535,10.46,162.48,2048,21.49,0,21.79,2.97
5.35,2.13,65535,11.21,162.7,2048,21.49,0,22.06,3.01
5.4,2.13,65535,11.33,162.77,2048,21.49,0,22.37,3.05
5.45,2.13,65535,11.31,162.65,2048,21.49,0,21.89,2.99
5.5,2.12,65535,11.53,162.47,2048,21.49,0,20.25,2.76
5.55,2.11,65535,11.77,162.27,2048,21.49,0,18.03,2.46
5.6,2.11,65535,12.26,162.15,2048,21.49,0,16.06,2.19
5.65,2.1,65535,12.41,162.08,2048,21.49,0,15.22,2.08
5.7,2.1,65535,13.13,162.14,2048,21.49,0,15.85,2.16
5.75,2.09,65535,13.71,162.31,2048,21.49,0,17.21,2.35
5.8,2.08,65535,14.37,162.63,2048,21.49,0,18.01,2.46
5.85,2.08,65535,14.22,162.99,2048,21.49,0,18.25,2.49
5.9,2.08,65535,13.92,163.39,2048,21.49,0,19.25,2.63
5.95,2.08,65535,13.63,163.81,2048,21.49,0,21.3,2.91
6,2.09,65535,13.71,164.2,2048,21.49,0,23.11,3.15
6.05,2.09,65535,14.07,164.49,2048,21.49,0,22.28,3.04
6.1,2.09,65535,14.16,164.67,2048,21.49,0,19.08,2.6
6.15,2.1,65535,14.24,164.68,2048,21.49,0,15.47,2.11
6.2,2.1,65535,14.48,164.45,2048,21.49,0,13.71,1.87
6.25,2.1,65535,14.55,163.96,2048,21.49,0,13.84,1.89
6.3,2.11,65535,14.61,163.24,2048,21.49,0,14.51,1.98
6.35,2.11,65535,14.63,162.46,2048,21.49,0,14.07,1.92
6.4,2.12,65535,15.05,161.68,2048,21.49,0,12.52,1.71
6.45,2.11,65535,15.34,161.05,2048,21.49,0,10.72,1.46
6.5,2.11,65535,15.28,160.64,2048,21.49,0,9.45,1.29
6.55,2.1,65535,14.72,160.52,2048,21.49,0,8.83,1.21
6.6,2.09,65535,14,160.46,2048,21.49,0,7.86,1.07
6.65,2.09,65535,13.14,160.29,2048,21.49,0,6.74,0.92
6.7,2.09,65535,13.23,160.02,2048,21.49,0,5.92,0.81
6.75,2.09,65535,13.48,159.84,2048,21.49,0,6.13,0.84
6.8,2.09,65535,13.74,159.75,2048,21.49,0,7.01,0.96
6.85,2.1,65535,13.44,159.7,2048,21.49,0,8.43,1.15
6.9,2.12,65535,13.04,159.54,2048,21.49,0,9.69,1.32
6.95,2.13,65535,12.9,159.32,2048,21.49,0,10.82,1.48
7,2.14,65535,12.79,159.02,2048,21.49,0,11.9,1.62
7.05,2.15,65535,13.34,158.78,2048,21.49,0,13.15,1.79
7.1,2.17,65535,13.83,158.63,2048,21.49,0,14.01,1.91
7.15,2.18,65535,14.43,158.6,2048,21.49,0,13.43,1.83
7.2,2.19,65535,14.65,158.69,2048,21.49,0,11.89,1.62
7.25,2.22,65535,14.42,158.93,2048,21.49,0,10.26,1.4
7.3,2.24,65535,14.21,159.22,2048,21.49,0,9.23,1.26
7.35,2.26,65535,13.93,159.54,2048,21.49,0,8.7,1.19
7.4,2.27,65535,14.43,159.8,2048,21.49,0,8.39,1.15
7.45,2.3,65535,14.67,160.05,2048,21.49,0,8.22,1.12
7.5,2.31,65535,14.42,160.2,2048,21.49,0,8.12,1.11
7.55,2.32,65535,13.62,160.32,2048,21.49,0,8.07,1.1
7.6,2.31,65535,12.81,160.42,2048,21.49,0,8.24,1.12
7.65,2.31,65535,12.49,160.51,2048,21.49,0,9.06,1.24
7.7,2.31,65535,12.26,160.59,2048,21.49,0,10.06,1.37
7.75,2.31,65535,11.75,160.53,2048,21.49,0,10.42,1.42
7.8,2.3,65535,11,160.18,2048,21.49,0,9.3,1.27
7.85,2.29,65535,10.15,159.44,2048,21.49,0,7.14,0.97
7.9,2.27,65535,9.43,158.29,2048,21.49,0,5.49,0.75
7.95,2.26,65535,8.72,157.11,2048,21.49,0,5.73,0.78
8,2.24,65535,8.03,156.15,2048,21.49,0,8.24,1.12
8.05,2.22,65535,7.75,155.64,2048,21.49,0,10.99,1.5
8.1,2.2,65535,7.76,155.48,2048,21.49,0,12.45,1.7
8.15,2.19,65535,7.7,155.78,2048,21.49,0,11.89,1.62
8.2,2.18,65535,7.49,156.7,2048,21.49,0,11.27,1.54
8.25,2.16,65535,7.24,158.06,2048,21.49,0,11.43,1.56
8.3,2.15,65535,7.55,159.44,2048,21.49,0,12.74,1.74
8.35,2.14,65535,7.96,160.48,2048,21.49,0,13.63,1.86
8.4,2.13,65535,8.7,161.28,2048,21.49,0,13.28,1.81
8.45,2.12,65535,9.13,161.95,2048,21.49,0,10.98,1.5
8.5,2.11,65535,9.57,162.43,2048,21.49,0,7.65,1.04
8.55,2.1,65535,9.74,162.61,2048,21.49,0,5.73,0.78
8.6,2.1,65535,9.66,162.61,2048,21.49,0,5.88,0.8
8.65,2.1,65535,9.48,162.65,2048,21.49,0,7.92,1.08
8.7,2.09,65535,9.63,162.74,2048,21.49,0,8.96,1.22
8.75,2.08,65535,10.22,162.81,2048,21.49,0,8.78,1.2
8.8,2.08,65535,11.37,162.85,2048,21.49,0,6.55,0.89
8.85,2.08,65535,12.32,162.91,2048,21.49,0,4.27,0.58
8.9,2.09,65535,12.94,163.02,2048,21.49,0,2.16,0.29
8.95,2.1,65535,13.05,163.32,2048,21.49,0,1.29,0.18
9,2.11,65535,13,163.76,2048,21.49,0,1.29,0.18
9.05,2.12,65535,12.81,164.22,2048,21.49,0,2.72,0.37
9.1,2.13,65535,12.76,164.44,2048,21.49,0,5.8,0.79
9.15,2.13,65535,12.71,164.49,2048,21.49,0,9.3,1.27
9.2,2.13,65535,12.7,164.5,2048,21.49,0,12.22,1.67
9.25,2.13,65535,12.48,164.6,2048,21.49,0,13.91,1.9
9.3,2.14,65535,12.24,164.8,2048,21.49,0,15.43,2.11
9.35,2.15,65535,12.14,165.04,2048,21.49,0,17.27,2.36
9.4,2.16,65535,11.88,165.26,2048,21.49,0,19.14,2.61
9.45,2.16,65535,11.6,165.3,2048,21.49,0,20.28,2.77
9.5,2.16,65535,11.5,165.22,2048,21.49,0,20.48,2.8
9.55,2.16,65535,11.62,164.95,2048,21.49,0,20.35,2.78
9.6,2.16,65535,11.82,164.61,2048,21.49,0,18.37,2.51
9.65,2.16,65535,11.89,164.23,2048,21.49,0,14.94,2.04
9.7,2.16,65535,11.94,163.9,2048,21.49,0,10.66,1.46
