Depth,Dense,Res,Ng,Cal,sTime,Temp,SP,FD3019g,Gamma
0,0.84,0,0,0,0,0,0,0,0
0.05,0.84,0,0,0,0,0,0,0,0
0.1,0.84,0,0,0,0,0,0,0,0
0.15,0.84,0,0,0,0,0,0,0,0
0.2,0.84,0,0,0,0,0,0,0,0
0.25,0.84,0,0,0,0,21.49,0,0,0
0.3,0.84,0,0,0,0,21.49,0,0,0
0.35,0.84,0,0,0,0,21.49,0,0,0
0.4,0.84,0,0,0,0,21.49,0,0,0
0.45,0.84,0,0,0,0,21.49,0,0,0
0.5,0.84,0,0,0,0,21.49,0,0,0
0.55,0.84,0,11,0,0,21.49,0,0,0
0.6,0.84,0,12,0,0,21.49,0,0,0
0.65,0.84,0,10.4,0,0,21.49,0,0,0
0.7,0.84,0,10.08,0,0,21.49,0,0,0
0.75,0.84,0,9.5,0,0,21.49,0,0,0
0.8,0.84,0,9.72,0,0,21.49,0,0,0
0.85,0.84,0,10.24,0,0,21.49,0,0,0
0.9,0.84,0,11.39,0,0,21.49,0,0,0
0.95,0.84,0,12.33,0,0,21.49,0,0,0
1,0.84,0,12.54,0,0,21.49,0,0,0
1.05,0.84,0,12.17,0,0,21.49,0,0,0
1.1,0.84,0,11.34,0,0,21.49,0,0,0
1.15,0.84,0,10.9,0,0,21.49,0,0,0
1.2,0.84,0,10.65,0,0,21.49,0,0,0
1.25,0.84,0,11.11,0,0,21.49,0,0,0
1.3,0.84,0,11.95,0,0,21.49,0,0,0
1.35,0.84,0,13.01,0,0,21.49,0,0,0
1.4,0.84,0,14.39,0,0,21.49,0,0,0
1.45,0.84,0,14.88,0,2049,21.49,0,0,0
1.5,0.84,0,15.46,0,2049,21.49,0,0,0
1.55,0.84,65535,15.47,0,2049,21.49,0,0,0
1.6,0.84,65535,15.38,0,2049,21.49,0,0,0
1.65,0.84,65535,15.17,0,2049,21.49,0,0,0
1.7,0.84,65535,14.71,0,2049,21.49,0,0,0
1.75,0.84,65535,14.58,0,2049,21.49,0,0,0
1.8,0.84,65535,14.26,0,2049,21.49,0,10,1.37
1.85,0.84,65535,14.17,0,2049,21.49,0,20,2.73
1.9,0.84,65535,14.29,0,2049,21.49,0,12.8,1.75
1.95,0.84,65535,14.29,0,2049,21.49,0,12.96,1.77
2,0.84,65535,14.32,0,2049,21.49,0,12.75,1.74
2.05,0.84,65535,13.52,0,2049,21.49,0,14.54,1.98
2.1,0.84,65535,12.97,0,2049,21.49,0,17.66,2.41
2.15,0.84,65535,11.9,0,2049,21.49,0,18.24,2.49
2.2,0.84,65535,12.17,0,2049,21.49,0,15.98,2.18
2.25,0.84,65535,11.41,0,2049,21.49,0,12.84,1.75
2.3,0.84,65535,11.12,0,2049,21.49,0,10.57,1.44
2.35,0.84,65535,9.91,0,2049,21.49,0,9.88,1.35
2.4,0.84,65535,10.01,0,2049,21.49,0,10.49,1.43
2.45,0.84,65535,9.98,0,2049,21.49,0,12.07,1.65
2.5,0.89,65535,9.8,0,2049,21.49,0,13.51,1.84
2.55,1,65535,9.16,0,2049,21.49,0,13.92,1.9
2.6,1.25,65535,8.99,0,2049,21.49,0,13.69,1.87
2.65,1.49,65535,9.03,0,2049,21.49,0,13.92,1.9
2.7,1.69,65535,9.2,168.44,2049,21.49,0,14.52,1.98
2.75,1.77,65535,9.25,168.44,2049,21.49,0,15.29,2.09
2.8,1.83,65535,9.69,168.44,2049,21.49,0,15.56,2.12
2.85,1.86,65535,10.19,168.66,2049,21.49,0,15.77,2.15
2.9,1.88,65535,10.78,168.89,2049,21.49,0,15.47,2.11
2.95,1.89,65535,10.59,169.11,2049,21.49,0,14.45,1.97
3,1.9,65535,10.27,169.11,2049,21.49,0,12.38,1.69
3.05,1.91,65535,9.97,169.33,2049,21.49,0,10.37,1.42
3.1,1.92,65535,10.25,169.55,2049,21.49,0,8.75,1.19
3.15,1.93,65535,10.65,170,2049,21.49,0,8.22,1.12
3.2,1.94,65535,10.78,170,2049,21.49,0,8,1.09
3.25,1.96,71610.65,10.89,170,2049,21.49,0,8.04,1.1
3.3,1.97,72558.93,10.93,169.77,2049,21.49,0,8.01,1.09
3.35,1.97,68553.04,10.96,169.77,2049,21.49,0,8.01,1.09
3.4,1.98,54256.25,10.58,169.77,2049,21.49,0,8,1.09
3.45,1.99,41260.95,10.11,170,2049,21.49,0,8,1.09
3.5,1.99,30675.53,9.34,170.22,2049,21.49,0,8,1.09
3.55,2,22064.6,9.29,170.44,2049,21.49,0,8,1.09
3.6,2.01,15848.9,9.33,170.66,2049,21.49,0,7.8,1.06
3.65,2.01,10999.69,9.52,170.66,2049,21.49,0,7.16,0.98
3.7,2.02,7658.72,9.57,170.88,2049,21.49,0,6.19,0.84
3.75,2.02,5215.1,9.22,171.55,2049,21.49,0,5.47,0.75
3.8,2.02,3566.02,8.96,172.22,2049,21.49,0,5.53,0.75
3.85,2.02,2402.69,9.04,172.88,2049,21.49,0,6.2,0.85
3.9,2.03,1594.3,9.4,173.55,2049,21.49,0,6.95,0.95
3.95,2.04,1064.08,9.89,174.21,2049,21.49,0,7.43,1.01
4,2.06,715.46,9.86,174.21,2049,21.49,0,7.68,1.05
4.05,2.08,510.7,9.95,174.44,2049,21.49,0,7.42,1.01
4.1,2.09,393.95,10.36,174.88,2049,21.49,0,6.62,0.9
4.15,2.1,335.27,10.66,174.88,2049,21.49,0,5.61,0.77
4.2,2.1,308.36,11.01,174.88,2049,21.49,0,4.85,0.66
4.25,2.1,299.49,10.93,174.66,2049,21.49,0,4.49,0.61
4.3,2.1,299.39,10.99,174.44,2049,21.49,0,4.27,0.58
4.35,2.12,304.28,10.98,173.77,2049,21.49,0,4.55,0.62
4.4,2.14,311.35,11.19,173.1,2049,21.49,0,5.36,0.73
4.45,2.17,319.53,10.64,173.1,2049,21.49,0,6.38,0.87
4.5,2.2,328.44,9.97,173.33,2049,21.49,0,7.15,0.98
4.55,2.22,336.92,8.92,171.99,2049,21.49,0,7.11,0.97
4.6,2.25,345.37,8.58,171.55,2049,21.49,0,6.45,0.88
4.65,2.26,353.82,8.3,170.44,2049,21.49,0,5.71,0.78
4.7,2.27,361.91,7.98,169.77,2049,21.49,0,6.03,0.82
4.75,2.28,369.77,7.46,169.77,2049,21.49,0,7.75,1.06
4.8,2.29,377.57,6.89,169.77,2049,21.49,0,10.56,1.44
4.85,2.29,385.52,6.47,169.77,2049,21.49,0,13.46,1.84
4.9,2.28,392.52,6.07,169.55,2049,21.49,0,15.8,2.16
4.95,2.28,397.31,5.71,169.11,2049,21.49,0,17.25,2.35
5,2.27,401.54,4.96,168.66,2049,21.49,0,17.41,2.38
5.05,2.26,411.56,4.33,168.44,2049,21.49,0,16.73,2.28
5.1,2.26,431.08,3.66,168.22,2049,21.49,0,15.03,2.05
5.15,2.26,466.06,3.8,168,2049,21.49,0,12.95,1.77
5.2,2.26,507.1,4.29,167.78,2049,21.49,0,11,1.5
5.25,2.25,543.76,5.02,167.11,2049,21.49,0,10.39,1.42
5.3,2.25,554.32,5.26,166.44,2049,21.49,0,11.88,1.62
5.35,2.25,541.65,5.46,165.78,2049,21.49,0,15.25,2.08
5.4,2.25,513.96,5.54,165.78,2049,21.49,0,19.03,2.6
5.45,2.25,487.41,5.8,165.78,2049,21.49,0,22.06,3.01
5.5,2.25,466.41,5.87,165.78,2049,21.49,0,22.62,3.09
5.55,2.24,453.26,5.93,165.78,2049,21.49,0,20.93,2.86
5.6,2.24,450.28,5.96,165.56,2049,21.49,0,17.11,2.34
5.65,2.24,456.49,6.18,165.11,2049,21.49,0,13.81,1.89
5.7,2.24,469.15,6.43,164.22,2049,21.49,0,11.78,1.61
5.75,2.23,482.98,6.92,163.34,2049,21.49,0,11.92,1.63
5.8,2.22,493.63,7.27,162.45,2049,21.49,0,12.94,1.77
5.85,2.21,497.55,7.64,161.78,2049,21.49,0,14.17,1.93
5.9,2.22,495.21,7.78,161.34,2049,21.49,0,14.42,1.97
5.95,2.22,488.28,7.68,160.67,2049,21.49,0,13.52,1.85
6,2.23,480.17,7.49,160.45,2049,21.49,0,11.79,1.61
6.05,2.23,471.5,7.24,160.01,2049,21.49,0,10.86,1.48
6.1,2.23,461.06,7.15,159.56,2049,21.49,0,11.13,1.52
6.15,2.24,450.76,7.08,159.34,2049,21.49,0,12.6,1.72
6.2,2.24,441.71,7.04,159.12,2049,21.49,0,13.95,1.9
6.25,2.25,435,6.82,159.12,2049,21.49,0,13.71,1.87
6.3,2.24,428.93,6.17,158.9,2049,21.49,0,11.93,1.63
6.35,2.24,423.18,5.4,158.67,2049,21.49,0,9.13,1.25
6.4,2.23,420.77,4.72,158.45,2049,21.49,0,7.61,1.04
6.45,2.23,423.1,5.02,158.01,2049,21.49,0,7.15,0.98
6.5,2.21,432.02,5.55,157.56,2049,21.49,0,7.55,1.03
6.55,2.2,444.69,6.51,157.56,2049,21.49,0,7.74,1.06
6.6,2.19,458.39,7.01,157.56,2049,21.49,0,7.86,1.07
6.65,2.19,463.97,7.51,157.56,2049,21.49,0,7.92,1.08
6.7,2.19,459.28,7.5,157.56,2049,21.49,0,7.96,1.09
6.75,2.2,445.44,7.4,157.79,2049,21.49,0,8.58,1.17
6.8,2.2,431.51,7.18,158.01,2049,21.49,0,9.71,1.33
6.85,2.2,421.46,7.32,158.45,2049,21.49,0,11.66,1.59
6.9,2.21,416.86,7.9,158.67,2049,21.49,0,13.87,1.89
6.95,2.22,416.73,8.64,158.67,2049,21.49,0,16.11,2.2
7,2.23,422.19,9.31,158.9,2049,21.49,0,17.6,2.4
7.05,2.24,431.26,8.99,159.12,2049,21.49,0,17.14,2.34
7.1,2.24,442.1,8.46,159.12,2027.4,21.49,0,15.35,2.1
7.15,2.25,450.95,7.49,159.78,1978.88,21.49,0,12.7,1.73
7.2,2.25,456.36,6.99,160.89,1886.46,21.49,0,10.81,1.48
7.25,2.25,456.57,6.5,162.89,1789.07,21.49,0,9.5,1.3
7.3,2.25,452.45,6.7,164.67,1703.31,21.49,0,8.86,1.21
7.35,2.26,446.68,7.04,164.89,1652.47,21.49,0,8.47,1.16
7.4,2.26,443.87,7.75,164.89,1623.16,21.49,0,8.27,1.13
7.45,2.27,443.87,8.16,164.67,1605.73,21.49,0,8.15,1.11
7.5,2.27,445.45,8.58,164.67,1595.78,21.49,0,8.28,1.13
7.55,2.28,447.39,8.35,164.67,1589.5,21.49,0,9.09,1.24
7.6,2.28,450.32,7.99,164.45,1586.06,21.49,0,10.47,1.43
7.65,2.28,454.64,7.47,163.78,1583.11,21.49,0,12.31,1.68
7.7,2.29,458.31,7.49,162.23,1581.23,21.49,0,13.76,1.88
7.75,2.3,460.55,7.59,161.56,1579.47,21.49,0,14.81,2.02
7.8,2.31,461.88,7.82,161.56,1578.54,21.49,0,15.71,2.14
7.85,2.32,463.95,7.88,161.56,1577.4,21.49,0,16.91,2.31
7.9,2.32,467.5,8.14,161.78,1576.59,21.49,0,18.72,2.56
7.95,2.32,471.82,8.4,162.23,1575.6,21.49,0,20.53,2.8
8,2.31,475.98,8.51,162.45,1575.24,21.49,0,21.85,2.98
8.05,2.3,479.52,8.78,162.67,1574.77,21.49,0,22.08,3.01
8.1,2.29,485.06,9.06,162.67,1574.4,21.49,0,21.19,2.89
8.15,2.28,497.47,9.37,162.89,1573.63,21.49,0,20.05,2.74
8.2,2.27,514.33,9.09,163.11,1572.81,21.49,0,19.45,2.65
8.25,2.27,528.5,8.69,163.56,1572.09,21.49,0,20.1,2.74
8.3,2.26,526.56,8.36,163.78,1571.58,21.49,0,21.31,2.91
8.35,2.25,511.32,8.41,163.78,1571.13,21.49,0,22.48,3.07
8.4,2.24,488.35,8.55,164,1570.74,21.49,0,21.96,3
8.45,2.24,468.95,8.79,164.89,1569.98,21.49,0,20.29,2.77
8.5,2.23,454.85,8.67,165.56,1569.14,21.49,0,17.25,2.35
8.55,2.23,446.96,8.49,166.22,1567.82,21.49,0,14.91,2.04
8.6,2.23,443.16,8.63,166.89,1566.79,21.49,0,13.23,1.81
8.65,2.23,441.88,9.03,167.33,1565.72,21.49,0,12.63,1.72
8.7,2.23,440.85,9.53,168,1565.1,21.49,0,12.37,1.69
8.75,2.22,439.33,10.51,168.44,1564.37,21.49,0,11.8,1.61
8.8,2.22,435.74,11.81,168.89,1563.89,21.49,0,10.83,1.48
8.85,2.22,430.02,13.26,169.55,1563.45,21.49,0,9.73,1.33
