Depth,Dense,Res,Ng,Cal,SP
56.35,2.14,13.77,9.67,175.06,-197.93
56.4,2.13,13.15,10.19,176.71,-197.94
56.45,2.12,12.55,10.77,177.9,-197.82
56.5,2.11,12.03,10.79,178.6,-197.63
56.55,2.11,11.55,10.71,179.07,-197.49
56.6,2.11,11.02,10.7,179.35,-197.53
56.65,2.11,10.5,10.88,179.45,-197.81
56.7,2.1,10.01,11.12,179.35,-198.29
56.75,2.09,9.65,10.8,179.04,-198.93
56.8,2.08,9.4,10.58,178.74,-199.67
56.85,2.07,9.25,10.28,178.44,-200.56
56.9,2.07,9.16,10.37,178.1,-201.62
56.95,2.07,9.12,10.13,177.48,-202.85
57,2.07,9.12,9.9,176.62,-204.08
57.05,2.07,9.14,9.41,175.7,-205.1
57.1,2.09,9.17,9.26,174.86,-205.71
57.15,2.11,9.21,9.33,174.15,-205.92
57.2,2.12,9.27,9.32,173.53,-205.89
57.25,2.13,9.34,9.33,173.09,-205.9
57.3,2.13,9.45,8.93,172.74,-206.2
57.35,2.14,9.56,9.05,172.54,-206.85
57.4,2.16,9.67,9.2,172.34,-207.8
57.45,2.18,9.76,9.85,172.26,-208.73
57.5,2.2,9.81,10.41,172.25,-209.35
57.55,2.23,9.83,11.05,172.41,-209.42
57.6,2.25,9.85,11.69,172.62,-208.89
57.65,2.28,9.85,11.95,172.87,-207.82
57.7,2.28,9.9,12.13,173.05,-206.29
57.75,2.29,9.97,12.22,173.23,-204.5
57.8,2.3,10.1,12.07,173.34,-202.65
57.85,2.3,10.27,11.86,173.4,-201.11
57.9,2.3,10.45,11.99,173.3,-200.17
57.95,2.3,10.6,12.37,173.03,-199.92
58,2.29,10.74,12.87,172.46,-200.2
58.05,2.28,10.9,13.25,171.72,-200.66
58.1,2.26,11.04,13.82,170.83,-201.09
58.15,2.25,11.12,14.21,170.06,-201.44
58.2,2.24,11.12,14.01,169.42,-201.9
58.25,2.23,11.05,13.64,169.05,-202.7
58.3,2.22,10.91,13.73,168.98,-203.98
58.35,2.21,10.75,14.08,169.34,-205.7
58.4,2.21,10.61,14.56,170.02,-207.52
58.45,2.2,10.48,14.73,170.84,-209.12
58.5,2.2,10.37,14.66,171.59,-210.08
58.55,2.19,10.22,14.48,172.08,-210.29
