Depth,Dense,Res,Ng,Cal,SP
124.2,2.41,24.19,12.18,138.14,-278.74
124.25,2.42,25.39,13.16,137.31,-277.42
124.3,2.42,26.84,14.07,136.26,-277.15
124.35,2.43,28.54,14.65,135.05,-277.72
124.4,2.44,30.87,14.94,133.71,-278.53
124.45,2.44,33.5,15.32,132.66,-279.1
124.5,2.44,36.07,15.65,131.92,-279.19
124.55,2.45,37.74,16.39,131.47,-278.93
124.6,2.45,38.36,17.21,131.1,-278.75
124.65,2.44,37.88,18.52,130.8,-278.95
124.7,2.43,36.83,19.35,130.58,-279.69
124.75,2.42,35.69,20.17,130.48,-280.86
124.8,2.41,34.99,20.5,130.54,-282.38
124.85,2.41,34.63,20.74,130.71,-284.14
124.9,2.41,34.35,21.45,131.07,-286.08
124.95,2.4,33.91,22.24,131.58,-287.97
125,2.4,33.31,22.74,132.33,-289.44
125.05,2.39,32.66,22.6,133.11,-290.06
125.1,2.38,32.07,22.27,133.91,-289.64
125.15,2.38,31.65,21.77,134.58,-288.48
125.2,2.38,31.46,20.81,135.18,-287.19
125.25,2.39,31.48,19.72,135.66,-286.6
125.3,2.39,31.59,18.71,136.05,-287.06
125.35,2.4,31.53,18.08,136.32,-288.66
125.4,2.4,31.17,17.56,136.45,-290.89
125.45,2.41,30.33,16.93,136.48,-293.19
125.5,2.42,29.2,15.9,136.42,-294.89
125.55,2.44,27.91,14.77,136.38,-295.69
125.6,2.45,26.86,14.13,136.31,-295.49
125.65,2.47,26.18,13.38,136.29,-294.55
125.7,2.48,25.85,12.7,136.27,-293.13
125.75,2.49,25.59,11.82,136.26,-291.37
125.8,2.49,25.2,11.7,136.26,-289.12
125.85,2.48,24.74,11.7,136.3,-286.29
125.9,2.48,24.41,12.08,136.35,-283.07
125.95,2.47,24.3,11.96,136.41,-280.01
126,2.47,24.42,12.01,136.43,-277.76
126.05,2.47,24.71,11.79,136.45,-276.68
126.1,2.48,25.22,12.36,136.42,-276.72
126.15,2.47,26.04,12.63,136.37,-277.53
126.2,2.46,27.18,13,136.26,-278.62
126.25,2.45,28.8,13.13,136.23,-279.74
126.3,2.45,30.89,13.63,136.3,-280.78
126.35,2.45,33.73,14.15,136.52,-281.96
126.4,2.45,36.78,14.36,136.85,-283.54
126.45,2.46,39.69,13.9,137.13,-285.77
126.5,2.46,41.61,13.25,137.34,-288.54
126.55,2.46,42.68,12.83,137.44,-291.45
126.6,2.46,42.95,12.82,137.46,-293.9
126.65,2.45,42.95,12.93,137.4,-295.36
126.7,2.44,42.83,12.55,137.26,-295.56
126.75,2.44,42.73,12.1,137.17,-294.75
126.8,2.43,42.63,11.53,137.17,-293.48
126.85,2.42,42.55,11.13,137.24,-292.44
126.9,2.41,42.59,10.73,137.34,-292.06
126.95,2.4,42.79,10.37,137.47,-292.25
127,2.38,43.27,10.22,137.65,-292.71
127.05,2.37,44.24,10.52,137.84,-292.94
127.1,2.35,45.31,10.75,138.09,-292.81
127.15,2.34,45.29,11.05,138.4,-292.35
127.2,2.33,43.02,10.76,138.74,-291.86
127.25,2.32,38.57,10.56,139.09,-291.58
127.3,2.31,33.01,10.07,139.49,-291.62
127.35,2.31,27.62,9.53,140.13,-291.94
127.4,2.31,23.07,8.92,141,-292.43
127.45,2.31,19.75,8.49,142.06,-292.88
127.5,2.31,17.54,7.88,142.98,-293.09
127.55,2.32,16.23,7.47,143.64,-292.96
127.6,2.32,15.49,7.07,144.05,-292.64
127.65,2.33,15.11,6.91,144.44,-292.29
127.7,2.33,14.96,6.8,144.95,-292.06
127.75,2.33,14.95,6.74,145.49,-291.72
127.8,2.33,15.05,6.91,146.06,-291.17
127.85,2.33,15.24,7.13,146.63,-290.32
127.9,2.34,15.51,7.41,147.44,-289.44
127.95,2.34,15.84,7.71,148.34,-288.76
128,2.34,16.18,8.22,149.3,-288.47
128.05,2.34,16.5,8.79,150.07,-288.56
128.1,2.34,16.83,9.4,150.55,-288.93
128.15,2.34,17.14,9.44,150.67,-289.44
128.2,2.34,17.46,9.37,150.7,-289.92
128.25,2.34,17.76,9.53,150.95,-290.19
128.3,2.35,18.05,8.95,151.4,-290.09
128.35,2.35,18.31,8.27,151.94,-289.48
128.4,2.36,18.53,7.05,152.46,-288.33
128.45,2.37,18.72,6.66,153.02,-286.51
128.5,2.37,18.9,6.34,153.72,-284.08
128.55,2.38,19.07,6.2,154.6,-281.2
128.6,2.38,19.26,6.11,155.98,-278.48
128.65,2.38,19.49,6.06,157.81,-276.62
128.7,2.38,19.75,6.03,160.01,-276.14
128.75,2.38,19.93,6.02,162.06,-277.18
128.8,2.38,19.96,6.01,163.61,-279.5
128.85,2.38,19.86,6.61,164.65,-282.68
128.9,2.38,19.71,7.12,165.3,-286.1
128.95,2.38,19.58,7.75,165.9,-289.14
129,2.38,19.47,7.97,166.51,-291.4
129.05,2.38,19.38,8.54,167.19,-292.75
129.1,2.38,19.29,9.1,168.03,-293.38
129.15,2.38,19.19,9.33,169.09,-293.35
129.2,2.38,18.98,9.69,170.27,-292.75
129.25,2.38,18.7,10,171.33,-291.59
129.3,2.38,18.33,10.54,172.14,-290.2
129.35,2.38,17.96,10.51,172.65,-288.93
129.4,2.39,17.64,10.41,172.96,-288.2
129.45,2.39,17.44,9.98,173.16,-287.88
129.5,2.39,17.38,9.68,173.53,-287.6
129.55,2.39,17.38,9.33,174.05,-286.95
129.6,2.39,17.39,9.2,174.53,-286
129.65,2.39,17.35,9.51,174.69,-285.2
129.7,2.38,17.29,10.34,174.51,-285.16
129.75,2.37,17.19,11.37,174.06,-286.08
129.8,2.36,17.02,11.74,173.57,-287.64
129.85,2.34,16.78,11.82,173.12,-289.17
129.9,2.32,16.46,11.71,172.94,-290.2
129.95,2.3,16.07,12.31,172.9,-290.64
130,2.28,15.62,13.6,173.07,-290.63
130.05,2.27,15.09,15.18,173.5,-290.15
130.1,2.27,14.46,16.76,174.29,-288.99
130.15,2.26,13.67,17.39,175.37,-287.05
130.2,2.26,12.86,17.83,176.64,-284.57
130.25,2.25,12.11,17.44,178.04,-282.08
130.3,2.25,11.61,17.05,179.55,-280.1
130.35,2.26,11.29,16.5,180.89,-278.89
130.4,2.27,11.13,16.31,182.12,-278.44
130.45,2.28,11.02,15.96,183.17,-278.66
130.5,2.29,10.97,15.66,184.25,-279.62
130.55,2.3,10.92,15.32,185.03,-281.29
130.6,2.3,10.89,14.6,185.49,-283.54
130.65,2.3,10.86,13.78,185.6,-285.76
130.7,2.31,10.83,12.48,185.9,-287.58
130.75,2.32,10.82,11.65,186.55,-288.92
130.8,2.33,10.8,10.83,187.28,-290.05
130.85,2.34,10.8,10.5,187.69,-291.02
130.9,2.35,10.82,9.86,187.78,-291.7
130.95,2.35,10.84,9.27,187.88,-291.85
131,2.35,10.87,9.03,188.14,-291.49
131.05,2.33,10.92,9.66,188.66,-290.73
131.1,2.31,10.97,10.54,189.7,-289.73
131.15,2.28,10.99,11.24,190.5,-288.45
131.2,2.25,10.98,11.76,190.61,-287.13
131.25,2.22,10.96,12.8,189.76,-286.05
131.3,2.21,10.91,13.91,188.86,-285.87
131.35,2.2,10.86,15.14,188.24,-286.97
131.4,2.21,10.79,15.41,187.89,-289.43
131.45,2.21,10.71,15.51,187.61,-292.8
131.5,2.22,10.65,15.38,187.4,-296.31
131.55,2.22,10.6,15.58,187.26,-299.21
131.6,2.22,10.59,15.79,187.19,-300.93
131.65,2.23,10.59,15.47,187.14,-301.37
131.7,2.24,10.63,15.05,187.12,-300.97
131.75,2.26,10.67,14.71,187.11,-300.33
131.8,2.28,10.72,14.75,187.23,-300.11
131.85,2.3,10.77,14.69,187.7,-300.42
131.9,2.32,10.81,14.49,188.89,-301.09
131.95,2.34,10.82,14.44,190.64,-301.67
132,2.34,10.82,14.99,191.98,-301.9
132.05,2.33,10.78,15.68,191.93,-301.79
132.1,2.31,10.74,16.33,190.63,-301.58
132.15,2.3,10.71,16,188.86,-301.43
132.2,2.29,10.67,15.47,187.4,-301.32
132.25,2.27,10.66,14.49,186.26,-301.15
132.3,2.25,10.65,13.59,185.61,-300.89
132.35,2.21,10.65,12.62,185.25,-300.66
132.4,2.18,10.66,11.44,185.1,-300.54
132.45,2.16,10.7,10.41,184.99,-300.52
132.5,2.15,10.76,9.37,185.03,-300.55
132.55,2.14,10.85,8.76,185.64,-300.59
132.6,2.14,10.97,8.43,187.28,-300.7
132.65,2.12,11.08,8.24,190.12,-301.05
132.7,2.12,11.19,7.93,193.06,-301.8
132.75,2.12,11.29,8.03,195.24,-303.06
132.8,2.12,11.37,8.79,195.95,-304.79
132.85,2.13,11.44,9.97,195.6,-306.8
132.9,2.15,11.51,11.15,194.38,-308.67
132.95,2.16,11.56,12.42,192.83,-309.85
133,2.18,11.61,13.72,191.12,-309.78
133.05,2.2,11.65,14.83,189.71,-308.37
133.1,2.21,11.71,14.91,188.91,-305.99
133.15,2.22,11.77,14.75,189.18,-303.27
133.2,2.23,11.85,14.33,189.87,-300.54
133.25,2.24,11.95,14.22,189.62,-297.81
133.3,2.25,12.08,14.11,187.53,-295.14
133.35,2.25,12.23,13.87,183.73,-292.77
133.4,2.25,12.39,13.2,179.49,-291.36
133.45,2.25,12.5,12.41,175.62,-291.37
133.5,2.25,12.57,11.32,172.75,-293.04
133.55,2.25,12.62,9.95,170.83,-295.75
133.6,2.25,12.68,8.45,169.69,-298.38
133.65,2.26,12.75,7.28,168.9,-299.66
133.7,2.27,12.86,7.15,168.16,-298.98
133.75,2.28,13.01,7.29,167.06,-296.61
133.8,2.28,13.18,7.49,165.8,-293.44
133.85,2.29,13.37,7.55,164.57,-290.39
133.9,2.29,13.54,7.61,163.54,-288.25
133.95,2.3,13.71,7.63,162.29,-287.55
134,2.3,13.83,7.45,160.77,-288.57
134.05,2.31,13.91,7.22,159.11,-290.87
134.1,2.31,13.92,7.33,157.4,-293.41
134.15,2.31,13.88,7.71,155.75,-295.17
134.2,2.31,13.84,8.21,154.15,-295.54
134.25,2.31,13.8,8.38,152.88,-294.75
134.3,2.3,13.75,7.92,151.77,-293.38
134.35,2.28,13.68,7.26,150.89,-292.23
134.4,2.28,13.61,6.84,150.19,-291.7
134.45,2.27,13.55,6.82,149.69,-291.73
134.5,2.27,13.51,6.93,149.28,-292.03
134.55,2.26,13.46,7.35,148.87,-292.29
134.6,2.26,13.44,7.86,148.49,-292.61
134.65,2.26,13.45,8.44,148.15,-293.07
134.7,2.26,13.49,8.66,147.87,-293.82
134.75,2.26,13.58,8.82,147.61,-294.57
134.8,2.26,13.71,8.9,147.42,-295.19
134.85,2.26,13.89,9.34,147.24,-295.54
134.9,2.26,14.11,9.85,147.12,-295.79
134.95,2.26,14.35,10.44,147.02,-295.71
135,2.27,14.58,10.26,146.97,-295.14
135.05,2.28,14.77,10.34,146.9,-293.69
135.1,2.28,14.9,10.32,146.83,-291.81
135.15,2.28,14.97,10.73,146.76,-289.87
135.2,2.28,15.01,11.01,146.73,-288.5
135.25,2.28,15.01,11.35,146.71,-287.38
135.3,2.29,15.01,11.67,146.7,-286.28
135.35,2.29,14.98,11.8,146.7,-284.84
135.4,2.29,14.92,11.9,146.69,-283.46
135.45,2.3,14.84,11.74,146.69,-282.77
135.5,2.3,14.76,11.33,146.69,-283.37
135.55,2.31,14.67,10.81,146.69,-285.27
135.6,2.31,14.54,10.63,146.69,-287.79
135.65,2.32,14.35,10.29,146.69,-290.15
135.7,2.33,14.13,9.98,146.69,-291.65
135.75,2.34,13.89,9.25,146.69,-292.16
135.8,2.33,13.69,8.85,146.69,-291.76
135.85,2.33,13.57,8.42,146.69,-290.76
135.9,2.32,13.56,8.25,146.69,-289.36
135.95,2.32,13.65,8.14,146.69,-287.73
136,2.32,13.83,7.88,146.69,-285.96
136.05,2.31,14.06,7.6,146.69,-284.2
136.1,2.3,14.28,7.3,146.69,-282.93
136.15,2.3,14.41,7.58,146.64,-282.51
136.2,2.29,14.46,8.38,146.59,-283.27
136.25,2.28,14.45,9.39,146.52,-284.82
136.3,2.28,14.44,9.95,146.5,-286.6
136.35,2.28,14.42,10.27,146.44,-287.86
136.4,2.27,14.41,10.45,146.38,-288.49
136.45,2.27,14.39,10.74,146.31,-288.78
136.5,2.28,14.36,11.04,146.28,-289.42
136.55,2.28,14.32,11.36,146.26,-290.95
136.6,2.28,14.26,11.88,146.25,-293.45
136.65,2.27,14.2,12.45,146.25,-296.41
136.7,2.26,14.15,13.07,146.24,-299.07
136.75,2.25,14.13,13.3,146.24,-300.94
136.8,2.24,14.14,12.87,146.24,-301.98
136.85,2.23,14.18,12.24,146.24,-302.49
136.9,2.23,14.24,12.02,146.24,-302.79
136.95,2.24,14.31,11.85,146.24,-302.97
137,2.25,14.39,11.38,146.24,-302.85
137.05,2.25,14.47,10.45,146.24,-302.2
137.1,2.26,14.52,9.36,146.24,-301.15
137.15,2.27,14.56,8.56,146.24,-300.04
137.2,2.28,14.58,7.79,146.24,-299.22
137.25,2.29,14.59,7.27,146.24,-298.68
137.3,2.31,14.6,6.81,146.24,-298.12
137.35,2.32,14.6,6.42,146.24,-297.35
137.4,2.34,14.57,6.25,146.24,-296.36
137.45,2.36,14.5,6.13,146.24,-295.52
137.5,2.36,14.41,5.68,146.28,-295.19
137.55,2.36,14.31,5.36,146.34,-295.7
137.6,2.36,14.23,5.01,146.4,-296.98
137.65,2.35,14.16,5.27,146.47,-298.57
137.7,2.35,14.12,5.46,146.54,-299.81
137.75,2.35,14.13,5.75,146.66,-300.18
137.8,2.35,14.19,5.84,146.74,-299.91
137.85,2.34,14.29,5.92,146.83,-299.69
137.9,2.33,14.47,5.95,146.86,-300.28
137.95,2.32,14.69,5.77,146.88,-301.89
138,2.31,14.95,5.75,146.9,-304.07
138.05,2.3,15.16,5.7,146.9,-306.18
138.1,2.29,15.29,6.09,146.91,-307.49
138.15,2.29,15.34,6.36,146.91,-307.77
138.2,2.29,15.32,6.69,146.91,-306.93
138.25,2.29,15.22,6.61,146.91,-305.25
138.3,2.29,15.04,6.46,146.91,-303.09
138.35,2.28,14.8,6.61,146.91,-300.93
138.4,2.28,14.54,7.02,146.91,-299.09
138.45,2.29,14.31,7.33,146.91,-297.74
138.5,2.29,14.13,7.27,146.91,-296.82
138.55,2.3,14.03,7.12,146.91,-296.22
138.6,2.3,13.95,6.88,146.87,-295.74
138.65,2.3,13.89,6.6,146.77,-295.09
138.7,2.3,13.82,6.1,146.65,-294.18
138.75,2.31,13.77,5.74,146.56,-293.13
138.8,2.31,13.76,5.37,146.52,-292.57
138.85,2.31,13.82,5.42,146.45,-293.08
138.9,2.31,13.91,5.36,146.38,-295.03
138.95,2.31,14.03,5.36,146.31,-298.08
139,2.31,14.15,4.94,146.28,-301.44
139.05,2.31,14.25,4.86,146.26,-304.36
139.1,2.32,14.34,4.76,146.25,-306.41
139.15,2.32,14.37,4.92,146.25,-307.67
139.2,2.32,14.37,4.74,146.24,-308.38
139.25,2.32,14.33,4.53,146.24,-308.83
139.3,2.32,14.29,4.45,146.24,-309.14
139.35,2.31,14.25,4.4,146.24,-309.3
139.4,2.3,14.25,4.37,146.24,-309.18
139.45,2.3,14.26,4.15,146.24,-308.51
139.5,2.29,14.29,4.11,146.24,-307.05
139.55,2.29,14.31,4.05,146.24,-304.68
139.6,2.28,14.35,4.03,146.24,-301.66
139.65,2.28,14.39,4.22,146.24,-298.66
139.7,2.28,14.46,4.65,146.24,-296.43
139.75,2.28,14.57,5.17,146.24,-295.42
139.8,2.28,14.68,5.77,146.24,-295.56
139.85,2.28,14.78,6.19,146.24,-296.37
139.9,2.29,14.83,6.79,146.24,-297.28
139.95,2.29,14.81,7.2,146.24,-297.73
140,2.3,14.73,7.6,146.2,-297.44
140.05,2.3,14.61,7.76,146.14,-296.56
140.1,2.31,14.5,7.87,146.08,-295.48
140.15,2.31,14.42,7.93,146.06,-294.62
140.2,2.31,14.37,7.56,146.08,-294.08
140.25,2.3,14.34,7.1,146.13,-293.86
140.3,2.31,14.31,6.53,146.23,-293.91
140.35,2.31,14.31,6.13,146.3,-294.29
140.4,2.31,14.31,5.73,146.38,-294.96
140.45,2.31,14.34,5.37,146.41,-295.87
140.5,2.31,14.37,5.62,146.44,-296.94
140.55,2.31,14.42,6,146.45,-298.12
140.6,2.31,14.48,6.52,146.5,-299.37
140.65,2.31,14.54,6.9,146.56,-300.73
140.7,2.3,14.58,7.29,146.63,-302.22
140.75,2.3,14.59,7.64,146.65,-303.88
140.8,2.29,14.55,7.79,146.54,-305.52
140.85,2.28,14.49,7.89,146.25,-306.86
140.9,2.27,14.45,7.93,145.81,-307.52
140.95,2.26,14.47,8.16,145.45,-307.38
141,2.25,14.54,8.62,145.2,-306.58
141.05,2.25,14.68,9.16,145.03,-305.46
141.1,2.24,14.81,9.36,144.9,-304.27
141.15,2.24,14.89,9.1,144.8,-303.23
141.2,2.25,14.87,8.69,144.76,-302.53
141.25,2.25,14.81,8.16,144.73,-302.36
141.3,2.26,14.71,7.97,144.75,-302.57
141.35,2.26,14.63,8.03,144.75,-302.88
141.4,2.27,14.6,8.4,144.72,-302.81
141.45,2.27,14.61,8.49,144.57,-302.18
141.5,2.28,14.66,8.38,144.36,-300.88
141.55,2.29,14.74,8.17,144.11,-299.08
141.6,2.29,14.84,7.91,143.89,-296.96
141.65,2.3,14.97,7.62,143.75,-295.1
141.7,2.3,15.11,7.51,143.68,-293.85
141.75,2.31,15.28,7.62,143.63,-293.47
141.8,2.31,15.44,8.23,143.61,-293.64
141.85,2.3,15.6,8.77,143.55,-294.06
141.9,2.3,15.74,9.4,143.49,-294.43
141.95,2.31,15.87,9.43,143.38,-294.76
142,2.31,15.96,9.77,143.3,-295.01
142.05,2.31,16.01,10.04,143.21,-295.19
142.1,2.31,16.03,10.56,143.18,-295.09
142.15,2.3,16.02,10.52,143.16,-294.47
142.2,2.3,15.98,10.42,143.15,-293.17
142.25,2.28,15.89,10.19,143.14,-291.47
142.3,2.27,15.8,10.32,143.14,-290.1
142.35,2.27,15.71,10.3,143.13,-289.69
142.4,2.27,15.63,10.32,143.13,-290.22
142.45,2.27,15.57,10.33,143.13,-291.05
142.5,2.27,15.53,10.93,143.13,-291.54
142.55,2.27,15.5,11.85,143.13,-291.7
142.6,2.27,15.47,12.76,143.13,-292.05
142.65,2.27,15.42,13.32,143.13,-293.2
142.7,2.27,15.38,13.62,143.13,-295.22
142.75,2.28,15.36,13.79,143.13,-297.62
142.8,2.29,15.38,13.68,143.13,-299.8
142.85,2.29,15.45,13.29,143.13,-301.47
142.9,2.3,15.55,12.8,143.13,-302.86
142.95,2.3,15.68,12.22,143.13,-304.37
143,2.3,15.84,11.4,143.09,-306.33
143.05,2.29,16,10.52,143.03,-308.75
143.1,2.29,16.16,9.59,142.97,-311.46
143.15,2.28,16.28,8.42,142.95,-314.1
143.2,2.27,16.39,7,142.93,-316.27
143.25,2.27,16.47,5.69,142.92,-317.62
143.3,2.26,16.52,4.94,142.92,-317.86
143.35,2.26,16.49,4.52,142.91,-316.88
143.4,2.26,16.39,4.29,142.91,-314.63
143.45,2.26,16.25,4.16,142.91,-311.16
143.5,2.27,16.06,4.09,142.91,-306.71
143.55,2.27,15.87,4.05,142.91,-302.04
143.6,2.28,15.69,4.03,142.91,-298.31
143.65,2.29,15.55,4.02,142.91,-296.48
143.7,2.29,15.44,4.41,142.91,-296.63
143.75,2.3,15.34,4.89,142.91,-298.12
143.8,2.3,15.21,5.66,142.91,-299.96
143.85,2.3,15.07,6.31,142.95,-301.31
143.9,2.3,14.94,6.99,143.01,-301.89
143.95,2.3,14.82,7.46,143.07,-301.98
144,2.3,14.73,7.69,143.14,-302.24
144.05,2.29,14.66,7.83,143.21,-303.12
144.1,2.28,14.59,7.9,143.33,-304.6
144.15,2.27,14.53,8.15,143.41,-306.2
144.2,2.27,14.48,8.41,143.5,-307.3
144.25,2.27,14.46,8.71,143.53,-307.47
144.3,2.27,14.47,8.42,143.55,-306.7
144.35,2.27,14.51,7.83,143.61,-305.38
144.4,2.27,14.57,7.05,143.67,-304.1
144.45,2.27,14.62,6.38,143.78,-303.28
144.5,2.27,14.68,6.09,143.86,-303.1
144.55,2.26,14.7,5.89,143.98,-303.45
144.6,2.26,14.69,5.8,144.07,-304.13
144.65,2.27,14.63,5.54,144.15,-304.76
144.7,2.27,14.57,5.07,144.23,-304.93
144.75,2.28,14.52,4.72,144.31,-304.31
144.8,2.28,14.51,4.36,144.39,-302.94
144.85,2.28,14.52,4.22,144.42,-301.3
144.9,2.28,14.55,4.12,144.49,-300.24
144.95,2.28,14.57,4.47,144.55,-300.4
145,2.29,14.58,4.92,144.62,-301.77
145.05,2.29,14.58,5.88,144.69,-303.5
145.1,2.3,14.58,6.36,144.77,-304.55
145.15,2.3,14.6,6.85,144.84,-304.24
145.2,2.31,14.67,6.84,144.87,-302.94
145.25,2.31,14.78,6.94,144.89,-301.38
145.3,2.31,14.97,7.16,144.9,-300.52
145.35,2.31,15.17,7.42,144.95,-300.59
145.4,2.31,15.44,7.72,145.09,-301.38
145.45,2.31,15.71,7.83,145.53,-302.25
145.5,2.32,15.97,7.91,146.14,-302.73
145.55,2.33,16.15,7.95,146.61,-302.56
145.6,2.34,16.3,7.77,146.65,-301.59
145.65,2.34,16.45,7.74,146.44,-299.79
145.7,2.35,16.64,7.7,146.23,-297.28
145.75,2.36,16.86,8.09,146.19,-294.53
145.8,2.37,17.09,8.56,146.18,-292.11
145.85,2.38,17.27,9.13,146.22,-290.62
145.9,2.39,17.42,9.54,146.27,-290.42
145.95,2.4,17.55,9.93,146.33,-291.45
146,2.4,17.69,10.49,146.4,-293.22
146.05,2.4,17.83,11.09,146.42,-294.75
146.1,2.4,17.98,11.32,146.49,-295
146.15,2.4,18.08,11.48,146.55,-293.6
146.2,2.4,18.12,11.56,146.67,-290.99
146.25,2.4,18.07,11.81,146.79,-288.35
146.3,2.4,17.98,11.87,146.97,-286.58
146.35,2.39,17.86,12.14,147.16,-286.14
146.4,2.39,17.7,12.6,147.37,-286.78
146.45,2.39,17.49,13.15,147.58,-288.17
146.5,2.38,17.22,13.35,147.8,-290.02
146.55,2.38,16.88,13.7,147.98,-292.22
146.6,2.37,16.5,14.01,148.1,-294.8
146.65,2.38,16.11,15.14,148.2,-297.54
146.7,2.38,15.78,16.63,148.34,-300.17
146.75,2.38,15.52,18.35,148.56,-302.29
146.8,2.38,15.31,20.2,148.86,-303.61
146.85,2.39,15.13,21.31,149.27,-303.84
146.9,2.4,14.98,22.3,149.81,-303.12
146.95,2.41,14.79,22.92,150.41,-301.81
147,2.41,14.58,24.05,151.08,-300.78
147.05,2.41,14.24,25.19,151.82,-300.54
147.1,2.41,13.83,26.65,153.08,-301.31
147.15,2.41,13.29,27.57,154.67,-302.7
147.2,2.4,12.74,28.04,156.44,-304.33
147.25,2.4,12.16,27.72,157.78,-305.76
147.3,2.39,11.72,27.35,158.71,-306.83
147.35,2.39,11.42,26.82,159.3,-307.39
147.4,2.38,11.27,26.23,159.74,-307.73
147.45,2.37,11.22,25.41,160.04,-308.24
147.5,2.35,11.22,24.13,160.23,-309.29
147.55,2.33,11.23,22.71,160.37,-310.57
147.6,2.32,11.22,20.57,160.48,-311.5
147.65,2.31,11.2,18.86,160.57,-311.59
147.7,2.29,11.17,16.88,160.66,-310.98
147.75,2.29,11.15,15.75,160.74,-310.2
147.8,2.29,11.11,14.93,160.77,-309.79
147.85,2.29,11.08,14.54,160.7,-309.91
147.9,2.28,11.05,14.29,160.56,-310.14
147.95,2.28,11.06,13.77,160.39,-309.74
148,2.29,11.11,13.21,160.24,-308.03
148.05,2.29,11.22,12.6,160.13,-304.72
148.1,2.3,11.42,12.36,160.08,-300.17
148.15,2.31,11.75,12.19,160.05,-295.27
148.2,2.33,12.16,12.11,159.99,-291.23
148.25,2.35,12.67,11.66,159.61,-289.05
148.3,2.37,13.18,10.75,158.68,-289.09
148.35,2.39,13.72,9.48,157,-291.23
148.4,2.41,14.25,8.45,155.28,-294.79
148.45,2.42,14.82,7.59,153.98,-299.15
148.5,2.43,15.45,7.01,153.59,-303.63
148.55,2.43,16.02,6.52,154.01,-307.83
148.6,2.44,16.42,6.31,154.86,-311.41
148.65,2.44,16.57,6.37,155.47,-314.19
148.7,2.45,16.59,6.53,155.32,-316.04
148.75,2.44,16.61,6.58,154.43,-316.9
148.8,2.43,16.77,6.62,153.47,-316.64
148.85,2.42,17.11,7.04,152.74,-315.3
148.9,2.41,17.61,7.73,152.4,-313.15
148.95,2.4,18.16,8.56,152.28,-310.78
149,2.38,18.77,9.26,152.28,-308.82
149.05,2.36,19.34,9.96,152.57,-307.64
149.1,2.34,19.86,10.84,153.16,-307.36
149.15,2.33,20.18,11.56,154.04,-307.85
149.2,2.32,20.18,12.28,154.78,-309.07
149.25,2.31,19.81,12.57,155.19,-310.97
149.3,2.3,18.96,13.17,155.11,-313.41
149.35,2.3,17.91,13.55,154.42,-315.92
149.4,2.3,16.8,13.94,153.16,-317.78
149.45,2.31,15.93,13.7,151.61,-318.35
149.5,2.3,15.29,13.73,150.38,-317.42
149.55,2.31,14.87,13.69,149.61,-315.38
149.6,2.31,14.65,13.88,149.21,-313.01
149.65,2.32,14.57,13.91,148.97,-311.1
149.7,2.32,14.63,14.16,148.84,-310.06
149.75,2.33,14.78,14.42,148.77,-309.87
149.8,2.33,14.92,14.92,148.78,-310.34
149.85,2.34,15.02,15.27,148.85,-311.2
149.9,2.34,14.99,15.64,149.14,-312.37
149.95,2.35,14.85,15.98,149.52,-313.83
150,2.36,14.56,16.52,149.92,-315.41
150.05,2.37,14.19,17.1,150.12,-316.7
150.1,2.37,13.82,16.93,150.2,-317.17
150.15,2.38,13.55,15.81,150.21,-316.44
150.2,2.39,13.44,13.95,150.31,-314.47
150.25,2.4,13.49,12.35,150.56,-311.6
150.3,2.41,13.68,11.06,151.16,-308.39
150.35,2.41,13.99,10.28,152.09,-305.58
150.4,2.42,14.34,9.67,153.46,-303.82
150.45,2.42,14.73,8.99,154.76,-303.62
150.5,2.42,15.11,8.13,155.56,-304.9
150.55,2.41,15.56,7.22,155.58,-307.18
150.6,2.4,16.14,6.27,155.35,-309.72
150.65,2.39,16.96,5.5,155.53,-311.91
150.7,2.37,18.07,4.95,156.23,-313.4
150.75,2.35,19.25,4.89,157.07,-314.15
150.8,2.33,20.33,5.17,157.64,-314.29
150.85,2.31,21.06,5.81,157.84,-314.08
150.9,2.3,21.58,6.6,157.77,-313.85
150.95,2.29,21.86,7.08,157.48,-313.86
151,2.27,21.92,7.54,157.14,-314.22
151.05,2.25,21.48,7.92,156.8,-314.69
151.1,2.23,20.48,8.49,156.53,-314.88
151.15,2.23,19.07,9.08,156.23,-314.27
151.2,2.23,17.6,10.12,155.67,-312.55
151.25,2.23,16.34,11.24,154.7,-309.59
151.3,2.24,15.34,12.07,153.55,-305.85
151.35,2.25,14.64,12.46,152.59,-302.08
151.4,2.26,14.16,12.71,152.04,-299.4
151.45,2.27,13.84,12.63,151.78,-298.34
151.5,2.27,13.62,12.27,151.71,-299.16
151.55,2.29,13.48,11.38,151.82,-301.46
151.6,2.31,13.39,10.53,152,-304.93
151.65,2.33,13.35,9.78,152.24,-308.89
151.7,2.34,13.34,9.46,152.46,-312.82
151.75,2.35,13.4,9.25,152.68,-316.05
151.8,2.34,13.55,8.74,152.9,-318.34
151.85,2.33,13.81,8,153.26,-319.65
151.9,2.31,14.2,7.15,153.82,-320.19
151.95,2.29,14.65,6.43,154.84,-320.05
152,2.28,15.14,6.32,156.14,-319.16
152.05,2.27,15.55,6.35,157.53,-317.41
152.1,2.26,15.87,7.33,158.61,-314.75
152.15,2.25,16.08,8.74,159.23,-311.56
152.2,2.25,16.18,10.61,159.39,-308.36
152.25,2.24,16.2,12.07,159.33,-305.95
