Depth,Dense,Res,Ng,Cal,sTime,Temp,SP,FD3019g,Gamma
0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,21.49,0,0,0
0.35,0,0,0,0,0,21.49,0,0,0
0.4,0,0,0,0,0,21.49,0,0,0
0.45,0,0,0,0,0,21.49,0,0,0
0.5,0,0,0,0,0,21.49,0,0,0
0.55,0,0,0,0,0,21.49,0,0,0
0.6,0,0,0,0,0,21.49,0,0,0
0.65,0,0,0,0,0,21.49,0,0,0
0.7,0,0,0,0,0,21.49,0,0,0
0.75,0,0,0,0,0,21.49,0,0,0
0.8,0,0,23,0,0,21.49,0,0,0
0.85,0,0,23,0,0,21.49,0,0,0
0.9,0,0,21.2,0,0,21.49,0,0,0
0.95,0,0,19.84,0,0,21.49,0,0,0
1,0,0,18.81,0,0,21.49,0,0,0
1.05,0,0,18.13,0,0,21.49,0,0,0
1.1,0,0,18.39,0,0,21.49,0,0,0
1.15,0,0,19.5,0,0,21.49,0,0,0
1.2,0,0,21.18,0,0,21.49,0,0,0
1.25,0,0,22.54,0,0,21.49,0,0,0
1.3,0,0,22.94,0,0,21.49,0,0,0
1.35,0,0,22.5,0,0,21.49,0,0,0
1.4,0,0,21.69,0,0,21.49,0,0,0
1.45,0,0,21.04,0,2048,21.49,0,0,0
1.5,0,0,20.15,0,2048,21.49,0,0,0
1.55,0,0,19.24,0,2048,21.49,0,0,0
1.6,0,0,18.48,0,2048,21.49,0,0,0
1.65,0,0,18.94,0,2048,21.49,0,0,0
1.7,0,0,20.28,0,2048,21.49,0,0,0
1.75,0,0,21.05,0,2048,21.49,0,0,0
1.8,0,65535,21.27,0,2048,21.49,0,26,3.55
1.85,0,65535,20.46,0,2048,21.49,0,16,2.18
1.9,0,65535,19.75,0,2048,21.49,0,17.8,2.43
1.95,0,65535,18.44,0,2048,21.49,0,14.96,2.04
2,0,65535,17.44,0,2048,21.49,0,14.95,2.04
2.05,0,65535,16.98,0,2048,21.49,0,14.38,1.96
2.1,0,65535,16.68,0,2048,21.49,0,12.67,1.73
2.15,0,65535,16.53,0,2048,21.49,0,11.81,1.61
2.2,0,65535,16.04,0,2048,21.49,0,12.9,1.76
2.25,0,65535,15.72,0,2048,21.49,0,14.14,1.93
2.3,0,65535,15.15,0,2048,21.49,0,14.41,1.97
2.35,0,65535,14.77,0,2048,21.49,0,13.51,1.84
2.4,0,65535,14.19,0,2048,21.49,0,11.78,1.61
2.45,0,65535,14.19,0,2048,21.49,0,10.26,1.4
2.5,0,65535,14.28,0,2048,21.49,0,9.41,1.28
2.55,0,65535,14.89,0,2048,21.49,0,9.53,1.3
2.6,0,65535,15.23,0,2048,21.49,0,9.99,1.36
2.65,0,65535,15.43,0,2048,21.49,0,10.7,1.46
2.7,0,65535,15.13,0,2048,21.49,0,11.14,1.52
2.75,0,65535,14.51,0,2048,21.49,0,11.37,1.55
2.8,0,65535,13.93,0,2048,21.49,0,10.7,1.46
2.85,0,65535,13.49,0,2048,21.49,0,9.81,1.34
2.9,0,65535,13.28,0,2048,21.49,0,8.9,1.21
2.95,0,65535,12.55,177.54,2048,21.49,0,9.34,1.27
3,0,65535,11.77,177.54,2048,21.49,0,11.25,1.54
3.05,0,65535,10.86,177.54,2048,21.49,0,14.92,2.04
3.1,0,65535,10.33,177.77,2048,21.49,0,18.43,2.52
3.15,0,65535,9.64,177.77,2048,21.49,0,21.27,2.9
3.2,0,65535,8.99,177.32,2048,21.49,0,23.14,3.16
3.25,0,65535,8.13,176.88,2048,21.49,0,25.28,3.45
3.3,0,65535,7.42,176.88,2048,21.49,0,26.29,3.59
3.35,0,65535,6.71,177.32,2048,21.49,0,25.51,3.48
3.4,0,65535,6.23,178.43,2048,21.49,0,22.76,3.11
3.45,0,56986.06,5.79,180.87,2048,21.49,0,20.06,2.74
3.5,0,55276.28,5.6,182.43,2048,21.49,0,18.56,2.53
3.55,1,53224.53,5.48,182.65,2048,21.49,0,18.52,2.53
3.6,1.14,61021.16,5.42,182.87,2048,21.49,0,19.02,2.6
3.65,1.3,62170.14,4.98,183.32,2048,21.49,0,19.11,2.61
3.7,1.45,55410.32,4.48,184.65,2048,21.49,0,18.03,2.46
3.75,1.57,45739.21,3.89,186.87,2048,21.49,0,15.83,2.16
3.8,1.65,33904.09,3.67,190.64,2048,21.49,0,12.97,1.77
3.85,1.72,29602.84,3.71,199.52,2048,21.49,0,9.96,1.36
3.9,1.77,26375.56,4.08,212.18,2048,21.49,0,7.59,1.04
3.95,1.83,24869.86,4.56,226.38,2048,21.49,0,5.91,0.81
4,1.87,23923.26,5.13,246.36,2048,21.49,0,5.5,0.75
4.05,1.92,23432.8,5.74,268.34,2048,21.49,0,5.88,0.8
4.1,1.97,23145.4,6.17,291.21,2048,21.49,0,6.68,0.91
4.15,2.01,22989.82,6.58,323.18,2048,21.49,0,7.31,1
4.2,2.04,22901.22,6.95,340.94,2048,21.49,0,7.8,1.06
4.25,2.06,31401.33,7.31,342.49,2048,21.49,0,8.82,1.2
4.3,2.08,41632.57,7.65,337.38,2048,21.49,0,10.32,1.41
4.35,2.09,53927.78,7.79,305.64,2048,21.49,0,12.23,1.67
