Depth,Dense,Res,Ng,Cal,sTime,Temp,SP,FD3019g,Gamma
0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,21.49,0,0,0
0.55,0,0,0,0,0,21.49,0,0,0
0.6,0,0,0,0,0,21.49,0,0,0
0.65,0,0,0,0,0,21.49,0,0,0
0.7,0,0,0,0,0,21.49,0,0,0
0.75,0,0,0,0,0,21.49,0,0,0
0.8,0,0,0,0,0,21.49,0,0,0
0.85,0,0,0,0,0,21.49,0,0,0
0.9,0,0,44,0,0,21.49,0,0,0
0.95,0,0,44,0,0,21.49,0,0,0
1,0,0,45.8,0,0,21.49,0,0,0
1.05,0,0,45.96,0,0,21.49,0,0,0
1.1,0,0,47.15,0,0,21.49,0,0,0
1.15,0,0,48.02,0,0,21.49,0,0,0
1.2,0,0,49.24,0,0,21.49,0,0,0
1.25,0,0,49.65,0,0,21.49,0,0,0
1.3,0,0,49.58,0,0,21.49,0,0,0
1.35,0,0,47.45,0,0,21.49,0,0,0
1.4,0,0,45.01,0,0,21.49,0,0,0
1.45,0,0,41.49,0,2048,21.49,0,0,0
1.5,0,0,39.5,0,2048,21.49,0,0,0
1.55,0,0,38,0,2048,21.49,0,0,0
1.6,0,0,38.5,0,2048,21.49,0,0,0
1.65,0,0,38.5,0,2048,21.49,0,0,0
1.7,0,0,39,0,2048,21.49,0,0,0
1.75,0,0,38.9,0,2048,21.49,0,0,0
1.8,0,0,39.18,0,2048,21.49,0,3,0.41
1.85,0,0,39.02,0,2048,21.49,0,12,1.64
1.9,0,65535,39.04,0,2048,21.49,0,13.4,1.83
1.95,0,65535,40.01,0,2048,21.49,0,15.88,2.17
2,0,65535,41.21,0,2048,21.49,0,15.66,2.14
2.05,0,65535,42.44,0,2048,21.49,0,12.91,1.76
2.1,0,56986.06,42.73,0,2048,21.49,0,11.11,1.52
2.15,0,55276.28,42.84,0,2048,21.49,0,13.4,1.83
2.2,0,53224.53,42.91,0,2048,21.49,0,18.7,2.55
2.25,0,61021.16,42.55,0,2048,21.49,0,23.02,3.14
2.3,0,62170.14,42.29,0,2048,21.49,0,23.15,3.16
2.35,0,63959.26,42.37,0,2048,21.49,0,20.23,2.76
2.4,0,64546.88,42.93,0,2048,21.49,0,17.28,2.36
2.45,0,65022.23,43.86,0,2048,21.49,0,16.3,2.22
2.5,0,65234.82,44.96,0,2048,21.49,0,17.12,2.34
2.55,0,65372.41,45.96,0,2048,21.49,0,17.48,2.39
2.6,0,65442.45,46.38,0,2048,21.49,0,16.32,2.23
2.65,0,65483.98,45.67,0,2048,21.49,0,14.16,1.93
2.7,0,65506.29,45.21,0,2048,21.49,0,13.1,1.79
2.75,0,65519.05,44.58,0,2048,21.49,0,13.45,1.84
2.8,0,65526.07,44.16,0,2048,21.49,0,14.51,1.98
2.85,0,65530.03,42.95,0,2048,21.49,0,15.19,2.07
2.9,0,65532.22,41.62,0,2048,21.49,0,15.54,2.12
2.95,0,65533.45,40.91,0,2048,21.49,0,15.75,2.15
3,0,65534.14,41.11,0,2048,21.49,0,16.66,2.27
3.05,0,65534.52,41.4,226.61,2048,21.49,0,17.68,2.41
3.1,0,65534.73,41.9,226.61,2048,21.49,0,18.47,2.52
3.15,0,65534.85,42.86,226.61,2048,21.49,0,18.03,2.46
3.2,0,65534.91,44.15,226.61,2048,21.49,0,17.1,2.33
3.25,0,65534.95,45.6,228.38,2048,21.49,0,15.63,2.13
3.3,0,65534.98,46.75,229.94,2048,21.49,0,14.35,1.96
3.35,0,65534.99,48.07,229.71,2048,21.49,0,13.79,1.88
3.4,0,65535,48.96,229.71,2048,21.49,0,14.63,2
3.45,0,65535,49.01,229.49,2048,21.49,0,16.28,2.22
3.5,0,65535,48.99,230.16,2048,21.49,0,17.78,2.43
3.55,0,65535,48.8,230.16,2048,21.49,0,18.21,2.49
3.6,0,65535,48.96,230.6,2048,21.49,0,17.8,2.43
3.65,0,65535,48.15,231.27,2048,21.49,0,17.4,2.38
3.7,0,65535,47.22,231.93,2048,21.49,0,17.84,2.44
3.75,0,65535,45.88,231.71,2048,21.49,0,18.65,2.55
3.8,0,65535,44.62,231.93,2048,21.49,0,19.3,2.63
3.85,0,65535,43.5,232.38,2048,21.49,0,19.39,2.65
3.9,0,65535,42.62,232.82,2048,21.49,0,19.14,2.61
3.95,0,65535,42.22,232.82,2048,21.49,0,18.31,2.5
4,0,65535,42.77,233.71,2048,21.49,0,17.49,2.39
4.05,0,65535,43.4,234.6,2048,21.49,0,16.16,2.21
4.1,0,65535,44.63,233.93,2048,21.49,0,14.53,1.98
4.15,0,65535,44.81,233.93,2048,21.49,0,12.34,1.68
4.2,0,65535,44.89,232.6,2048,21.49,0,10.57,1.44
4.25,0,65535,44.34,233.49,2048,21.49,0,9.38,1.28
4.3,0,56986.06,44.05,233.27,2048,21.49,0,8.79,1.2
4.35,0,55276.28,44.08,233.27,2048,21.49,0,8.64,1.18
4.4,0,53224.53,44.02,233.49,2048,21.49,0,9.29,1.27
