Depth,Den,Cal,SP,Res,Ng
106.95,0,211.95,-556.24,14.59,10.27
107,0,211.73,-556.07,14.07,9.72
107.05,0,211.51,-555.92,13.54,9
107.1,0,211.07,-555.8,13.11,8.75
107.15,0,210.4,-555.69,12.77,8.75
107.2,0,209.73,-555.61,12.54,8.9
107.25,0,208.62,-555.56,12.35,8.73
107.3,0,208.18,-555.52,12.2,8.73
107.35,0,207.96,-555.51,12.11,8.69
107.4,0,207.96,-555.53,12.06,8.68
107.45,0,208.18,-555.56,12.06,8.28
107.5,0,208.4,-555.61,12.07,7.79
107.55,0,208.62,-555.68,12.11,7.61
107.6,0,208.62,-555.76,12.2,7.48
107.65,0,208.4,-555.84,12.36,7.42
107.7,0,208.4,-555.92,12.56,6.78
107.75,0,208.85,-555.99,12.79,6.04
107.8,0,209.51,-556.05,13.03,5.36
107.85,0,210.62,-556.09,13.26,5.08
107.9,0,210.84,-556.1,13.43,5.09
107.95,0,211.07,-556.11,13.56,5.03
108,0,211.07,-556.1,13.62,5.03
108.05,0,211.29,-556.09,13.64,5.21
108.1,0,211.29,-556.08,13.59,5.45
108.15,0,211.29,-556.08,13.49,5.73
108.2,0,210.84,-556.09,13.36,5.84
108.25,0,210.62,-556.14,13.24,5.91
108.3,0,210.62,-556.2,13.16,6.15
108.35,0,210.62,-556.29,13.16,6.41
108.4,0,210.84,-556.39,13.27,6.71
108.45,0,211.73,-556.49,13.5,6.83
108.5,0,213.06,-556.57,13.85,6.71
108.55,0,215.51,-556.64,14.28,6.51
108.6,0,216.62,-556.69,14.7,6.24
108.65,0,216.84,-556.72,14.96,6.15
108.7,0,217.28,-556.73,15.05,5.88
108.75,0,217.73,-556.73,14.98,5.61
108.8,0,218.39,-556.72,14.85,5.5
108.85,0,218.39,-556.69,14.75,5.42
108.9,0,217.73,-556.64,14.76,5.38
108.95,0,216.39,-556.57,14.94,5.16
109,0,216.17,-556.48,15.14,5.31
109.05,0,217.73,-556.39,15.18,5.49
109.1,0,219.95,-556.3,14.85,5.96
109.15,0,223.05,-556.23,14.32,6.09
109.2,0,224.16,-556.19,13.72,6.41
109.25,0,222.61,-556.19,13.3,6.5
109.3,0,219.06,-556.22,13.01,6.98
109.35,0,217.5,-556.29,12.91,7.3
109.4,0,216.39,-556.38,12.95,7.66
109.45,0,216.17,-556.48,13.15,7.99
109.5,0,216.17,-556.58,13.46,8.93
109.55,0,216.84,-556.66,13.89,9.98
109.6,0,217.73,-556.72,14.32,10.58
109.65,0,219.95,-556.77,14.65,10.71
109.7,0,221.28,-556.81,14.77,10.66
109.75,0,221.5,-556.83,14.74,11.08
109.8,0,221.06,-556.86,14.65,11.15
109.85,0,220.61,-556.88,14.6,11.24
109.9,0,220.39,-556.89,14.63,10.88
109.95,0,220.61,-556.89,14.72,10.62
110,0,220.83,-556.88,14.84,10.1
110.05,0,221.06,-556.86,14.92,9.75
110.1,0,221.5,-556.83,14.95,8.77
110.15,0,221.28,-556.8,14.88,8.1
110.2,0,221.06,-556.77,14.78,7.37
110.25,0,220.17,-556.73,14.65,7.5
110.3,0,219.06,-556.68,14.55,7.77
110.35,0,218.61,-556.64,14.45,8.25
110.4,0,218.17,-556.58,14.41,8.81
110.45,0,218.17,-556.51,14.4,9.01
110.5,0,218.17,-556.44,14.42,9.16
110.55,0,218.17,-556.36,14.39,9.04
110.6,0,218.17,-556.28,14.25,9.04
110.65,0,217.73,-556.2,14,9.02
110.7,0,217.28,-556.12,13.72,9.01
110.75,0,216.62,-556.05,13.52,8.81
110.8,0,217.06,-555.97,13.39,8.56
110.85,0,217.73,-555.9,13.31,8.07
110.9,0,218.17,-555.83,13.21,7.53
110.95,0,218.17,-555.78,13.07,6.92
111,0,217.95,-555.74,12.87,6.09
111.05,0,218.17,-555.71,12.68,5.8
111.1,0,218.84,-555.7,12.56,5.58
111.15,0,219.28,-555.7,12.54,6.08
111.2,0,219.72,-555.7,12.58,6.53
111.25,0,220.17,-555.7,12.68,7.32
111.3,0,220.39,-555.71,12.78,7.97
111.35,0,220.17,-555.71,12.86,8.66
111.4,0,219.28,-555.7,12.89,8.73
111.45,0,217.95,-555.7,12.89,8.68
111.5,0,217.06,-555.68,12.9,8.28
111.55,0,216.62,-555.65,12.91,8.19
111.6,0,216.62,-555.61,12.95,8.29
111.65,0,217.06,-555.57,12.96,8.5
111.7,0,216.84,-555.51,12.93,8.36
111.75,0,215.95,-555.45,12.83,7.97
111.8,0,215.06,-555.38,12.66,7.67
111.85,0,213.73,-555.31,12.48,7.53
111.9,0,213.06,-555.24,12.3,7.44
111.95,0,212.62,-555.18,12.13,6.99
112,0,212.18,-555.13,12,6.69
112.05,0,211.73,-555.08,11.9,6.34
112.1,0,211.51,-555.05,11.81,6
112.15,0,211.51,-555.03,11.71,5.87
112.2,0,210.62,-555.02,11.6,5.77
112.25,0,209.73,-555.02,11.51,5.53
112.3,0,208.85,-555.04,11.48,5.06
112.35,0,208.18,-555.07,11.48,4.52
112.4,0,207.96,-555.11,11.52,4.12
112.45,0,208.18,-555.17,11.55,3.93
112.5,0,208.18,-555.25,11.61,3.81
112.55,0,207.96,-555.33,11.69,4.35
112.6,0,207.74,-555.43,11.83,5.23
112.65,0,207.51,-555.54,11.99,6.32
112.7,0,207.51,-555.66,12.17,7.51
112.75,0,207.96,-555.79,12.37,8.17
112.8,0,209.07,-555.92,12.59,9.34
112.85,0,209.96,-556.04,12.83,10.1
112.9,0,210.62,-556.17,13.07,11.09
112.95,0,210.84,-556.29,13.35,11.24
113,0,210.84,-556.39,13.62,11.27
113.05,0,210.84,-556.48,13.9,11.1
113.1,0,210.62,-556.55,14.15,10.67
113.15,0,209.96,-556.61,14.36,10.16
113.2,0,209.29,-556.66,14.51,9.37
113.25,0,208.85,-556.69,14.62,8.7
113.3,0,209.07,-556.72,14.68,8.01
113.35,0,209.96,-556.74,14.67,7.54
113.4,0,210.84,-556.75,14.61,6.71
113.45,0,211.73,-556.75,14.53,6.25
113.5,0,211.51,-556.75,14.48,5.79
113.55,0,210.4,-556.76,14.45,6.21
113.6,0,208.62,-556.76,14.42,7
113.65,0,207.51,-556.76,14.37,8.04
113.7,0,206.4,-556.77,14.28,9.01
113.75,0,205.74,-556.79,14.19,9.41
113.8,0,205.96,-556.82,14.11,9.68
113.85,0,206.4,-556.85,14.1,9.82
113.9,0,206.63,-556.88,14.13,10.1
113.95,0,206.85,-556.93,14.19,10.38
114,0,207.07,-556.99,14.22,11.1
114.05,0,207.07,-557.06,14.22,11.3
114.1,0,206.63,-557.18,14.21,11.48
114.15,0,205.52,-557.33,14.24,11.16
114.2,0,205.07,-557.53,14.27,10.33
114.25,0,205.52,-557.78,14.38,9.3
114.3,0,206.4,-558.06,14.61,8.13
114.35,0,207.29,-558.35,15.11,7.88
114.4,0,208.18,-558.64,15.84,8
114.45,0,209.51,-558.9,16.8,8.38
114.5,0,211.07,-559.11,17.82,8.48
114.55,0,213.29,-559.28,18.82,8.37
114.6,0,213.95,-559.4,19.64,8.17
114.65,0,212.4,-559.46,20.23,8.71
114.7,0,209.96,-559.49,20.48,9.78
114.75,0,210.18,-559.47,20.46,11.1
114.8,0,212.84,-559.43,20.26,11.97
114.85,0,214.4,-559.35,20.04,12.61
114.9,0,212.18,-559.24,19.92,13.32
114.95,0,209.96,-559.1,19.87,13.99
115,0,210.18,-558.94,19.81,14.26
115.05,0,210.4,-558.76,19.6,14.05
