Depth,Den,Ng,SP,Res,Cal
106.95,0,10.27,-556.24,14.59,211.95
107,0,9.72,-556.07,14.07,211.73
107.05,0,9,-555.92,13.54,211.51
107.1,0,8.75,-555.8,13.11,211.07
107.15,0,8.75,-555.69,12.77,210.4
107.2,0,8.9,-555.61,12.54,209.73
107.25,0,8.73,-555.56,12.35,208.62
107.3,0,8.73,-555.52,12.2,208.18
107.35,0,8.69,-555.51,12.11,207.96
107.4,0,8.68,-555.53,12.06,207.96
107.45,0,8.28,-555.56,12.06,208.18
107.5,0,7.79,-555.61,12.07,208.4
107.55,0,7.61,-555.68,12.11,208.62
107.6,0,7.48,-555.76,12.2,208.62
107.65,0,7.42,-555.84,12.36,208.4
107.7,0,6.78,-555.92,12.56,208.4
107.75,0,6.04,-555.99,12.79,208.85
107.8,0,5.36,-556.05,13.03,209.51
107.85,0,5.08,-556.09,13.26,210.62
107.9,0,5.09,-556.1,13.43,210.84
107.95,0,5.03,-556.11,13.56,211.07
108,0,5.03,-556.1,13.62,211.07
108.05,0,5.21,-556.09,13.64,211.29
108.1,0,5.45,-556.08,13.59,211.29
108.15,0,5.73,-556.08,13.49,211.29
108.2,0,5.84,-556.09,13.36,210.84
108.25,0,5.91,-556.14,13.24,210.62
108.3,0,6.15,-556.2,13.16,210.62
108.35,0,6.41,-556.29,13.16,210.62
108.4,0,6.71,-556.39,13.27,210.84
108.45,0,6.83,-556.49,13.5,211.73
108.5,0,6.71,-556.57,13.85,213.06
108.55,0,6.51,-556.64,14.28,215.51
108.6,0,6.24,-556.69,14.7,216.62
108.65,0,6.15,-556.72,14.96,216.84
108.7,0,5.88,-556.73,15.05,217.28
108.75,0,5.61,-556.73,14.98,217.73
108.8,0,5.5,-556.72,14.85,218.39
108.85,0,5.42,-556.69,14.75,218.39
108.9,0,5.38,-556.64,14.76,217.73
108.95,0,5.16,-556.57,14.94,216.39
109,0,5.31,-556.48,15.14,216.17
109.05,0,5.49,-556.39,15.18,217.73
109.1,0,5.96,-556.3,14.85,219.95
109.15,0,6.09,-556.23,14.32,223.05
109.2,0,6.41,-556.19,13.72,224.16
109.25,0,6.5,-556.19,13.3,222.61
109.3,0,6.98,-556.22,13.01,219.06
109.35,0,7.3,-556.29,12.91,217.5
109.4,0,7.66,-556.38,12.95,216.39
109.45,0,7.99,-556.48,13.15,216.17
109.5,0,8.93,-556.58,13.46,216.17
109.55,0,9.98,-556.66,13.89,216.84
109.6,0,10.58,-556.72,14.32,217.73
109.65,0,10.71,-556.77,14.65,219.95
109.7,0,10.66,-556.81,14.77,221.28
109.75,0,11.08,-556.83,14.74,221.5
109.8,0,11.15,-556.86,14.65,221.06
109.85,0,11.24,-556.88,14.6,220.61
109.9,0,10.88,-556.89,14.63,220.39
109.95,0,10.62,-556.89,14.72,220.61
110,0,10.1,-556.88,14.84,220.83
110.05,0,9.75,-556.86,14.92,221.06
110.1,0,8.77,-556.83,14.95,221.5
110.15,0,8.1,-556.8,14.88,221.28
110.2,0,7.37,-556.77,14.78,221.06
110.25,0,7.5,-556.73,14.65,220.17
110.3,0,7.77,-556.68,14.55,219.06
110.35,0,8.25,-556.64,14.45,218.61
110.4,0,8.81,-556.58,14.41,218.17
110.45,0,9.01,-556.51,14.4,218.17
110.5,0,9.16,-556.44,14.42,218.17
110.55,0,9.04,-556.36,14.39,218.17
110.6,0,9.04,-556.28,14.25,218.17
110.65,0,9.02,-556.2,14,217.73
110.7,0,9.01,-556.12,13.72,217.28
110.75,0,8.81,-556.05,13.52,216.62
110.8,0,8.56,-555.97,13.39,217.06
110.85,0,8.07,-555.9,13.31,217.73
110.9,0,7.53,-555.83,13.21,218.17
110.95,0,6.92,-555.78,13.07,218.17
111,0,6.09,-555.74,12.87,217.95
111.05,0,5.8,-555.71,12.68,218.17
111.1,0,5.58,-555.7,12.56,218.84
111.15,0,6.08,-555.7,12.54,219.28
111.2,0,6.53,-555.7,12.58,219.72
111.25,0,7.32,-555.7,12.68,220.17
111.3,0,7.97,-555.71,12.78,220.39
111.35,0,8.66,-555.71,12.86,220.17
111.4,0,8.73,-555.7,12.89,219.28
111.45,0,8.68,-555.7,12.89,217.95
111.5,0,8.28,-555.68,12.9,217.06
111.55,0,8.19,-555.65,12.91,216.62
111.6,0,8.29,-555.61,12.95,216.62
111.65,0,8.5,-555.57,12.96,217.06
111.7,0,8.36,-555.51,12.93,216.84
111.75,0,7.97,-555.45,12.83,215.95
111.8,0,7.67,-555.38,12.66,215.06
111.85,0,7.53,-555.31,12.48,213.73
111.9,0,7.44,-555.24,12.3,213.06
111.95,0,6.99,-555.18,12.13,212.62
112,0,6.69,-555.13,12,212.18
112.05,0,6.34,-555.08,11.9,211.73
112.1,0,6,-555.05,11.81,211.51
112.15,0,5.87,-555.03,11.71,211.51
112.2,0,5.77,-555.02,11.6,210.62
112.25,0,5.53,-555.02,11.51,209.73
112.3,0,5.06,-555.04,11.48,208.85
112.35,0,4.52,-555.07,11.48,208.18
112.4,0,4.12,-555.11,11.52,207.96
112.45,0,3.93,-555.17,11.55,208.18
112.5,0,3.81,-555.25,11.61,208.18
112.55,0,4.35,-555.33,11.69,207.96
112.6,0,5.23,-555.43,11.83,207.74
112.65,0,6.32,-555.54,11.99,207.51
112.7,0,7.51,-555.66,12.17,207.51
112.75,0,8.17,-555.79,12.37,207.96
112.8,0,9.34,-555.92,12.59,209.07
112.85,0,10.1,-556.04,12.83,209.96
112.9,0,11.09,-556.17,13.07,210.62
112.95,0,11.24,-556.29,13.35,210.84
113,0,11.27,-556.39,13.62,210.84
113.05,0,11.1,-556.48,13.9,210.84
113.1,0,10.67,-556.55,14.15,210.62
113.15,0,10.16,-556.61,14.36,209.96
113.2,0,9.37,-556.66,14.51,209.29
113.25,0,8.7,-556.69,14.62,208.85
113.3,0,8.01,-556.72,14.68,209.07
113.35,0,7.54,-556.74,14.67,209.96
113.4,0,6.71,-556.75,14.61,210.84
113.45,0,6.25,-556.75,14.53,211.73
113.5,0,5.79,-556.75,14.48,211.51
113.55,0,6.21,-556.76,14.45,210.4
113.6,0,7,-556.76,14.42,208.62
113.65,0,8.04,-556.76,14.37,207.51
113.7,0,9.01,-556.77,14.28,206.4
113.75,0,9.41,-556.79,14.19,205.74
113.8,0,9.68,-556.82,14.11,205.96
113.85,0,9.82,-556.85,14.1,206.4
113.9,0,10.1,-556.88,14.13,206.63
113.95,0,10.38,-556.93,14.19,206.85
114,0,11.1,-556.99,14.22,207.07
114.05,0,11.3,-557.06,14.22,207.07
114.1,0,11.48,-557.18,14.21,206.63
114.15,0,11.16,-557.33,14.24,205.52
114.2,0,10.33,-557.53,14.27,205.07
114.25,0,9.3,-557.78,14.38,205.52
114.3,0,8.13,-558.06,14.61,206.4
114.35,0,7.88,-558.35,15.11,207.29
114.4,0,8,-558.64,15.84,208.18
114.45,0,8.38,-558.9,16.8,209.51
114.5,0,8.48,-559.11,17.82,211.07
114.55,0,8.37,-559.28,18.82,213.29
114.6,0,8.17,-559.4,19.64,213.95
114.65,0,8.71,-559.46,20.23,212.4
114.7,0,9.78,-559.49,20.48,209.96
114.75,0,11.1,-559.47,20.46,210.18
114.8,0,11.97,-559.43,20.26,212.84
114.85,0,12.61,-559.35,20.04,214.4
114.9,0,13.32,-559.24,19.92,212.18
114.95,0,13.99,-559.1,19.87,209.96
115,0,14.26,-558.94,19.81,210.18
115.05,0,14.05,-558.76,19.6,210.4
115.1,0,13.66,-558.56,19.32,209.29
115.15,0,13.34,-558.35,18.96,208.18
