Depth,Ng,Cal,SP,Res,Den
106.95,10.27,211.95,-556.24,14.59,0
107,9.72,211.73,-556.07,14.07,0
107.05,9,211.51,-555.92,13.54,0
107.1,8.75,211.07,-555.8,13.11,0
107.15,8.75,210.4,-555.69,12.77,0
107.2,8.9,209.73,-555.61,12.54,0
107.25,8.73,208.62,-555.56,12.35,0
107.3,8.73,208.18,-555.52,12.2,0
107.35,8.69,207.96,-555.51,12.11,0
107.4,8.68,207.96,-555.53,12.06,0
107.45,8.28,208.18,-555.56,12.06,0
107.5,7.79,208.4,-555.61,12.07,0
107.55,7.61,208.62,-555.68,12.11,0
107.6,7.48,208.62,-555.76,12.2,0
107.65,7.42,208.4,-555.84,12.36,0
107.7,6.78,208.4,-555.92,12.56,0
107.75,6.04,208.85,-555.99,12.79,0
107.8,5.36,209.51,-556.05,13.03,0
107.85,5.08,210.62,-556.09,13.26,0
107.9,5.09,210.84,-556.1,13.43,0
107.95,5.03,211.07,-556.11,13.56,0
108,5.03,211.07,-556.1,13.62,0
108.05,5.21,211.29,-556.09,13.64,0
108.1,5.45,211.29,-556.08,13.59,0
108.15,5.73,211.29,-556.08,13.49,0
108.2,5.84,210.84,-556.09,13.36,0
108.25,5.91,210.62,-556.14,13.24,0
108.3,6.15,210.62,-556.2,13.16,0
108.35,6.41,210.62,-556.29,13.16,0
108.4,6.71,210.84,-556.39,13.27,0
108.45,6.83,211.73,-556.49,13.5,0
108.5,6.71,213.06,-556.57,13.85,0
108.55,6.51,215.51,-556.64,14.28,0
108.6,6.24,216.62,-556.69,14.7,0
108.65,6.15,216.84,-556.72,14.96,0
108.7,5.88,217.28,-556.73,15.05,0
108.75,5.61,217.73,-556.73,14.98,0
108.8,5.5,218.39,-556.72,14.85,0
108.85,5.42,218.39,-556.69,14.75,0
108.9,5.38,217.73,-556.64,14.76,0
108.95,5.16,216.39,-556.57,14.94,0
109,5.31,216.17,-556.48,15.14,0
109.05,5.49,217.73,-556.39,15.18,0
109.1,5.96,219.95,-556.3,14.85,0
