Depth,Dense,Ng,Cal,SP,Res
113.05,2.48,9.9,151.25,-255.78,18.23
113.1,2.49,9.34,150.16,-253.45,18.37
113.15,2.49,9.05,148.65,-252.38,18.94
113.2,2.5,8.88,147.2,-252.98,20.17
113.25,2.5,8.99,145.85,-255.15,21.9
113.3,2.49,8.77,144.45,-258.36,24.15
113.35,2.48,8.55,142.7,-261.9,26.21
113.4,2.48,8.67,141.04,-265.05,27.84
113.45,2.48,9.04,139.61,-267.41,28.65
113.5,2.47,9.54,138.72,-268.74,28.8
113.55,2.47,9.92,138.13,-268.94,28.22
113.6,2.46,10.49,137.83,-268.02,27.13
113.65,2.46,11.08,137.65,-266.12,25.73
113.7,2.45,11.72,137.51,-263.76,24.25
113.75,2.45,11.76,137.36,-261.65,22.85
113.8,2.44,11.7,137.3,-260.56,21.58
113.85,2.44,11.29,137.71,-260.64,20.73
113.9,2.44,11.4,138.57,-261.7,20.52
113.95,2.45,11.54,139.81,-263.2,21.04
114,2.45,11.19,140.98,-264.77,21.96
114.05,2.45,10.55,142.17,-265.99,22.77
114.1,2.44,9.75,143.53,-266.67,23.2
114.15,2.43,9.86,144.93,-266.66,23.19
114.2,2.43,9.72,146.24,-266.11,22.91
114.25,2.43,9.72,147.27,-265.23,22.49
114.3,2.43,9.89,148.18,-264.28,22.21
114.35,2.43,10.52,148.83,-263.41,22.15
114.4,2.42,11.28,149.19,-262.64,22.35
114.45,2.42,11.96,149.3,-261.89,22.68
114.5,2.41,12.65,149.26,-261.01,23.03
114.55,2.41,13.32,149.28,-260.25,23.32
114.6,2.4,13.79,149.28,-260,23.49
114.65,2.4,14.62,149.37,-260.76,23.4
114.7,2.41,15.48,149.43,-262.51,23.01
114.75,2.41,15.82,149.5,-264.91,22.21
114.8,2.42,15.46,149.57,-267.28,21.27
114.85,2.42,14.86,149.64,-269.17,20.35
114.9,2.42,14.46,149.54,-270.4,19.93
114.95,2.42,14.46,149.23,-271.1,20.05
115,2.43,14.59,149.1,-271.47,20.67
115.05,2.43,14.81,149.54,-271.51,21.4
115.1,2.43,14.88,150.54,-271.05,22.03
115.15,2.44,14.74,151.49,-269.97,22.41
115.2,2.45,14.52,152.15,-268.48,22.59
115.25,2.46,14.05,152.51,-267.07,22.73
115.3,2.46,13.72,152.76,-266.13,22.94
115.35,2.45,13.35,153.02,-265.73,23.24
115.4,2.45,13.41,153.3,-265.59,23.61
115.45,2.44,13.15,153.31,-265.28,24.17
115.5,2.44,12.91,152.8,-264.47,24.85
115.55,2.45,12.41,151.68,-263.05,25.46
115.6,2.45,12.47,150.46,-261.32,25.55
115.65,2.45,12.58,149.55,-259.61,24.95
115.7,2.46,13.01,148.99,-258.37,23.9
115.75,2.46,13.72,148.7,-257.6,22.84
115.8,2.47,14.75,148.44,-257.27,22.3
115.85,2.47,15.69,148.28,-257.14,22.27
115.9,2.48,16.49,148.16,-257.29,22.72
115.95,2.48,17.04,148.19,-257.97,23.43
116,2.49,17.51,148.48,-259.47,24.29
116.05,2.49,17.31,149.12,-261.9,25
116.1,2.49,17.56,149.88,-264.89,25.48
116.15,2.49,17.77,150.61,-268.07,25.77
116.2,2.5,18.47,151.13,-270.91,26.12
116.25,2.5,18.25,151.56,-273.21,26.62
116.3,2.5,17.94,151.88,-274.8,27.19
116.35,2.5,16.84,152.16,-275.72,27.87
116.4,2.49,15.76,152.28,-276.1,28.6
116.45,2.49,14.52,152.23,-275.98,29.38
116.5,2.48,13.66,152.02,-275.25,29.89
116.55,2.48,13.04,151.79,-273.81,30.11
116.6,2.46,12.54,151.62,-271.67,29.92
116.65,2.45,12.72,151.49,-269.42,29.46
116.7,2.44,12.65,151.39,-267.66,28.57
116.75,2.43,12.67,151.3,-267.08,27.39
116.8,2.42,11.87,151.17,-267.63,25.96
116.85,2.41,11.71,151.08,-269.1,24.61
116.9,2.4,11.51,150.99,-270.82,23.5
116.95,2.38,12.24,150.95,-272.36,22.91
117,2.37,12.75,150.93,-273.19,22.75
117.05,2.36,13.4,150.92,-273.15,22.79
117.1,2.35,13.63,150.87,-272.28,22.76
117.15,2.35,13.61,150.76,-271.11,22.48
117.2,2.35,13.05,150.56,-270.14,22.03
117.25,2.35,12.33,150.32,-269.77,21.54
117.3,2.35,11.68,150.1,-269.92,21.21
117.35,2.34,11.4,149.96,-270.37,21.16
117.4,2.34,11.02,149.88,-270.76,21.48
117.45,2.35,10.28,149.84,-270.91,21.99
117.5,2.36,9.46,149.82,-270.77,22.44
117.55,2.37,8.95,149.85,-270.44,22.56
117.6,2.38,9.08,149.9,-270.09,22.43
117.65,2.39,9.41,149.96,-269.8,22.1
117.7,2.41,9.7,149.99,-269.57,21.81
117.75,2.42,10.02,150,-269.44,21.59
117.8,2.42,10.34,150.01,-269.6,21.53
117.85,2.43,11.07,150.1,-270.22,21.53
117.9,2.44,11.68,150.34,-271.4,21.56
117.95,2.45,12.35,150.68,-273.01,21.62
118,2.46,12.61,150.97,-274.74,21.71
118.05,2.46,12.59,151.18,-276.11,21.87
118.1,2.46,12.44,151.33,-276.84,22.15
118.15,2.45,11.61,151.44,-276.88,22.45
118.2,2.45,10.61,151.45,-276.43,22.65
118.25,2.45,9.44,151.39,-275.79,22.79
118.3,2.45,8.81,151.2,-275.2,23.05
118.35,2.45,8.45,150.93,-274.91,23.51
118.4,2.45,7.85,150.52,-275.04,24.01
118.45,2.44,7.26,150.08,-275.62,24.42
118.5,2.43,6.42,149.6,-276.57,24.67
118.55,2.43,5.74,149.15,-277.62,24.81
118.6,2.43,5.03,148.74,-278.45,24.81
118.65,2.43,5.15,148.43,-278.71,24.65
118.7,2.43,5.84,148.2,-278.24,24.18
118.75,2.43,6.8,147.96,-277.1,23.35
118.8,2.43,7.33,147.69,-275.61,22.21
118.85,2.43,7.83,147.41,-274.22,21.12
118.9,2.43,8.23,147.12,-273.24,20.39
118.95,2.43,8.81,146.74,-272.61,20.28
119,2.43,9.81,146.07,-271.78,20.74
119.05,2.42,10.92,145.15,-270.43,21.68
119.1,2.42,11.95,144.26,-268.61,22.8
119.15,2.42,12.77,143.85,-267.01,23.98
119.2,2.43,13.54,144.03,-266.16,25
119.25,2.43,14.26,144.57,-266.38,25.6
119.3,2.44,14.96,145.11,-267.53,25.44
119.35,2.44,15.65,145.5,-269.53,24.69
119.4,2.44,16.32,145.74,-272.17,23.69
119.45,2.44,16.59,145.82,-275.22,23.17
119.5,2.45,16.78,145.88,-278.26,23.24
119.55,2.45,16.68,145.95,-280.91,24.08
119.6,2.47,16.09,146.07,-283.07,25.3
119.65,2.48,15.35,146.15,-284.77,26.84
119.7,2.5,14.89,146.23,-286.16,28.31
119.75,2.5,14.85,146.31,-287.18,29.74
119.8,2.51,14.95,146.38,-287.55,30.97
119.85,2.51,14.56,146.41,-286.95,32.33
119.9,2.5,13.7,146.44,-285.08,33.67
119.95,2.5,12.65,146.45,-282.09,34.87
120,2.5,11.87,146.41,-278.35,35.24
120.05,2.5,11.51,146.32,-274.62,34.72
120.1,2.5,11.68,146.16,-271.55,33.41
120.15,2.5,12.04,146.02,-269.54,32.05
120.2,2.5,12.54,145.92,-268.57,30.94
120.25,2.5,12.52,145.91,-268.32,30.28
120.3,2.49,12.41,145.93,-268.45,29.84
120.35,2.48,12.39,145.98,-268.78,29.51
120.4,2.48,12.76,146,-269.39,29.19
120.45,2.48,13.23,146.01,-270.53,29.04
120.5,2.49,13.8,145.97,-272.4,29.11
120.55,2.49,14.41,145.92,-274.87,29.58
120.6,2.49,15.04,145.86,-277.49,30.27
120.65,2.48,15.49,145.84,-279.57,31.1
120.7,2.47,15.71,145.82,-280.61,31.73
120.75,2.47,15.84,145.86,-280.39,32.01
120.8,2.47,16.11,145.9,-279.04,31.78
120.85,2.47,16.79,145.96,-276.85,31.22
120.9,2.47,17.38,145.99,-274.28,30.59
120.95,2.47,17.83,146,-272.08,30.06
121,2.46,17.84,146.1,-270.82,29.63
121.05,2.45,17.74,146.25,-270.76,29.23
121.1,2.44,17.52,146.48,-271.35,28.76
121.15,2.44,17.45,146.65,-271.91,28.2
121.2,2.44,17.39,146.77,-271.92,27.59
121.25,2.45,17.37,146.83,-271.4,26.94
121.3,2.45,16.95,146.87,-270.69,26.38
121.35,2.45,16.86,146.89,-270.27,25.98
121.4,2.44,16.76,146.9,-270.43,25.76
121.45,2.43,16.73,146.9,-271.15,25.62
121.5,2.43,16.1,146.99,-272.14,25.49
121.55,2.43,15.37,147.15,-273.2,25.29
121.6,2.43,14.69,147.33,-274.23,25.09
121.65,2.42,14.61,147.44,-275.4,24.9
121.7,2.42,14.46,147.54,-276.74,24.8
121.75,2.42,14.41,147.63,-278.25,24.75
121.8,2.41,14.18,147.71,-279.67,24.83
121.85,2.4,13.92,147.75,-280.59,24.99
121.9,2.4,13.62,147.73,-280.63,25.14
121.95,2.41,13.11,147.73,-279.74,25.07
122,2.42,13.15,147.86,-278.2,24.7
122.05,2.42,13.25,148.33,-276.65,24.12
122.1,2.42,14.08,149.29,-275.65,23.53
122.15,2.42,14.47,150.6,-275.76,23.09
122.2,2.42,14.71,151.94,-277.1,22.84
122.25,2.42,14.44,152.91,-279.66,22.76
122.3,2.42,14.03,153.51,-282.85,22.82
122.35,2.42,13.49,153.82,-286.08,22.95
122.4,2.42,12.9,154,-288.62,23.08
122.45,2.42,12.68,154.15,-290.16,23.2
122.5,2.42,12.92,154.22,-290.6,23.3
122.55,2.42,13.32,154.3,-290.31,23.36
122.6,2.41,13.25,154.42,-289.7,23.33
122.65,2.4,12.91,154.6,-289.14,23.23
122.7,2.4,12.43,154.57,-288.67,23.12
122.75,2.39,12.47,154.2,-288.3,23.02
122.8,2.39,12.78,153.54,-287.95,23.05
122.85,2.39,13.45,152.8,-287.7,23.17
122.9,2.39,14.05,151.94,-287.32,23.29
122.95,2.39,15.1,151.14,-286.69,23.35
123,2.38,16.03,150.49,-285.68,23.47
123.05,2.37,17.03,150.11,-284.69,23.74
123.1,2.37,16.81,149.73,-284.01,24.25
123.15,2.36,16.17,149.31,-283.91,24.94
123.2,2.35,15.2,148.8,-284.24,25.88
123.25,2.35,14.27,148.21,-284.82,26.64
123.3,2.35,13.49,147.59,-285.5,26.91
123.35,2.32,12.75,147.57,-286.3,26.53
123.4,2.3,12.05,148.42,-287.13,25.85
123.45,2.27,10.96,149.48,-287.76,25.09
123.5,2.26,9.6,149.86,-287.99,24.34
123.55,2.26,8.51,149.25,-287.85,23.45
123.6,2.26,7.62,148.41,-287.44,22.38
123.65,2.27,7.23,147.41,-286.79,21.07
123.7,2.27,6.97,146.47,-285.77,19.77
123.75,2.27,7.04,145.45,-284.45,18.64
123.8,2.27,7.6,144.66,-283.31,18.02
123.85,2.27,8.33,144.04,-282.87,17.9
123.9,2.3,9.39,143.44,-283.5,18.34
123.95,2.33,9.94,142.76,-284.65,19.03
124,2.37,10.47,141.83,-285.5,19.92
124.05,2.38,10.88,140.85,-285.08,20.84
124.1,2.4,11.27,139.84,-283.39,21.9
124.15,2.4,11.63,139,-280.95,22.99
124.2,2.41,12.18,138.14,-278.74,24.19
124.25,2.42,13.16,137.31,-277.42,25.39
124.3,2.42,14.07,136.26,-277.15,26.84
124.35,2.43,14.65,135.05,-277.72,28.54
124.4,2.44,14.94,133.71,-278.53,30.87
124.45,2.44,15.32,132.66,-279.1,33.5
124.5,2.44,15.65,131.92,-279.19,36.07
124.55,2.45,16.39,131.47,-278.93,37.74
124.6,2.45,17.21,131.1,-278.75,38.36
124.65,2.44,18.52,130.8,-278.95,37.88
124.7,2.43,19.35,130.58,-279.69,36.83
124.75,2.42,20.17,130.48,-280.86,35.69
124.8,2.41,20.5,130.54,-282.38,34.99
124.85,2.41,20.74,130.71,-284.14,34.63
124.9,2.41,21.45,131.07,-286.08,34.35
124.95,2.4,22.24,131.58,-287.97,33.91
125,2.4,22.74,132.33,-289.44,33.31
125.05,2.39,22.6,133.11,-290.06,32.66
125.1,2.38,22.27,133.91,-289.64,32.07
125.15,2.38,21.77,134.58,-288.48,31.65
125.2,2.38,20.81,135.18,-287.19,31.46
125.25,2.39,19.72,135.66,-286.6,31.48
125.3,2.39,18.71,136.05,-287.06,31.59
125.35,2.4,18.08,136.32,-288.66,31.53
125.4,2.4,17.56,136.45,-290.89,31.17
125.45,2.41,16.93,136.48,-293.19,30.33
125.5,2.42,15.9,136.42,-294.89,29.2
125.55,2.44,14.77,136.38,-295.69,27.91
125.6,2.45,14.13,136.31,-295.49,26.86
125.65,2.47,13.38,136.29,-294.55,26.18
125.7,2.48,12.7,136.27,-293.13,25.85
125.75,2.49,11.82,136.26,-291.37,25.59
125.8,2.49,11.7,136.26,-289.12,25.2
125.85,2.48,11.7,136.3,-286.29,24.74
125.9,2.48,12.08,136.35,-283.07,24.41
125.95,2.47,11.96,136.41,-280.01,24.3
126,2.47,12.01,136.43,-277.76,24.42
126.05,2.47,11.79,136.45,-276.68,24.71
126.1,2.48,12.36,136.42,-276.72,25.22
126.15,2.47,12.63,136.37,-277.53,26.04
126.2,2.46,13,136.26,-278.62,27.18
126.25,2.45,13.13,136.23,-279.74,28.8
126.3,2.45,13.63,136.3,-280.78,30.89
126.35,2.45,14.15,136.52,-281.96,33.73
126.4,2.45,14.36,136.85,-283.54,36.78
126.45,2.46,13.9,137.13,-285.77,39.69
126.5,2.46,13.25,137.34,-288.54,41.61
126.55,2.46,12.83,137.44,-291.45,42.68
126.6,2.46,12.82,137.46,-293.9,42.95
126.65,2.45,12.93,137.4,-295.36,42.95
126.7,2.44,12.55,137.26,-295.56,42.83
126.75,2.44,12.1,137.17,-294.75,42.73
126.8,2.43,11.53,137.17,-293.48,42.63
126.85,2.42,11.13,137.24,-292.44,42.55
126.9,2.41,10.73,137.34,-292.06,42.59
126.95,2.4,10.37,137.47,-292.25,42.79
127,2.38,10.22,137.65,-292.71,43.27
127.05,2.37,10.52,137.84,-292.94,44.24
127.1,2.35,10.75,138.09,-292.81,45.31
127.15,2.34,11.05,138.4,-292.35,45.29
127.2,2.33,10.76,138.74,-291.86,43.02
127.25,2.32,10.56,139.09,-291.58,38.57
127.3,2.31,10.07,139.49,-291.62,33.01
127.35,2.31,9.53,140.13,-291.94,27.62
127.4,2.31,8.92,141,-292.43,23.07
127.45,2.31,8.49,142.06,-292.88,19.75
127.5,2.31,7.88,142.98,-293.09,17.54
127.55,2.32,7.47,143.64,-292.96,16.23
127.6,2.32,7.07,144.05,-292.64,15.49
127.65,2.33,6.91,144.44,-292.29,15.11
127.7,2.33,6.8,144.95,-292.06,14.96
127.75,2.33,6.74,145.49,-291.72,14.95
127.8,2.33,6.91,146.06,-291.17,15.05
127.85,2.33,7.13,146.63,-290.32,15.24
127.9,2.34,7.41,147.44,-289.44,15.51
127.95,2.34,7.71,148.34,-288.76,15.84
128,2.34,8.22,149.3,-288.47,16.18
128.05,2.34,8.79,150.07,-288.56,16.5
128.1,2.34,9.4,150.55,-288.93,16.83
128.15,2.34,9.44,150.67,-289.44,17.14
128.2,2.34,9.37,150.7,-289.92,17.46
128.25,2.34,9.53,150.95,-290.19,17.76
128.3,2.35,8.95,151.4,-290.09,18.05
128.35,2.35,8.27,151.94,-289.48,18.31
128.4,2.36,7.05,152.46,-288.33,18.53
128.45,2.37,6.66,153.02,-286.51,18.72
128.5,2.37,6.34,153.72,-284.08,18.9
128.55,2.38,6.2,154.6,-281.2,19.07
128.6,2.38,6.11,155.98,-278.48,19.26
128.65,2.38,6.06,157.81,-276.62,19.49
128.7,2.38,6.03,160.01,-276.14,19.75
128.75,2.38,6.02,162.06,-277.18,19.93
128.8,2.38,6.01,163.61,-279.5,19.96
128.85,2.38,6.61,164.65,-282.68,19.86
128.9,2.38,7.12,165.3,-286.1,19.71
128.95,2.38,7.75,165.9,-289.14,19.58
129,2.38,7.97,166.51,-291.4,19.47
129.05,2.38,8.54,167.19,-292.75,19.38
129.1,2.38,9.1,168.03,-293.38,19.29
129.15,2.38,9.33,169.09,-293.35,19.19
129.2,2.38,9.69,170.27,-292.75,18.98
129.25,2.38,10,171.33,-291.59,18.7
129.3,2.38,10.54,172.14,-290.2,18.33
129.35,2.38,10.51,172.65,-288.93,17.96
129.4,2.39,10.41,172.96,-288.2,17.64
129.45,2.39,9.98,173.16,-287.88,17.44
129.5,2.39,9.68,173.53,-287.6,17.38
129.55,2.39,9.33,174.05,-286.95,17.38
129.6,2.39,9.2,174.53,-286,17.39
129.65,2.39,9.51,174.69,-285.2,17.35
129.7,2.38,10.34,174.51,-285.16,17.29
129.75,2.37,11.37,174.06,-286.08,17.19
129.8,2.36,11.74,173.57,-287.64,17.02
129.85,2.34,11.82,173.12,-289.17,16.78
129.9,2.32,11.71,172.94,-290.2,16.46
129.95,2.3,12.31,172.9,-290.64,16.07
130,2.28,13.6,173.07,-290.63,15.62
130.05,2.27,15.18,173.5,-290.15,15.09
130.1,2.27,16.76,174.29,-288.99,14.46
130.15,2.26,17.39,175.37,-287.05,13.67
130.2,2.26,17.83,176.64,-284.57,12.86
130.25,2.25,17.44,178.04,-282.08,12.11
130.3,2.25,17.05,179.55,-280.1,11.61
130.35,2.26,16.5,180.89,-278.89,11.29
130.4,2.27,16.31,182.12,-278.44,11.13
130.45,2.28,15.96,183.17,-278.66,11.02
130.5,2.29,15.66,184.25,-279.62,10.97
130.55,2.3,15.32,185.03,-281.29,10.92
130.6,2.3,14.6,185.49,-283.54,10.89
130.65,2.3,13.78,185.6,-285.76,10.86
130.7,2.31,12.48,185.9,-287.58,10.83
130.75,2.32,11.65,186.55,-288.92,10.82
130.8,2.33,10.83,187.28,-290.05,10.8
130.85,2.34,10.5,187.69,-291.02,10.8
130.9,2.35,9.86,187.78,-291.7,10.82
130.95,2.35,9.27,187.88,-291.85,10.84
131,2.35,9.03,188.14,-291.49,10.87
131.05,2.33,9.66,188.66,-290.73,10.92
131.1,2.31,10.54,189.7,-289.73,10.97
131.15,2.28,11.24,190.5,-288.45,10.99
131.2,2.25,11.76,190.61,-287.13,10.98
131.25,2.22,12.8,189.76,-286.05,10.96
131.3,2.21,13.91,188.86,-285.87,10.91
131.35,2.2,15.14,188.24,-286.97,10.86
131.4,2.21,15.41,187.89,-289.43,10.79
131.45,2.21,15.51,187.61,-292.8,10.71
131.5,2.22,15.38,187.4,-296.31,10.65
131.55,2.22,15.58,187.26,-299.21,10.6
131.6,2.22,15.79,187.19,-300.93,10.59
131.65,2.23,15.47,187.14,-301.37,10.59
131.7,2.24,15.05,187.12,-300.97,10.63
131.75,2.26,14.71,187.11,-300.33,10.67
131.8,2.28,14.75,187.23,-300.11,10.72
131.85,2.3,14.69,187.7,-300.42,10.77
131.9,2.32,14.49,188.89,-301.09,10.81
131.95,2.34,14.44,190.64,-301.67,10.82
132,2.34,14.99,191.98,-301.9,10.82
132.05,2.33,15.68,191.93,-301.79,10.78
132.1,2.31,16.33,190.63,-301.58,10.74
132.15,2.3,16,188.86,-301.43,10.71
132.2,2.29,15.47,187.4,-301.32,10.67
132.25,2.27,14.49,186.26,-301.15,10.66
132.3,2.25,13.59,185.61,-300.89,10.65
132.35,2.21,12.62,185.25,-300.66,10.65
132.4,2.18,11.44,185.1,-300.54,10.66
132.45,2.16,10.41,184.99,-300.52,10.7
132.5,2.15,9.37,185.03,-300.55,10.76
132.55,2.14,8.76,185.64,-300.59,10.85
132.6,2.14,8.43,187.28,-300.7,10.97
132.65,2.12,8.24,190.12,-301.05,11.08
132.7,2.12,7.93,193.06,-301.8,11.19
132.75,2.12,8.03,195.24,-303.06,11.29
132.8,2.12,8.79,195.95,-304.79,11.37
132.85,2.13,9.97,195.6,-306.8,11.44
132.9,2.15,11.15,194.38,-308.67,11.51
132.95,2.16,12.42,192.83,-309.85,11.56
133,2.18,13.72,191.12,-309.78,11.61
133.05,2.2,14.83,189.71,-308.37,11.65
133.1,2.21,14.91,188.91,-305.99,11.71
133.15,2.22,14.75,189.18,-303.27,11.77
133.2,2.23,14.33,189.87,-300.54,11.85
133.25,2.24,14.22,189.62,-297.81,11.95
133.3,2.25,14.11,187.53,-295.14,12.08
133.35,2.25,13.87,183.73,-292.77,12.23
133.4,2.25,13.2,179.49,-291.36,12.39
133.45,2.25,12.41,175.62,-291.37,12.5
133.5,2.25,11.32,172.75,-293.04,12.57
133.55,2.25,9.95,170.83,-295.75,12.62
133.6,2.25,8.45,169.69,-298.38,12.68
133.65,2.26,7.28,168.9,-299.66,12.75
133.7,2.27,7.15,168.16,-298.98,12.86
133.75,2.28,7.29,167.06,-296.61,13.01
133.8,2.28,7.49,165.8,-293.44,13.18
133.85,2.29,7.55,164.57,-290.39,13.37
133.9,2.29,7.61,163.54,-288.25,13.54
133.95,2.3,7.63,162.29,-287.55,13.71
134,2.3,7.45,160.77,-288.57,13.83
134.05,2.31,7.22,159.11,-290.87,13.91
134.1,2.31,7.33,157.4,-293.41,13.92
134.15,2.31,7.71,155.75,-295.17,13.88
134.2,2.31,8.21,154.15,-295.54,13.84
134.25,2.31,8.38,152.88,-294.75,13.8
134.3,2.3,7.92,151.77,-293.38,13.75
134.35,2.28,7.26,150.89,-292.23,13.68
134.4,2.28,6.84,150.19,-291.7,13.61
134.45,2.27,6.82,149.69,-291.73,13.55
134.5,2.27,6.93,149.28,-292.03,13.51
134.55,2.26,7.35,148.87,-292.29,13.46
134.6,2.26,7.86,148.49,-292.61,13.44
134.65,2.26,8.44,148.15,-293.07,13.45
134.7,2.26,8.66,147.87,-293.82,13.49
134.75,2.26,8.82,147.61,-294.57,13.58
134.8,2.26,8.9,147.42,-295.19,13.71
134.85,2.26,9.34,147.24,-295.54,13.89
134.9,2.26,9.85,147.12,-295.79,14.11
134.95,2.26,10.44,147.02,-295.71,14.35
135,2.27,10.26,146.97,-295.14,14.58
135.05,2.28,10.34,146.9,-293.69,14.77
135.1,2.28,10.32,146.83,-291.81,14.9
135.15,2.28,10.73,146.76,-289.87,14.97
135.2,2.28,11.01,146.73,-288.5,15.01
135.25,2.28,11.35,146.71,-287.38,15.01
135.3,2.29,11.67,146.7,-286.28,15.01
135.35,2.29,11.8,146.7,-284.84,14.98
135.4,2.29,11.9,146.69,-283.46,14.92
135.45,2.3,11.74,146.69,-282.77,14.84
135.5,2.3,11.33,146.69,-283.37,14.76
135.55,2.31,10.81,146.69,-285.27,14.67
135.6,2.31,10.63,146.69,-287.79,14.54
135.65,2.32,10.29,146.69,-290.15,14.35
135.7,2.33,9.98,146.69,-291.65,14.13
135.75,2.34,9.25,146.69,-292.16,13.89
135.8,2.33,8.85,146.69,-291.76,13.69
135.85,2.33,8.42,146.69,-290.76,13.57
135.9,2.32,8.25,146.69,-289.36,13.56
135.95,2.32,8.14,146.69,-287.73,13.65
136,2.32,7.88,146.69,-285.96,13.83
136.05,2.31,7.6,146.69,-284.2,14.06
136.1,2.3,7.3,146.69,-282.93,14.28
136.15,2.3,7.58,146.64,-282.51,14.41
136.2,2.29,8.38,146.59,-283.27,14.46
136.25,2.28,9.39,146.52,-284.82,14.45
136.3,2.28,9.95,146.5,-286.6,14.44
136.35,2.28,10.27,146.44,-287.86,14.42
136.4,2.27,10.45,146.38,-288.49,14.41
136.45,2.27,10.74,146.31,-288.78,14.39
136.5,2.28,11.04,146.28,-289.42,14.36
136.55,2.28,11.36,146.26,-290.95,14.32
136.6,2.28,11.88,146.25,-293.45,14.26
136.65,2.27,12.45,146.25,-296.41,14.2
136.7,2.26,13.07,146.24,-299.07,14.15
136.75,2.25,13.3,146.24,-300.94,14.13
136.8,2.24,12.87,146.24,-301.98,14.14
136.85,2.23,12.24,146.24,-302.49,14.18
136.9,2.23,12.02,146.24,-302.79,14.24
136.95,2.24,11.85,146.24,-302.97,14.31
137,2.25,11.38,146.24,-302.85,14.39
137.05,2.25,10.45,146.24,-302.2,14.47
137.1,2.26,9.36,146.24,-301.15,14.52
137.15,2.27,8.56,146.24,-300.04,14.56
137.2,2.28,7.79,146.24,-299.22,14.58
137.25,2.29,7.27,146.24,-298.68,14.59
137.3,2.31,6.81,146.24,-298.12,14.6
137.35,2.32,6.42,146.24,-297.35,14.6
137.4,2.34,6.25,146.24,-296.36,14.57
137.45,2.36,6.13,146.24,-295.52,14.5
137.5,2.36,5.68,146.28,-295.19,14.41
137.55,2.36,5.36,146.34,-295.7,14.31
137.6,2.36,5.01,146.4,-296.98,14.23
137.65,2.35,5.27,146.47,-298.57,14.16
137.7,2.35,5.46,146.54,-299.81,14.12
137.75,2.35,5.75,146.66,-300.18,14.13
137.8,2.35,5.84,146.74,-299.91,14.19
137.85,2.34,5.92,146.83,-299.69,14.29
137.9,2.33,5.95,146.86,-300.28,14.47
137.95,2.32,5.77,146.88,-301.89,14.69
138,2.31,5.75,146.9,-304.07,14.95
138.05,2.3,5.7,146.9,-306.18,15.16
138.1,2.29,6.09,146.91,-307.49,15.29
138.15,2.29,6.36,146.91,-307.77,15.34
138.2,2.29,6.69,146.91,-306.93,15.32
138.25,2.29,6.61,146.91,-305.25,15.22
138.3,2.29,6.46,146.91,-303.09,15.04
138.35,2.28,6.61,146.91,-300.93,14.8
138.4,2.28,7.02,146.91,-299.09,14.54
138.45,2.29,7.33,146.91,-297.74,14.31
138.5,2.29,7.27,146.91,-296.82,14.13
138.55,2.3,7.12,146.91,-296.22,14.03
138.6,2.3,6.88,146.87,-295.74,13.95
138.65,2.3,6.6,146.77,-295.09,13.89
138.7,2.3,6.1,146.65,-294.18,13.82
138.75,2.31,5.74,146.56,-293.13,13.77
138.8,2.31,5.37,146.52,-292.57,13.76
138.85,2.31,5.42,146.45,-293.08,13.82
138.9,2.31,5.36,146.38,-295.03,13.91
138.95,2.31,5.36,146.31,-298.08,14.03
139,2.31,4.94,146.28,-301.44,14.15
139.05,2.31,4.86,146.26,-304.36,14.25
139.1,2.32,4.76,146.25,-306.41,14.34
139.15,2.32,4.92,146.25,-307.67,14.37
139.2,2.32,4.74,146.24,-308.38,14.37
139.25,2.32,4.53,146.24,-308.83,14.33
139.3,2.32,4.45,146.24,-309.14,14.29
139.35,2.31,4.4,146.24,-309.3,14.25
139.4,2.3,4.37,146.24,-309.18,14.25
139.45,2.3,4.15,146.24,-308.51,14.26
139.5,2.29,4.11,146.24,-307.05,14.29
139.55,2.29,4.05,146.24,-304.68,14.31
139.6,2.28,4.03,146.24,-301.66,14.35
139.65,2.28,4.22,146.24,-298.66,14.39
139.7,2.28,4.65,146.24,-296.43,14.46
139.75,2.28,5.17,146.24,-295.42,14.57
139.8,2.28,5.77,146.24,-295.56,14.68
139.85,2.28,6.19,146.24,-296.37,14.78
139.9,2.29,6.79,146.24,-297.28,14.83
139.95,2.29,7.2,146.24,-297.73,14.81
140,2.3,7.6,146.2,-297.44,14.73
140.05,2.3,7.76,146.14,-296.56,14.61
140.1,2.31,7.87,146.08,-295.48,14.5
140.15,2.31,7.93,146.06,-294.62,14.42
140.2,2.31,7.56,146.08,-294.08,14.37
140.25,2.3,7.1,146.13,-293.86,14.34
140.3,2.31,6.53,146.23,-293.91,14.31
140.35,2.31,6.13,146.3,-294.29,14.31
140.4,2.31,5.73,146.38,-294.96,14.31
140.45,2.31,5.37,146.41,-295.87,14.34
140.5,2.31,5.62,146.44,-296.94,14.37
140.55,2.31,6,146.45,-298.12,14.42
140.6,2.31,6.52,146.5,-299.37,14.48
140.65,2.31,6.9,146.56,-300.73,14.54
140.7,2.3,7.29,146.63,-302.22,14.58
140.75,2.3,7.64,146.65,-303.88,14.59
140.8,2.29,7.79,146.54,-305.52,14.55
140.85,2.28,7.89,146.25,-306.86,14.49
140.9,2.27,7.93,145.81,-307.52,14.45
140.95,2.26,8.16,145.45,-307.38,14.47
141,2.25,8.62,145.2,-306.58,14.54
141.05,2.25,9.16,145.03,-305.46,14.68
141.1,2.24,9.36,144.9,-304.27,14.81
