Depth,Dense,Ng,Cal,SP,Res
56.35,2.14,9.67,175.06,-197.93,13.77
56.4,2.13,10.19,176.71,-197.94,13.15
56.45,2.12,10.77,177.9,-197.82,12.55
56.5,2.11,10.79,178.6,-197.63,12.03
56.55,2.11,10.71,179.07,-197.49,11.55
56.6,2.11,10.7,179.35,-197.53,11.02
56.65,2.11,10.88,179.45,-197.81,10.5
56.7,2.1,11.12,179.35,-198.29,10.01
56.75,2.09,10.8,179.04,-198.93,9.65
56.8,2.08,10.58,178.74,-199.67,9.4
56.85,2.07,10.28,178.44,-200.56,9.25
56.9,2.07,10.37,178.1,-201.62,9.16
56.95,2.07,10.13,177.48,-202.85,9.12
57,2.07,9.9,176.62,-204.08,9.12
57.05,2.07,9.41,175.7,-205.1,9.14
57.1,2.09,9.26,174.86,-205.71,9.17
57.15,2.11,9.33,174.15,-205.92,9.21
57.2,2.12,9.32,173.53,-205.89,9.27
57.25,2.13,9.33,173.09,-205.9,9.34
57.3,2.13,8.93,172.74,-206.2,9.45
57.35,2.14,9.05,172.54,-206.85,9.56
57.4,2.16,9.2,172.34,-207.8,9.67
57.45,2.18,9.85,172.26,-208.73,9.76
57.5,2.2,10.41,172.25,-209.35,9.81
57.55,2.23,11.05,172.41,-209.42,9.83
57.6,2.25,11.69,172.62,-208.89,9.85
57.65,2.28,11.95,172.87,-207.82,9.85
57.7,2.28,12.13,173.05,-206.29,9.9
57.75,2.29,12.22,173.23,-204.5,9.97
57.8,2.3,12.07,173.34,-202.65,10.1
57.85,2.3,11.86,173.4,-201.11,10.27
57.9,2.3,11.99,173.3,-200.17,10.45
57.95,2.3,12.37,173.03,-199.92,10.6
58,2.29,12.87,172.46,-200.2,10.74
58.05,2.28,13.25,171.72,-200.66,10.9
58.1,2.26,13.82,170.83,-201.09,11.04
58.15,2.25,14.21,170.06,-201.44,11.12
58.2,2.24,14.01,169.42,-201.9,11.12
58.25,2.23,13.64,169.05,-202.7,11.05
58.3,2.22,13.73,168.98,-203.98,10.91
58.35,2.21,14.08,169.34,-205.7,10.75
58.4,2.21,14.56,170.02,-207.52,10.61
58.45,2.2,14.73,170.84,-209.12,10.48
58.5,2.2,14.66,171.59,-210.08,10.37
58.55,2.19,14.48,172.08,-210.29,10.22
58.6,2.19,14.43,172.42,-209.73,10.04
58.65,2.2,14.78,172.81,-208.69,9.86
58.7,2.2,15.24,173.66,-207.37,9.7
58.75,2.21,15.6,174.58,-206.03,9.6
58.8,2.22,16.17,175.33,-204.85,9.52
58.85,2.23,16.76,175.8,-204.07,9.49
58.9,2.25,17.19,176,-203.79,9.47
58.95,2.26,17.19,175.78,-203.92,9.48
59,2.28,16.88,174.88,-204.11,9.53
59.05,2.3,16.61,173.73,-204.12,9.62
59.1,2.31,16.3,172.52,-203.76,9.76
59.15,2.33,15.78,171.38,-203.14,9.91
59.2,2.33,15.02,170.25,-202.35,10.05
59.25,2.34,14.16,169.26,-201.61,10.17
59.3,2.34,13.24,168.48,-201.02,10.23
59.35,2.33,12.68,167.99,-200.68,10.25
59.4,2.32,12.18,167.69,-200.55,10.23
59.45,2.3,12.17,167.58,-200.61,10.2
59.5,2.27,12.07,167.59,-200.83,10.16
59.55,2.25,12.05,167.66,-201.17,10.16
59.6,2.22,12.22,167.72,-201.61,10.19
59.65,2.2,12.66,167.74,-201.97,10.24
59.7,2.18,13.18,167.67,-202.24,10.3
59.75,2.16,13.97,167.57,-202.45,10.36
59.8,2.15,14.63,167.4,-202.8,10.39
59.85,2.14,15.32,167.22,-203.3,10.38
59.9,2.13,15.39,166.88,-203.84,10.33
59.95,2.13,15.34,166.38,-204.25,10.23
60,2.12,15.15,165.76,-204.54,10.09
60.05,2.12,14.5,165.14,-204.85,9.94
60.1,2.12,13.73,164.63,-205.38,9.81
60.15,2.12,12.85,164.18,-206.22,9.72
60.2,2.12,12.12,163.72,-207.37,9.68
60.25,2.13,11.39,163.18,-208.68,9.66
60.3,2.13,10.7,162.58,-209.94,9.65
60.35,2.13,10.22,162,-210.88,9.65
60.4,2.14,9.78,161.5,-211.27,9.68
60.45,2.14,9.2,161.1,-211,9.72
60.5,2.14,9,160.88,-210.1,9.75
60.55,2.15,8.84,160.8,-208.79,9.76
60.6,2.15,8.37,160.96,-207.35,9.76
60.65,2.16,7.84,161.38,-206.26,9.76
60.7,2.16,7.24,162.07,-205.8,9.74
60.75,2.17,7.42,162.96,-206.12,9.7
60.8,2.16,7.53,163.9,-206.95,9.66
60.85,2.16,7.79,164.79,-208.02,9.61
60.9,2.16,8.06,165.6,-209.08,9.57
60.95,2.16,8.37,166.3,-210.08,9.53
61,2.15,8.49,166.91,-211.05,9.5
61.05,2.15,8.57,167.4,-212.07,9.47
61.1,2.13,8.61,167.75,-213.18,9.46
61.15,2.12,8.64,167.92,-214.39,9.46
61.2,2.1,8.45,167.84,-215.64,9.47
61.25,2.09,8.22,167.37,-216.84,9.47
61.3,2.08,8.13,166.51,-217.91,9.5
61.35,2.07,7.67,165.31,-218.77,9.55
61.4,2.06,7.16,163.92,-219.33,9.62
61.45,2.05,7.17,162.6,-219.46,9.71
61.5,2.05,7.27,161.49,-219.08,9.81
61.55,2.05,7.49,160.82,-218.15,9.9
61.6,2.05,7.15,160.42,-216.71,9.95
61.65,2.05,6.93,160.26,-214.83,9.97
61.7,2.05,6.62,160.1,-212.61,9.97
61.75,2.06,6.31,159.94,-210.3,9.97
61.8,2.07,6.19,159.79,-208.21,9.97
61.85,2.07,6.1,159.68,-206.74,9.98
61.9,2.08,6.06,159.63,-206.04,9.98
61.95,2.08,6.03,159.64,-206.18,9.99
62,2.09,6.02,159.72,-206.96,9.99
62.05,2.09,5.81,159.92,-208.27,9.98
62.1,2.09,5.57,160.25,-209.86,9.97
62.15,2.09,5.28,160.57,-211.55,9.95
62.2,2.08,5.17,160.7,-213.1,9.96
62.25,2.08,5.09,160.48,-214.22,10
62.3,2.08,5.25,159.97,-214.62,10.1
62.35,2.08,5.47,159.38,-214.08,10.22
62.4,2.07,5.74,158.81,-212.8,10.35
62.45,2.07,5.84,158.27,-211.2,10.41
62.5,2.07,5.92,157.69,-209.93,10.36
62.55,2.07,5.95,157.11,-209.34,10.17
62.6,2.07,6.17,156.57,-209.48,9.9
62.65,2.08,6.43,156.21,-210.12,9.64
62.7,2.08,6.72,156.07,-211,9.43
62.75,2.1,6.83,156.11,-211.93,9.27
62.8,2.12,6.91,156.09,-212.68,9.17
62.85,2.15,7.35,156,-212.93,9.11
62.9,2.17,7.85,155.89,-212.43,9.12
62.95,2.2,8.44,155.85,-211.16,9.18
63,2.23,8.66,155.91,-209.44,9.27
63.05,2.27,8.82,156.09,-207.81,9.37
63.1,2.29,9.1,156.41,-206.8,9.46
63.15,2.32,9.38,156.73,-206.59,9.55
63.2,2.34,9.7,156.99,-207.06,9.66
63.25,2.35,9.62,157.1,-207.84,9.81
63.3,2.36,9.26,157.09,-208.7,10.05
63.35,2.37,8.78,157.02,-209.53,10.41
63.4,2.38,8.61,156.96,-210.33,10.9
63.45,2.4,8.48,156.98,-211.01,11.51
63.5,2.41,8.42,157.2,-211.41,12.21
63.55,2.42,7.98,157.6,-211.46,12.9
63.6,2.43,7.88,158.12,-211.38,13.55
63.65,2.42,7.77,158.66,-211.53,14.12
63.7,2.41,7.93,159.14,-212.16,14.58
63.75,2.4,7.94,159.52,-213.25,14.91
63.8,2.4,7.97,159.78,-214.46,15.3
63.85,2.39,8.18,159.95,-215.45,15.93
63.9,2.38,8.43,160,-216.02,17.03
63.95,2.36,8.72,159.86,-216.25,18.65
64,2.34,8.83,159.62,-216.39,20.26
64.05,2.32,9.11,159.41,-216.63,21.35
64.1,2.29,9.39,159.28,-216.97,21.42
64.15,2.26,9.9,159.25,-217.27,20.69
64.2,2.23,10.26,159.31,-217.37,20.04
64.25,2.21,10.43,159.36,-217.23,19.47
64.3,2.19,10.14,159.12,-216.96,18.78
64.35,2.17,9.71,158.59,-216.74,17.67
64.4,2.15,9.37,157.9,-216.64,16.38
64.45,2.15,9.02,157.3,-216.57,15.26
64.5,2.15,8.68,156.78,-216.34,14.02
64.55,2.15,8.54,156.2,-215.92,12.87
64.6,2.16,8.64,155.49,-215.51,11.93
64.65,2.17,9.04,154.61,-215.33,11.27
64.7,2.18,8.94,153.81,-215.48,10.83
64.75,2.2,8.79,153.2,-215.89,10.56
64.8,2.2,8.15,152.83,-216.42,10.4
64.85,2.2,7.99,152.6,-216.92,10.31
64.9,2.2,7.83,152.43,-217.22,10.26
64.95,2.2,8.16,152.39,-217.28,10.24
65,2.19,8.6,152.53,-217.19,10.24
65.05,2.18,9.15,152.81,-217.19,10.26
65.1,2.17,9.35,153.12,-217.49,10.3
65.15,2.15,9.1,153.33,-218.11,10.39
65.2,2.14,8.69,153.43,-218.71,10.51
65.25,2.12,8.36,153.58,-218.85,10.68
65.3,2.11,8.41,153.81,-218.11,10.89
65.35,2.11,8.55,154.15,-216.53,11.12
65.4,2.12,8.99,154.45,-214.45,11.27
65.45,2.12,8.91,154.62,-212.46,11.27
65.5,2.12,8.78,154.62,-210.99,11.09
65.55,2.12,8.14,154.48,-210.19,10.84
65.6,2.13,7.78,154.27,-209.93,10.66
65.65,2.14,7.38,154.07,-210,10.55
65.7,2.15,7.63,153.9,-210.28,10.52
65.75,2.16,8,153.69,-210.86,10.45
65.8,2.18,9.13,153.39,-211.81,10.36
65.85,2.19,10.03,153.07,-213.19,10.28
65.9,2.2,11.03,152.77,-214.73,10.29
65.95,2.21,11.21,152.47,-216.21,10.37
66,2.21,11.25,152.21,-217.43,10.49
66.05,2.22,11.09,152.05,-218.39,10.62
66.1,2.23,11.47,152.11,-219.11,10.74
66.15,2.24,12.11,152.26,-219.63,10.86
66.2,2.24,12.92,152.44,-219.99,11.02
66.25,2.25,13.41,152.59,-220.09,11.18
66.3,2.25,13.66,152.75,-219.82,11.37
66.35,2.26,13.61,153.03,-219.02,11.59
66.4,2.27,12.86,153.52,-217.72,11.85
66.45,2.27,11.89,154.47,-216.17,12.17
66.5,2.28,10.95,155.74,-214.85,12.55
66.55,2.28,11.17,157.16,-214.25,12.98
66.6,2.28,11.62,158.4,-214.57,13.45
66.65,2.27,12.36,159.47,-215.72,13.89
66.7,2.27,12.6,160.29,-217.27,14.16
66.75,2.27,12.79,160.89,-218.83,14.18
66.8,2.27,12.88,161.35,-220.01,13.87
66.85,2.27,12.93,161.83,-220.65,13.28
66.9,2.27,12.56,162.24,-220.75,12.52
66.95,2.27,12.3,162.37,-220.61,11.74
67,2.27,11.97,161.95,-220.52,11.09
67.05,2.27,12.05,161.18,-220.65,10.65
67.1,2.28,11.81,160.1,-220.94,10.45
67.15,2.28,11.57,158.84,-221.26,10.51
67.2,2.28,11.08,157.44,-221.47,10.77
67.25,2.29,10.73,156.24,-221.44,11.18
67.3,2.3,10.56,155.41,-221.18,11.72
67.35,2.31,10.66,154.91,-220.79,12.37
67.4,2.32,10.84,154.47,-220.49,13.11
67.45,2.32,10.7,154.02,-220.39,13.84
67.5,2.33,11.11,153.35,-220.52,14.51
67.55,2.33,11.56,152.68,-220.88,15.11
67.6,2.33,12.13,152.01,-221.48,15.65
67.65,2.33,12.14,151.53,-222.31,16.15
67.7,2.32,12.06,151.07,-223.3,16.58
67.75,2.32,12.04,150.66,-224.37,16.9
67.8,2.32,12.22,150.27,-225.4,17.13
67.85,2.32,12.45,150.02,-226.3,17.24
67.9,2.32,12.73,149.93,-226.92,17.28
67.95,2.33,12.44,150,-227.18,17.29
68,2.34,12.03,150.09,-227.09,17.31
68.05,2.35,11.89,150.16,-226.71,17.38
68.1,2.36,11.59,150.19,-226.03,17.41
68.15,2.37,11.3,150.3,-225.09,17.34
68.2,2.37,10.78,150.55,-223.93,17.02
68.25,2.37,10.81,151.07,-222.8,16.45
68.3,2.36,10.92,151.71,-221.92,15.67
68.35,2.36,10.95,152.43,-221.51,14.8
68.4,2.35,10.97,153.37,-221.57,13.94
68.45,2.34,10.38,154.54,-222,13.21
68.5,2.33,9.87,155.85,-222.68,12.71
68.55,2.31,9.25,156.88,-223.48,12.56
68.6,2.29,9.42,157.57,-224.37,12.66
68.65,2.26,9.54,157.96,-225.38,12.9
68.7,2.25,9.99,158.13,-226.56,13.05
68.75,2.23,10.51,158.02,-227.85,13.02
68.8,2.23,11.1,157.55,-229.05,12.81
68.85,2.22,11.32,156.76,-229.84,12.52
68.9,2.22,11.08,155.89,-230.03,12.2
68.95,2.21,10.68,155.2,-229.64,11.96
69,2.21,10.35,154.71,-228.9,11.84
69.05,2.21,10.21,154.39,-227.94,11.89
69.1,2.21,10.11,154.14,-226.79,12.09
69.15,2.22,9.46,153.94,-225.36,12.36
69.2,2.22,8.72,153.76,-223.63,12.61
69.25,2.23,7.84,153.5,-221.83,12.76
69.3,2.23,7.31,153.24,-220.34,12.73
69.35,2.24,6.83,153,-219.51,12.54
69.4,2.25,7.03,152.77,-219.62,12.21
69.45,2.26,7.57,152.45,-220.65,11.88
69.5,2.27,8.32,152.03,-222.53,11.57
69.55,2.29,8.78,151.62,-224.9,11.33
69.6,2.3,9.02,151.27,-227.35,11.17
69.65,2.32,9.16,150.99,-229.37,11.05
69.7,2.34,9.24,150.77,-230.51,10.98
69.75,2.35,10.08,150.63,-230.63,10.93
69.8,2.36,11.06,150.51,-229.82,10.99
69.85,2.38,12.23,150.37,-228.59,11.21
69.9,2.38,12.86,150.19,-227.41,11.61
69.95,2.39,13.42,149.99,-226.66,12.17
70,2.39,13.66,149.82,-226.46,12.9
70.05,2.39,13.81,149.66,-226.75,13.73
70.1,2.39,13.89,149.55,-227.36,14.54
70.15,2.4,13.94,149.41,-228.15,15.24
70.2,2.4,14.37,149.31,-228.87,15.77
70.25,2.4,14.86,149.27,-229.36,16.15
70.3,2.39,15.85,149.37,-229.4,16.34
70.35,2.39,16.54,149.6,-228.9,16.39
70.4,2.39,16.68,149.89,-227.81,16.32
70.45,2.38,16.24,150.09,-226.29,16.18
70.5,2.38,15.58,150.27,-224.59,16.02
70.55,2.38,15.57,150.48,-223.11,15.81
70.6,2.37,15.03,150.87,-222.24,15.54
70.65,2.37,14.52,151.35,-222.27,15.26
70.7,2.36,13.71,152.01,-223.16,15.08
70.75,2.36,13.45,152.81,-224.27,15
70.8,2.36,13.23,153.77,-224.84,14.97
70.85,2.35,13.14,154.7,-224.19,14.93
70.9,2.35,12.67,155.43,-222.48,14.83
70.95,2.35,12.16,155.81,-220.22,14.69
71,2.34,11.97,155.76,-218.31,14.55
71.05,2.34,12.23,155.43,-217.37,14.42
71.1,2.34,12.24,154.96,-217.8,14.36
71.15,2.34,11.69,154.49,-219.61,14.34
71.2,2.35,10.99,153.9,-222.48,14.38
71.25,2.36,10.54,153.24,-225.78,14.44
71.3,2.37,10.5,152.59,-228.69,14.51
71.35,2.37,10.61,152.15,-230.46,14.56
71.4,2.38,10.62,151.85,-230.78,14.6
71.45,2.38,10.25,151.65,-229.77,14.6
71.5,2.38,9.77,151.51,-227.93,14.59
71.55,2.38,9.4,151.35,-225.69,14.53
71.6,2.37,9.04,151.25,-223.48,14.42
71.65,2.38,8.69,151.2,-221.55,14.21
71.7,2.38,8.55,151.3,-220.15,13.93
71.75,2.38,8.45,151.4,-219.36,13.58
71.8,2.39,8.4,151.53,-219.2,13.22
71.85,2.39,8.17,151.61,-219.49,12.85
