Depth,Den,Ng,Cal,Res,SP
106.95,0,10.27,211.95,14.59,-556.24
107,0,9.72,211.73,14.07,-556.07
107.05,0,9,211.51,13.54,-555.92
107.1,0,8.75,211.07,13.11,-555.8
107.15,0,8.75,210.4,12.77,-555.69
107.2,0,8.9,209.73,12.54,-555.61
107.25,0,8.73,208.62,12.35,-555.56
107.3,0,8.73,208.18,12.2,-555.52
107.35,0,8.69,207.96,12.11,-555.51
107.4,0,8.68,207.96,12.06,-555.53
107.45,0,8.28,208.18,12.06,-555.56
107.5,0,7.79,208.4,12.07,-555.61
107.55,0,7.61,208.62,12.11,-555.68
107.6,0,7.48,208.62,12.2,-555.76
107.65,0,7.42,208.4,12.36,-555.84
107.7,0,6.78,208.4,12.56,-555.92
107.75,0,6.04,208.85,12.79,-555.99
107.8,0,5.36,209.51,13.03,-556.05
107.85,0,5.08,210.62,13.26,-556.09
107.9,0,5.09,210.84,13.43,-556.1
107.95,0,5.03,211.07,13.56,-556.11
108,0,5.03,211.07,13.62,-556.1
108.05,0,5.21,211.29,13.64,-556.09
108.1,0,5.45,211.29,13.59,-556.08
108.15,0,5.73,211.29,13.49,-556.08
108.2,0,5.84,210.84,13.36,-556.09
108.25,0,5.91,210.62,13.24,-556.14
108.3,0,6.15,210.62,13.16,-556.2
108.35,0,6.41,210.62,13.16,-556.29
108.4,0,6.71,210.84,13.27,-556.39
108.45,0,6.83,211.73,13.5,-556.49
108.5,0,6.71,213.06,13.85,-556.57
108.55,0,6.51,215.51,14.28,-556.64
108.6,0,6.24,216.62,14.7,-556.69
108.65,0,6.15,216.84,14.96,-556.72
108.7,0,5.88,217.28,15.05,-556.73
108.75,0,5.61,217.73,14.98,-556.73
108.8,0,5.5,218.39,14.85,-556.72
108.85,0,5.42,218.39,14.75,-556.69
108.9,0,5.38,217.73,14.76,-556.64
108.95,0,5.16,216.39,14.94,-556.57
109,0,5.31,216.17,15.14,-556.48
109.05,0,5.49,217.73,15.18,-556.39
109.1,0,5.96,219.95,14.85,-556.3
109.15,0,6.09,223.05,14.32,-556.23
109.2,0,6.41,224.16,13.72,-556.19
109.25,0,6.5,222.61,13.3,-556.19
109.3,0,6.98,219.06,13.01,-556.22
109.35,0,7.3,217.5,12.91,-556.29
109.4,0,7.66,216.39,12.95,-556.38
109.45,0,7.99,216.17,13.15,-556.48
109.5,0,8.93,216.17,13.46,-556.58
109.55,0,9.98,216.84,13.89,-556.66
109.6,0,10.58,217.73,14.32,-556.72
109.65,0,10.71,219.95,14.65,-556.77
109.7,0,10.66,221.28,14.77,-556.81
109.75,0,11.08,221.5,14.74,-556.83
109.8,0,11.15,221.06,14.65,-556.86
109.85,0,11.24,220.61,14.6,-556.88
109.9,0,10.88,220.39,14.63,-556.89
109.95,0,10.62,220.61,14.72,-556.89
110,0,10.1,220.83,14.84,-556.88
110.05,0,9.75,221.06,14.92,-556.86
110.1,0,8.77,221.5,14.95,-556.83
110.15,0,8.1,221.28,14.88,-556.8
110.2,0,7.37,221.06,14.78,-556.77
110.25,0,7.5,220.17,14.65,-556.73
110.3,0,7.77,219.06,14.55,-556.68
110.35,0,8.25,218.61,14.45,-556.64
110.4,0,8.81,218.17,14.41,-556.58
110.45,0,9.01,218.17,14.4,-556.51
110.5,0,9.16,218.17,14.42,-556.44
110.55,0,9.04,218.17,14.39,-556.36
110.6,0,9.04,218.17,14.25,-556.28
110.65,0,9.02,217.73,14,-556.2
110.7,0,9.01,217.28,13.72,-556.12
110.75,0,8.81,216.62,13.52,-556.05
110.8,0,8.56,217.06,13.39,-555.97
110.85,0,8.07,217.73,13.31,-555.9
110.9,0,7.53,218.17,13.21,-555.83
110.95,0,6.92,218.17,13.07,-555.78
111,0,6.09,217.95,12.87,-555.74
111.05,0,5.8,218.17,12.68,-555.71
111.1,0,5.58,218.84,12.56,-555.7
111.15,0,6.08,219.28,12.54,-555.7
111.2,0,6.53,219.72,12.58,-555.7
111.25,0,7.32,220.17,12.68,-555.7
111.3,0,7.97,220.39,12.78,-555.71
111.35,0,8.66,220.17,12.86,-555.71
111.4,0,8.73,219.28,12.89,-555.7
111.45,0,8.68,217.95,12.89,-555.7
111.5,0,8.28,217.06,12.9,-555.68
111.55,0,8.19,216.62,12.91,-555.65
111.6,0,8.29,216.62,12.95,-555.61
111.65,0,8.5,217.06,12.96,-555.57
111.7,0,8.36,216.84,12.93,-555.51
111.75,0,7.97,215.95,12.83,-555.45
111.8,0,7.67,215.06,12.66,-555.38
111.85,0,7.53,213.73,12.48,-555.31
111.9,0,7.44,213.06,12.3,-555.24
111.95,0,6.99,212.62,12.13,-555.18
112,0,6.69,212.18,12,-555.13
112.05,0,6.34,211.73,11.9,-555.08
112.1,0,6,211.51,11.81,-555.05
112.15,0,5.87,211.51,11.71,-555.03
112.2,0,5.77,210.62,11.6,-555.02
112.25,0,5.53,209.73,11.51,-555.02
112.3,0,5.06,208.85,11.48,-555.04
112.35,0,4.52,208.18,11.48,-555.07
112.4,0,4.12,207.96,11.52,-555.11
112.45,0,3.93,208.18,11.55,-555.17
112.5,0,3.81,208.18,11.61,-555.25
112.55,0,4.35,207.96,11.69,-555.33
112.6,0,5.23,207.74,11.83,-555.43
112.65,0,6.32,207.51,11.99,-555.54
112.7,0,7.51,207.51,12.17,-555.66
112.75,0,8.17,207.96,12.37,-555.79
112.8,0,9.34,209.07,12.59,-555.92
112.85,0,10.1,209.96,12.83,-556.04
112.9,0,11.09,210.62,13.07,-556.17
112.95,0,11.24,210.84,13.35,-556.29
113,0,11.27,210.84,13.62,-556.39
113.05,0,11.1,210.84,13.9,-556.48
113.1,0,10.67,210.62,14.15,-556.55
113.15,0,10.16,209.96,14.36,-556.61
113.2,0,9.37,209.29,14.51,-556.66
113.25,0,8.7,208.85,14.62,-556.69
113.3,0,8.01,209.07,14.68,-556.72
113.35,0,7.54,209.96,14.67,-556.74
113.4,0,6.71,210.84,14.61,-556.75
113.45,0,6.25,211.73,14.53,-556.75
113.5,0,5.79,211.51,14.48,-556.75
113.55,0,6.21,210.4,14.45,-556.76
113.6,0,7,208.62,14.42,-556.76
113.65,0,8.04,207.51,14.37,-556.76
113.7,0,9.01,206.4,14.28,-556.77
113.75,0,9.41,205.74,14.19,-556.79
113.8,0,9.68,205.96,14.11,-556.82
113.85,0,9.82,206.4,14.1,-556.85
113.9,0,10.1,206.63,14.13,-556.88
113.95,0,10.38,206.85,14.19,-556.93
114,0,11.1,207.07,14.22,-556.99
114.05,0,11.3,207.07,14.22,-557.06
114.1,0,11.48,206.63,14.21,-557.18
114.15,0,11.16,205.52,14.24,-557.33
114.2,0,10.33,205.07,14.27,-557.53
114.25,0,9.3,205.52,14.38,-557.78
114.3,0,8.13,206.4,14.61,-558.06
114.35,0,7.88,207.29,15.11,-558.35
114.4,0,8,208.18,15.84,-558.64
114.45,0,8.38,209.51,16.8,-558.9
114.5,0,8.48,211.07,17.82,-559.11
114.55,0,8.37,213.29,18.82,-559.28
114.6,0,8.17,213.95,19.64,-559.4
114.65,0,8.71,212.4,20.23,-559.46
114.7,0,9.78,209.96,20.48,-559.49
114.75,0,11.1,210.18,20.46,-559.47
114.8,0,11.97,212.84,20.26,-559.43
114.85,0,12.61,214.4,20.04,-559.35
