Depth,Den,Ng,Cal,SP,Res
56.4,2.34,13.54,147.16,-155.09,22.17
56.45,2.33,13.4,147.08,-154.48,21.07
56.5,2.33,13.39,146.99,-154.15,20.06
56.55,2.32,12.96,146.87,-154.17,19.29
56.6,2.32,12.67,146.65,-154.38,18.8
56.65,2.32,12.33,146.27,-154.38,18.65
56.7,2.31,11.8,145.84,-153.93,18.79
56.75,2.31,11.83,145.32,-153.16,19.16
56.8,2.31,11.93,144.82,-152.45,19.57
56.85,2.31,12.55,144.35,-152.15,19.72
56.9,2.31,12.7,143.94,-152.27,19.5
56.95,2.31,12.85,143.49,-152.69,18.93
57,2.32,12.71,143.06,-153.11,18.3
57.05,2.32,12.71,142.7,-153.34,17.78
57.1,2.32,12.68,142.46,-153.24,17.43
57.15,2.32,12.88,142.29,-152.92,17.19
57.2,2.32,12.91,142.16,-152.64,17.02
57.25,2.32,12.96,142.1,-152.6,16.91
57.3,2.32,12.97,142.07,-152.75,16.85
57.35,2.32,12.39,142.05,-152.84,16.81
57.4,2.32,11.67,142.03,-152.68,16.75
57.45,2.32,11.01,142.03,-152.27,16.66
57.5,2.32,10.54,141.98,-151.7,16.56
57.55,2.32,10.11,141.97,-151.06,16.51
57.6,2.32,9.53,141.96,-150.34,16.55
57.65,2.32,9.33,142.04,-149.65,16.72
57.7,2.32,8.77,142.1,-149.18,17
57.75,2.32,8.02,142.22,-149.1,17.35
57.8,2.32,7.16,142.3,-149.35,17.67
57.85,2.32,6.64,142.39,-149.76,17.87
57.9,2.33,6.56,142.51,-150.09,17.85
57.95,2.34,6.64,142.68,-150.29,17.71
58,2.34,6.84,142.87,-150.44,17.5
58.05,2.35,6.7,143.08,-150.76,17.36
58.1,2.35,6.51,143.25,-151.27,17.31
58.15,2.36,6.84,143.46,-151.95,17.39
58.2,2.37,7.47,143.58,-152.67,17.56
58.25,2.38,8.26,143.69,-153.32,17.74
58.3,2.39,8.75,143.73,-153.76,17.92
58.35,2.39,9.4,143.76,-153.7,18.1
58.4,2.4,10.03,143.78,-152.9,18.35
58.45,2.4,10.09,143.79,-151.21,18.7
58.5,2.4,9.62,143.84,-148.9,19.13
58.55,2.4,8.94,143.89,-146.41,19.63
58.6,2.4,8.71,143.96,-144.38,20.15
58.65,2.4,8.53,144.12,-143.02,20.6
58.7,2.4,8.45,144.34,-142.21,20.86
58.75,2.4,8,144.55,-141.5,20.91
58.8,2.4,7.69,144.5,-140.73,20.74
58.85,2.39,7.34,144.31,-140.12,20.44
58.9,2.38,7.01,144.04,-140.12,20.07
58.95,2.38,6.67,143.82,-140.99,19.71
59,2.38,6.34,143.68,-142.65,19.34
59.05,2.38,6.6,143.65,-144.86,18.98
59.1,2.38,7.19,143.7,-147.27,18.76
59.15,2.38,7.96,143.75,-149.5,18.8
59.2,2.37,8.03,143.81,-151.18,19.26
59.25,2.36,8,143.93,-152.06,19.94
59.3,2.36,7.81,144.14,-152.13,20.68
59.35,2.35,7.96,144.38,-151.55,21.1
59.4,2.35,7.95,144.65,-150.57,21.17
59.45,2.35,7.78,144.88,-149.46,20.94
59.5,2.35,8.35,145.12,-148.49,20.61
59.55,2.35,9.03,145.3,-147.81,20.37
59.6,2.36,10.28,145.48,-147.38,20.32
59.65,2.36,10.66,145.59,-146.95,20.54
59.7,2.37,10.99,145.74,-146.23,20.99
59.75,2.37,10.93,145.83,-145.09,21.57
59.8,2.37,11.18,145.97,-143.68,22.21
59.85,2.37,11.42,146.11,-142.29,22.82
59.9,2.38,11.92,146.29,-141.19,23.37
59.95,2.38,11.87,146.45,-140.38,23.74
60,2.38,11.76,146.56,-139.82,23.9
60.05,2.39,11.73,146.62,-139.45,23.81
60.1,2.39,11.5,146.65,-139.21,23.59
60.15,2.38,11.24,146.62,-138.97,23.37
60.2,2.38,10.55,146.53,-138.57,23.26
60.25,2.38,10.36,146.38,-138,23.24
60.3,2.37,10.18,146.19,-137.41,23.3
60.35,2.37,10.11,145.99,-137.07,23.43
60.4,2.37,10.26,145.78,-137.18,23.68
60.45,2.37,10.47,145.57,-137.81,24.03
60.5,2.37,10.55,145.39,-138.8,24.44
60.55,2.36,10.8,145.27,-139.84,24.71
60.6,2.35,11.07,145.17,-140.66,24.76
60.65,2.35,11.58,145.08,-141.17,24.42
