Den,Ng,Cal,SP,Res
2.25,11.68,124.93,-225.49,14.23
2.25,11.88,124.93,-228.26,14.34
2.25,11.71,124.71,-230.74,14.37
2.25,11.52,124.71,-232.78,14.34
2.25,10.85,124.93,-234.16,14.22
2.24,10.27,125.15,-234.68,14.05
2.24,9.82,125.6,-234.3,13.9
2.24,10.02,126.04,-232.93,13.82
2.25,10.37,126.04,-230.58,13.81
2.25,10.68,125.6,-227.38,13.8
2.25,10.81,124.93,-223.68,13.76
2.26,10.9,124.71,-220,13.69
2.26,11.34,125.15,-216.77,13.61
2.26,11.85,125.37,-214.38,13.54
2.26,12.44,125.6,-213.01,13.55
2.25,13.06,125.6,-212.74,13.65
2.25,13.9,125.15,-213.43,13.85
2.26,14.19,124.49,-214.67,14.09
2.26,14.02,124.04,-216.02,14.35
2.27,13.44,124.04,-216.94,14.55
2.27,13.29,124.26,-217.16,14.72
2.27,13.35,125.37,-216.67,14.8
2.26,13.53,126.26,-215.87,14.82
2.26,13.58,126.48,-215.26,14.77
2.26,13.82,126.48,-215.24,14.74
2.26,14.08,126.93,-215.93,14.71
2.26,14.18,126.93,-217.27,14.71
2.27,13.85,126.71,-219.09,14.65
2.27,13.41,126.48,-221.1,14.54
2.27,13.45,126.48,-223.03,14.38
2.28,13.17,127.37,-224.6,14.24
2.28,12.93,127.59,-225.76,14.18
2.28,12.22,127.82,-226.53,14.22
2.28,11.43,128.04,-227.01,14.33
2.27,9.93,128.04,-227.14,14.46
2.27,8.47,127.82,-226.84,14.6
2.28,7.08,127.82,-225.98,14.75
2.28,6.31,127.59,-224.64,14.88
2.29,5.48,127.59,-222.97,15.02
2.29,4.96,127.82,-221.27,15.15
2.29,4.29,127.82,-219.72,15.28
2.29,4.05,127.82,-218.68,15.37
2.29,3.87,127.82,-218.48,15.44
2.29,4.18,127.82,-219.4,15.48
2.3,4.61,127.82,-221.41,15.5
2.31,5.36,127.59,-224.03,15.51
2.31,5.99,127.59,-226.66,15.51
2.32,6.27,127.82,-228.46,15.5
2.32,6.25,128.04,-229,15.48
2.32,6.31,129.15,-228,15.46
2.33,6.51,130.26,-226.04,15.43
2.34,7.16,130.48,-223.72,15.42
2.35,7.94,130.92,-221.75,15.41
2.35,8.82,131.37,-220.08,15.42
2.36,9.35,131.59,-218.56,15.43
2.37,10.03,132.03,-216.94,15.44
2.38,10.68,132.48,-215.44,15.44
2.38,11.34,133.37,-214.55,15.38
2.38,11.8,134.03,-214.95,15.2
2.39,12.23,134.25,-216.92,14.83
2.4,12.61,134.7,-220.18,14.21
2.39,13.17,135.36,-223.93,13.44
2.38,13.96,136.03,-227.32,12.67
2.37,14.82,136.7,-229.67,12.05
2.36,15.36,137.36,-230.72,11.62
2.35,15.64,138.03,-230.61,11.36
2.34,16,138.69,-229.91,11.25
2.33,16.73,139.36,-229.28,11.22
2.31,17.55,139.8,-229.22,11.22
2.3,18.45,140.25,-229.83,11.24
2.29,19,140.69,-230.91,11.23
2.28,19.49,140.91,-232.05,11.22
2.27,19.3,141.14,-232.82,11.2
2.27,18.76,141.14,-232.95,11.17
2.27,18.01,141.36,-232.25,11.11
2.28,17.75,141.58,-230.73,11.02
2.28,17.75,141.8,-228.62,10.91
2.29,17.7,141.8,-226.5,10.78
2.3,17.49,142.02,-224.89,10.66
2.31,17.04,142.25,-224.31,10.57
2.31,16.71,142.25,-224.87,10.53
2.33,16.35,142.25,-226.52,10.53
2.35,16.21,142.25,-228.76,10.56
2.36,16.51,142.25,-230.99,10.6
2.38,16.95,142.02,-232.65,10.66
2.38,17.49,142.02,-233.39,10.75
2.39,17.29,141.8,-233.3,10.86
2.39,17.36,142.02,-232.56,11.01
2.38,17.33,141.8,-231.58,11.21
2.38,17.74,141.8,-230.53,11.45
2.37,17.81,141.8,-229.49,11.68
2.37,17.91,141.8,-228.36,11.86
2.36,17.75,141.8,-227.3,12.01
2.36,17.93,141.8,-226.67,12.12
2.35,17.94,141.8,-226.82,12.22
2.35,18.17,141.8,-227.85,12.29
2.35,18.22,141.58,-229.55,12.35
2.35,18.28,141.36,-231.59,12.37
2.35,18.3,141.14,-233.73,12.36
2.34,18.52,140.91,-235.72,12.34
2.34,18.36,140.69,-237.43,12.33
2.34,18.18,140.69,-238.68,12.29
2.33,17.51,140.47,-239.3,12.22
2.33,17.54,140.47,-239.07,12.08
2.32,17.41,140.03,-237.74,11.87
2.31,17.39,139.58,-235.51,11.62
2.3,17.36,139.36,-232.7,11.39
2.28,17.35,139.36,-230.1,11.18
2.28,17.54,139.36,-228.15,11.04
2.27,17.58,139.14,-227.18,10.93
2.26,17.02,138.92,-227.03,10.87
2.26,16.32,138.25,-227.49,10.85
2.25,15.07,137.58,-228.27,10.87
2.25,14.48,137.14,-229.23,10.91
2.26,13.11,136.25,-230.34,11.01
2.26,12.12,135.59,-231.46,11.13
2.27,10.85,135.14,-232.43,11.28
2.27,10.19,134.48,-232.93,11.46
2.28,10.01,133.81,-232.85,11.66
2.28,10.44,133.14,-232.22,11.88
2.28,11.09,132.26,-231.35,12.11
2.28,12.11,131.59,-230.58,12.35
2.28,13.24,131.15,-230.16,12.58
2.28,14.67,130.92,-230.14,12.8
2.29,15.58,130.7,-230.34,13.01
2.29,16.25,130.26,-230.5,13.26
2.29,16.57,130.04,-230.23,13.52
2.29,17.16,129.81,-229.28,13.76
2.3,17.75,129.81,-227.68,13.99
2.3,17.98,129.81,-225.85,14.32
2.3,17.35,129.81,-224.24,14.75
2.32,16.47,129.81,-223.05,15.21
2.33,15.56,130.04,-222.25,15.48
2.34,15.41,130.04,-221.71,15.48
2.35,15.39,130.26,-221.53,15.24
2.36,15.96,130.48,-221.75,14.92
2.36,16.87,130.7,-222.3,14.62
2.35,18.17,130.7,-222.81,14.37
2.34,19.41,130.92,-223.12,14.18
2.34,19.92,131.15,-223.17,14.03
2.35,20.06,131.15,-223.18,13.88
2.35,20,131.37,-223.26,13.76
2.36,20.61,131.37,-223.51,13.66
2.36,21.12,131.59,-223.92,13.58
2.35,21.55,131.81,-224.67,13.56
2.34,21.33,131.81,-225.89,13.59
2.33,21.38,132.03,-227.66,13.66
2.33,21.14,132.03,-229.76,13.76
2.33,20.7,131.81,-231.81,13.85
2.33,19.97,131.59,-233.37,13.93
2.33,19.33,131.59,-234.07,13.96
2.32,18.66,131.59,-233.69,13.94
2.31,18,131.59,-232.26,13.89
2.3,17.53,131.59,-230.34,13.87
2.3,17.31,131.59,-228.55,13.97
2.31,17.37,132.03,-227.6,14.19
2.31,17.54,132.26,-227.43,14.5
2.32,17.58,132.03,-227.7,14.79
2.32,17.62,132.26,-227.69,14.99
2.32,17.64,132.48,-227.09,15.01
2.33,17.85,132.48,-225.92,14.86
2.33,18.3,131.59,-224.58,14.55
2.33,19.23,131.37,-223.4,14.21
2.32,20.51,131.81,-222.5,13.93
2.31,21.55,132.03,-221.87,13.79
2.3,22.41,132.03,-221.45,13.78
2.3,23.19,131.81,-221.48,13.84
2.3,23.52,131.59,-222.16,13.93
2.29,23.54,131.59,-223.78,13.99
2.29,23.21,131.37,-226.16,14.03
2.29,23.15,131.37,-228.97,14.05
2.29,23.07,131.15,-231.5,14.06
2.28,22.25,131.15,-233.38,14.06
2.28,20.66,130.92,-234.5,14.07
2.28,17.98,130.92,-235.12,14.11
2.29,15.73,130.7,-235.48,14.23
2.29,13.54,130.7,-235.75,14.37
2.29,11.85,130.7,-235.92,14.54
2.29,10.28,130.7,-235.91,14.7
2.28,9.63,130.7,-235.62,14.9
2.28,9.38,130.7,-235.13,15.12
2.29,9.2,130.7,-234.68,15.32
2.3,8.72,130.7,-234.72,15.36
2.31,8.38,130.7,-235.54,15.22
2.31,8.42,130.7,-237.19,14.95
2.32,8.76,130.7,-239.26,14.75
2.33,9.24,130.7,-241.11,14.66
2.35,9.6,130.7,-241.99,14.68
2.37,9.37,130.92,-241.54,14.73
2.39,8.79,130.92,-239.92,14.83
2.41,8.03,130.92,-237.79,14.99
2.41,7.57,131.15,-235.75,15.23
2.41,7.52,131.37,-234.1,15.58
2.4,7.62,131.59,-232.81,16.04
2.4,8.03,131.37,-231.77,16.62
2.4,8.53,130.92,-231,17.24
2.4,9.31,130.7,-230.59,17.85
2.4,9.97,131.15,-230.72,18.31
2.39,10.66,131.37,-231.38,18.65
2.38,11.53,131.59,-232.38,18.88
2.36,12.44,132.03,-233.21,19.07
2.34,13.19,133.14,-233.44,19.21
2.33,13.73,134.48,-232.89,19.27
2.32,14.18,135.36,-231.9,19.25
2.32,14.58,135.36,-231.04,19.15
2.31,14.95,135.14,-230.85,18.99
2.31,14.91,134.25,-231.52,18.79
2.3,14.77,133.14,-232.82,18.45
2.3,14.34,132.7,-234.21,17.85
2.3,13.82,132.48,-235.24,17.03
2.29,13.03,132.03,-235.63,16.15
2.29,12.17,131.59,-235.19,15.36
2.3,12.04,131.81,-233.81,14.77
2.3,11.84,132.26,-231.4,14.41
2.3,11.78,132.7,-228.38,14.3
2.3,11.32,133.14,-225.3,14.39
2.3,10.82,133.14,-223.07,14.62
2.29,10.23,133.37,-222.16,14.93
2.28,9.61,133.37,-222.71,15.26
2.27,9.17,133.14,-224.15,15.55
2.26,8.76,133.14,-225.87,15.8
2.25,8.39,133.14,-227.3,15.97
2.25,8.43,133.37,-228.3,16.08
2.24,8.16,133.14,-228.95,16.13
2.24,7.92,133.14,-229.41,16.17
2.24,8.02,133.37,-229.77,16.2
2.24,8.59,133.59,-230.02,16.23
2.23,9.32,133.81,-230.24,16.24
2.23,9.98,134.25,-230.52,16.26
2.24,11.06,134.7,-231.05,16.26
2.24,12.21,134.92,-231.83,16.24
2.24,13.25,135.14,-232.82,16.21
2.25,14.09,135.14,-233.78,16.19
2.26,14.87,134.92,-234.6,16.21
2.27,15.19,134.48,-235.09,16.25
2.27,15.41,134.03,-235.19,16.29
2.27,15.12,133.14,-234.87,16.29
2.27,14.91,132.92,-234.33,16.24
2.28,14.21,133.59,-233.77,16.15
2.28,13.42,134.7,-233.41,16.06
2.29,12.53,135.36,-233.11,15.97
2.29,11.79,135.59,-232.66,15.81
2.3,11.66,135.36,-231.76,15.58
2.3,11.49,135.36,-230.76,15.29
2.3,11.43,135.59,-230.03,15.02
2.3,11.38,135.81,-230.33,14.81
2.29,11.56,135.81,-231.61,14.72
2.28,11.79,136.03,-233.77,14.72
2.28,11.87,135.81,-236.03,14.75
2.29,11.73,135.81,-238.02,14.72
2.29,11.92,135.36,-239.27,14.62
2.3,12.13,134.7,-239.77,14.49
2.3,12.61,134.25,-239.5,14.39
2.3,12.15,134.25,-238.59,14.37
2.29,11.55,134.25,-237.29,14.42
2.29,10.74,134.25,-235.94,14.52
2.29,10.46,134.03,-235.1,14.67
2.29,10.04,133.81,-235.05,14.84
2.3,9.7,133.81,-235.86,15.01
2.3,9.75,133.59,-236.97,15.15
2.3,10.29,133.59,-237.93,15.22
2.29,11.01,133.59,-238.25,15.25
2.29,11.06,133.59,-238.03,15.23
2.3,10.61,133.59,-237.42,15.22
2.3,10.34,133.59,-236.75,15.2
2.31,10.39,133.37,-236.22,15.18
2.32,10.95,133.37,-235.93,15.15
2.32,10.87,133.14,-235.88,15.09
2.32,10.96,133.14,-235.91,15.04
2.33,10.77,132.92,-235.94,14.99
2.34,10.75,132.92,-235.92,14.97
2.35,10.5,132.7,-235.92,14.96
2.36,10.65,132.7,-236.02,14.93
2.37,11.03,132.7,-236.21,14.89
2.38,11.54,132.7,-236.44,14.82
2.38,11.31,132.7,-236.61,14.75
2.39,11.17,132.92,-236.67,14.66
2.4,10.9,133.14,-236.61,14.58
2.41,11.01,133.37,-236.57,14.52
2.41,10.78,133.37,-236.69,14.53
2.42,10.36,133.37,-237.14,14.57
2.43,9.83,133.14,-237.9,14.64
2.43,9.64,133.14,-238.83,14.68
2.43,9.69,133.59,-239.64,14.67
2.43,9.87,134.25,-239.95,14.56
2.44,9.91,134.92,-239.57,14.36
2.44,10.16,135.81,-238.54,14.03
2.44,10.01,136.25,-237.22,13.65
2.43,9.83,136.47,-236,13.33
2.42,9.17,136.47,-235.22,13.16
2.41,9.2,136.47,-235.02,13.16
2.4,9.27,136.7,-235.29,13.25
2.39,9.7,136.7,-235.69,13.33
2.38,9.39,136.7,-235.82,13.42
2.36,8.82,136.47,-235.4,13.59
2.34,8.04,136.25,-234.46,13.91
2.33,7.57,135.81,-233.19,14.38
2.32,7.32,135.81,-231.93,14.95
2.31,7.58,135.59,-231.06,15.55
2.3,7.98,135.14,-230.96,16.04
2.3,8.51,134.25,-231.84,16.28
2.31,8.5,133.37,-233.58,16.26
2.31,8.2,132.03,-235.74,16.12
2.32,7.74,130.92,-237.74,15.94
2.33,7.59,130.48,-239.23,15.8
2.35,7.67,130.26,-240.12,15.68
2.36,7.65,130.04,-240.65,15.6
2.38,7.46,129.81,-241.04,15.55
2.38,7.22,129.81,-241.51,15.49
2.39,7.14,129.81,-242.08,15.43
2.39,7.07,129.81,-242.66,15.34
2.39,7.04,129.59,-243.07,15.25
2.39,7.02,129.59,-243.23,15.14
2.39,7.21,129.59,-243.19,15
2.38,7.45,129.59,-243.16,14.82
2.38,7.73,129.81,-243.36,14.59
2.36,7.84,129.81,-243.92,14.29
2.35,7.91,129.81,-244.74,13.99
2.33,8.35,129.81,-245.64,13.75
2.31,9.05,129.81,-246.41,13.63
2.31,10.08,129.81,-246.98,13.64
2.29,10.83,129.81,-247.2,13.75
2.29,11.78,129.81,-246.84,13.9
2.28,12.12,129.59,-245.51,14.04
2.27,12.38,129.59,-242.87,14.16
2.27,12.3,129.59,-239.01,14.26
2.27,12.54,129.59,-234.32,14.35
2.27,12.77,129.59,-229.86,14.41
2.28,12.66,129.59,-226.48,14.46
2.27,12.29,129.59,-224.96,14.52
2.27,11.79,129.81,-225.1,14.59
2.26,11.42,130.04,-226.55,14.68
2.26,10.64,130.26,-228.5,14.78
2.26,9.41,130.26,-230.71,14.89
2.25,8.21,130.04,-233.06,15.02
2.25,7.52,129.37,-235.76,15.16
2.25,7.15,128.7,-238.83,15.32
2.25,6.73,128.26,-242.11,15.47
2.25,6.38,128.04,-245.25,15.59
2.25,6.62,128.04,-247.88,15.68
2.26,7.2,127.82,-249.75,15.72
2.27,7.96,127.82,-250.83,15.75
2.29,8.63,127.82,-251.24,15.75
2.3,9.72,128.04,-251.14,15.72
2.31,11.27,128.04,-250.62,15.66
2.33,12.8,127.82,-249.7,15.57
2.34,14.01,127.59,-248.46,15.49
2.35,15.16,128.04,-246.86,15.4
2.35,16.24,128.48,-244.86,15.3
2.35,17.08,128.7,-242.19,15.21
2.35,17.46,128.48,-238.87,15.17
2.35,17.71,128.48,-235.16,15.12
2.34,17.63,128.26,-231.78,14.98
2.34,17.47,128.26,-229.24,14.73
2.33,16.82,128.48,-227.73,14.45
2.33,16.46,128.48,-227.02,14.23
2.32,15.66,128.93,-226.82,14.13
2.32,15.22,129.15,-227.19,14.13
2.32,13.98,129.15,-228.25,14.14
2.32,13.04,128.93,-230.12,14.08
2.32,11.8,128.04,-232.31,13.92
2.31,11.17,127.82,-234.27,13.67
2.31,10.19,127.59,-235.49,13.42
2.31,9.67,127.59,-236.03,13.23
2.31,9.77,127.37,-236.15,13.14
2.3,10.49,127.37,-236.23,13.08
2.3,10.85,127.37,-236.36,13.07
2.29,10.87,127.37,-236.63,13.08
2.28,11.14,127.59,-236.97,13.12
2.28,11.8,127.59,-237.33,13.19
2.28,12.19,127.59,-237.59,13.3
2.27,12.2,127.59,-237.81,13.43
2.26,12.08,127.59,-238.04,13.56
2.26,12.26,127.82,-238.45,13.65
2.25,12.07,127.82,-239.2,13.75
2.24,11.26,128.04,-240.4,13.86
2.24,10.07,127.82,-242.08,14.03
2.24,9.27,127.82,-243.92,14.18
2.25,8.87,127.59,-245.39,14.31
2.25,8.63,127.37,-245.91,14.38
2.26,8.3,127.15,-245.24,14.41
2.26,8.79,126.71,-243.78,14.38
2.27,9.62,126.48,-242.13,14.34
2.27,10.68,126.04,-241.1,14.29
2.28,11.46,125.6,-240.99,14.26
2.28,12.03,125.15,-241.9,14.24
2.29,12.5,124.93,-243.47,14.23
2.29,12.71,124.93,-245.25,14.22
2.29,12.64,124.93,-246.85,14.24
2.28,12.67,124.93,-247.99,14.26
2.27,12.26,124.49,-248.7,14.31
2.27,11.99,124.26,-249.12,14.37
2.26,11.25,124.04,-249.49,14.45
2.26,10.45,124.04,-249.98,14.53
2.26,9.34,124.04,-250.68,14.58
2.26,8.36,124.04,-251.56,14.58
2.26,7.94,124.04,-252.4,14.56
2.25,7.66,123.82,-252.93,14.5
2.25,7.72,123.6,-252.83,14.45
2.25,7.68,123.6,-251.99,14.4
2.25,7.88,123.6,-250.55,14.36
2.26,8.11,124.04,-248.91,14.33
2.27,8.4,124.49,-247.44,14.32
2.28,8.7,124.71,-246.42,14.35
2.3,8.82,125.15,-245.84,14.44
2.31,8.7,126.04,-245.48,14.58
2.32,8.51,127.37,-244.97,14.72
2.33,7.84,128.26,-244.07,14.84
2.34,7.27,128.93,-242.73,14.91
2.34,6.22,128.48,-241.06,14.95
2.35,5.5,128.04,-239.09,14.98
2.35,4.74,127.15,-236.98,14.96
2.35,4.45,126.48,-235.08,14.9
2.34,4.24,126.26,-233.9,14.82
2.33,4.14,126.48,-233.76,14.79
2.32,4.88,126.71,-234.63,14.84
2.3,6.4,126.48,-236.2,14.98
2.28,8.26,126.71,-238.19,15.18
2.26,9.53,127.15,-240.48,15.41
2.25,10.96,127.82,-242.85,15.67
2.24,12.7,127.82,-244.94,15.95
2.24,14.53,127.82,-246.09,16.24
2.25,15.45,128.04,-246.04,16.45
2.25,15.8,128.7,-244.77,16.51
2.25,15.65,129.15,-242.86,16.37
2.26,15.49,129.15,-240.72,16.05
2.26,14.83,128.93,-238.86,15.64
2.27,13.86,128.26,-237.45,15.28
2.27,12.74,126.71,-236.74,14.98
2.27,11.92,125.6,-236.74,14.76
2.27,10.93,125.6,-237.4,14.62
2.27,9.57,126.04,-238.47,14.55
2.26,8.3,126.71,-239.79,14.55
2.25,7.57,126.93,-241.26,14.58
2.24,7.38,126.93,-242.91,14.63
2.23,7.59,127.37,-244.58,14.71
2.23,7.59,128.93,-245.89,14.81
2.22,7.64,129.81,-246.27,14.95
2.22,7.05,130.04,-245.44,15.1
2.22,6.94,129.81,-243.67,15.23
2.23,6.6,129.81,-241.72,15.31
2.23,6.51,129.81,-240.43,15.37
2.23,6.42,129.81,-240.27,15.38
2.23,6.79,129.81,-241.21,15.38
2.24,7.04,129.59,-242.88,15.37
2.24,7.17,129.59,-244.78,15.36
2.25,6.44,129.15,-246.52,15.35
2.25,5.72,128.48,-247.72,15.34
2.25,5.03,128.04,-248.06,15.34
2.25,4.95,127.59,-247.17,15.35
2.24,5.4,127.15,-245.04,15.38
2.23,6.47,127.15,-241.91,15.41
2.22,7.57,126.93,-238.69,15.41
2.22,8.41,126.48,-236.16,15.38
2.22,8.4,126.04,-235.23,15.33
2.21,8.76,125.37,-235.96,15.27
2.21,9.63,124.93,-238.15,15.22
2.21,10.88,124.71,-240.87,15.18
2.2,12.1,124.93,-243.42,15.17
2.2,13,124.93,-245.23,15.18
2.2,13.82,124.71,-246.33,15.22
2.21,13.96,124.49,-246.9,15.24
2.22,13.96,124.26,-247.13,15.3
2.22,14.18,123.82,-246.97,15.34
2.23,14.83,123.6,-246.45,15.4
2.24,15.2,123.6,-245.59,15.44
2.25,15.01,123.6,-244.6,15.47
2.26,14.04,123.6,-243.63,15.5
2.26,13.01,123.6,-242.89,15.53
2.26,12.01,123.82,-242.66,15.56
2.26,11.6,123.82,-243.25,15.6
2.26,11.32,124.04,-244.77,15.63
2.26,10.99,124.04,-247,15.68
2.27,10.26,124.04,-249.52,15.73
2.27,9.05,124.04,-251.74,15.77
2.26,7.86,124.04,-253.06,15.8
2.25,6.98,124.04,-252.88,15.83
2.25,6.77,123.82,-251.14,15.87
2.25,6.75,123.6,-248.28,15.86
2.25,7.1,123.38,-245.21,15.8
2.25,7.37,123.15,-242.57,15.68
2.25,7.7,122.93,-240.38,15.55
2.25,7.81,123.15,-238.28,15.42
2.25,8.1,123.38,-235.88,15.36
2.25,8.38,123.38,-233.19,15.35
2.24,8.3,123.38,-230.44,15.39
2.24,8.14,123.82,-228.09,15.44
2.24,7.89,124.26,-226.73,15.49
2.24,8.01,124.49,-226.84,15.53
2.24,7.78,124.71,-228.59,15.52
2.24,7.96,124.93,-231.57,15.48
2.24,7.95,124.93,-235.13,15.43
2.24,8.18,124.93,-238.58,15.41
2.24,8.03,124.93,-241.5,15.39
2.25,8.04,124.93,-243.65,15.41
2.25,8.41,124.93,-244.99,15.46
2.26,8.89,125.15,-245.72,15.54
2.26,9.46,125.6,-246.27,15.65
2.25,10.07,125.6,-246.87,15.81
2.25,10.71,125.6,-247.61,15.97
2.25,11.36,125.6,-248.34,16.12
2.26,11.21,125.6,-248.95,16.23
2.26,11.11,125.6,-249.27,16.29
2.26,10.67,125.37,-249.28,16.3
2.25,10.56,124.93,-249.05,16.25
2.25,10.24,124.71,-248.86,16.18
2.25,10.56,124.71,-248.9,16.13
2.25,10.76,124.71,-249.28,16.12
2.25,11.06,124.26,-249.89,16.14
2.26,10.77,124.04,-250.72,16.16
2.27,10.77,124.26,-251.73,16.18
2.28,10.71,124.93,-252.87,16.2
2.28,10.89,125.37,-253.93,16.18
2.29,11.12,125.37,-254.71,16.14
2.29,11.4,125.37,-255.08,16.07
2.3,11.9,125.82,-255.13,16.02
2.31,11.66,126.26,-255,16.01
2.32,11.31,126.04,-254.76,16.03
2.33,11,125.6,-254.31,16.05
2.33,11.06,125.6,-253.35,16.05
2.34,11.01,125.82,-251.73,16
2.34,10.62,126.04,-249.3,15.88
2.35,10.13,126.04,-246.28,15.69
2.36,9.55,126.71,-242.97,15.55
2.36,8.94,126.93,-239.97,15.49
2.36,8.9,126.93,-237.71,15.56
2.36,8.97,126.93,-236.42,15.75
2.35,9.97,127.37,-235.96,15.99
2.34,10.79,127.37,-236.03,16.19
2.34,11.75,127.37,-236.37,16.22
2.32,12.31,127.15,-236.94,16.11
2.31,13.01,127.15,-237.78,15.95
2.3,13.86,127.15,-238.91,15.83
2.29,14.98,127.15,-240.03,15.75
2.29,16.17,127.15,-240.87,15.65
2.29,17.23,127.15,-241.27,15.52
2.3,17.68,127.15,-241.42,15.38
2.31,17.78,127.15,-241.64,15.28
2.32,17.49,127.15,-242.22,15.23
2.33,17.06,127.37,-243.3,15.22
2.34,16.51,127.82,-244.9,15.24
2.35,16.11,127.82,-246.81,15.26
2.35,15.52,127.82,-248.71,15.28
2.35,14.93,128.04,-250.11,15.28
2.35,14.49,128.26,-250.74,15.28
2.34,14.08,128.26,-250.57,15.26
2.33,13.52,128.04,-250.05,15.17
2.33,12.92,127.82,-249.67,15.01
2.31,12.69,127.82,-249.8,14.82
2.3,12.32,127.82,-250.33,14.62
2.29,12.4,128.26,-250.9,14.44
2.29,12.35,128.7,-251.29,14.31
2.29,12.75,129.15,-251.39,14.29
2.29,12.82,129.15,-251.31,14.35
2.29,12.91,129.15,-251.13,14.47
2.29,12.95,129.15,-251,14.59
2.29,13.17,128.93,-251.1,14.68
2.29,13.42,128.7,-251.43,14.72
2.29,13.72,128.93,-251.82,14.72
2.29,14.23,128.7,-251.89,14.71
2.3,14.79,128.7,-251.44,14.72
2.31,15.6,128.7,-250.53,14.74
2.31,16.28,128.48,-249.55,14.8
2.31,16.98,128.26,-248.98,14.88
2.31,18.05,127.59,-248.99,15.01
2.31,18.41,127.37,-249.39,15.15
2.3,18.89,127.15,-249.69,15.28
2.3,18.66,127.15,-249.42,15.34
2.29,18.91,127.15,-248.51,15.31
2.29,18.11,127.15,-247.2,15.21
2.28,17.41,127.59,-245.88,15.13
2.28,16.5,128.26,-244.7,15.11
2.27,16.18,128.26,-243.75,15.1
2.27,15.94,127.82,-243.05,15.04
2.27,15.22,128.04,-242.85,14.98
2.28,14.63,128.93,-243.35,14.94
2.29,14.77,129.15,-244.51,14.95
2.29,15.28,129.15,-245.9,15.01
2.3,16.01,129.37,-246.83,15.12
2.3,15.86,129.37,-246.88,15.22
2.3,16.17,129.37,-245.94,15.26
2.3,16.41,129.37,-244.49,15.23
2.3,16.32,129.37,-242.92,15.17
2.3,15.94,129.37,-241.8,15.16
2.29,14.85,129.15,-241.46,15.27
2.28,13.96,128.93,-242.15,15.43
2.27,12.16,128.7,-243.74,15.55
2.25,10.82,128.7,-245.82,15.62
2.24,9.6,128.7,-247.69,15.65
2.23,9.08,128.7,-248.81,15.71
2.23,8.74,128.48,-248.87,15.76
2.23,8.36,127.82,-248.03,15.77
2.24,8.02,127.15,-246.64,15.72
2.25,7.48,126.04,-245.21,15.63
2.26,6.9,125.15,-244.08,15.53
2.28,6.48,124.71,-243.5,15.47
2.31,6.28,124.26,-243.4,15.46
2.34,6.35,123.6,-243.67,15.49
2.36,6.53,123.82,-244.01,15.57
2.37,6.58,124.04,-244.1,15.72
2.39,6.42,124.26,-243.66,15.98
2.38,6.4,124.26,-242.59,16.33
2.37,6.56,124.93,-241.21,16.79
2.36,6.99,125.82,-240.03,17.29
2.34,7.31,127.15,-239.52,17.76
2.33,7.86,128.7,-239.74,18.14
2.3,8.23,129.15,-240.37,18.39
2.29,8.42,129.15,-241.06,18.52
2.28,8.13,129.15,-241.57,18.52
2.28,7.91,128.93,-241.88,18.35
2.29,7.81,128.93,-241.8,17.96
2.29,8.34,128.7,-241.17,17.34
2.3,8.83,128.26,-239.89,16.6
2.3,9.44,127.59,-238.34,15.92
2.31,9.85,127.15,-237.18,15.41
2.31,10.66,127.37,-237.07,15.07
2.32,11.9,127.59,-238.19,14.84
2.34,13.11,127.82,-240.11,14.7
2.35,14.4,127.59,-242.04,14.62
2.36,15.3,127.59,-243.32,14.56
2.36,16.14,127.59,-243.78,14.5
2.36,16.49,127.59,-243.75,14.42
2.37,16.53,128.04,-243.74,14.36
2.38,16,128.04,-244.09,14.34
2.4,15.31,127.82,-244.71,14.36
2.41,14.66,127.82,-245.24,14.37
2.44,14.19,128.48,-245.41,14.38
2.45,13.37,129.15,-245.22,14.42
2.46,12.31,129.37,-244.9,14.52
2.46,11.34,129.59,-244.72,14.7
2.46,10.73,129.81,-244.74,14.98
2.46,10.41,130.48,-244.99,15.4
2.46,10.23,131.37,-245.48,15.95
2.45,9.93,132.92,-246.22,16.63
2.43,9.63,134.25,-247.14,17.42
2.41,9.31,134.92,-248.07,18.35
2.4,8.79,135.36,-248.82,19.38
2.38,8.02,135.81,-249.27,20.41
2.37,7.16,136.03,-249.4,21.27
2.36,6.64,136.03,-249.34,21.84
2.36,6.56,136.25,-249.2,22.01
2.36,6.64,136.25,-248.95,21.84
2.36,6.84,136.25,-248.37,21.41
2.36,6.5,136.25,-247.19,20.9
2.37,6.07,136.03,-245.44,20.41
2.37,5.51,135.59,-243.53,20.03
2.37,5.32,134.48,-242.06,19.73
2.38,5.17,133.14,-241.4,19.43
2.38,5.5,131.59,-241.6,19.12
2.4,5.93,130.7,-242.35,18.89
2.4,6.49,130.26,-243.32,18.81
2.4,6.48,129.81,-244.18,18.89
2.4,6.39,129.37,-244.74,19.04
2.39,6.38,129.37,-244.98,19.17
2.38,6.55,129.59,-245.08,19.2
2.37,6.99,129.81,-245.18,19.18
2.37,7.31,129.81,-245.23,19.13
2.36,7.66,129.59,-245.04,19.13
2.35,7.79,129.15,-244.48,19.22
2.33,7.49,128.93,-243.73,19.37
2.31,6.86,129.59,-243.11,19.54
2.3,6.07,130.26,-243.01,19.66
2.29,5.39,130.26,-243.61,19.67
2.28,4.89,130.26,-244.83,19.55
2.27,4.46,130.26,-246.46,19.29
2.26,4.27,130.26,-248.22,18.9
2.26,4.15,130.26,-249.83,18.36
