Depth,Den,Ng,Cal,SP,Res
106.95,0,10.27,211.95,-556.24,14.59
107,0,9.72,211.73,-556.07,14.07
107.05,0,9,211.51,-555.92,13.54
107.1,0,8.75,211.07,-555.8,13.11
107.15,0,8.75,210.4,-555.69,12.77
107.2,0,8.9,209.73,-555.61,12.54
107.25,0,8.73,208.62,-555.56,12.35
107.3,0,8.73,208.18,-555.52,12.2
107.35,0,8.69,207.96,-555.51,12.11
107.4,0,8.68,207.96,-555.53,12.06
107.45,0,8.28,208.18,-555.56,12.06
107.5,0,7.79,208.4,-555.61,12.07
107.55,0,7.61,208.62,-555.68,12.11
107.6,0,7.48,208.62,-555.76,12.2
107.65,0,7.42,208.4,-555.84,12.36
107.7,0,6.78,208.4,-555.92,12.56
107.75,0,6.04,208.85,-555.99,12.79
107.8,0,5.36,209.51,-556.05,13.03
107.85,0,5.08,210.62,-556.09,13.26
107.9,0,5.09,210.84,-556.1,13.43
107.95,0,5.03,211.07,-556.11,13.56
108,0,5.03,211.07,-556.1,13.62
108.05,0,5.21,211.29,-556.09,13.64
108.1,0,5.45,211.29,-556.08,13.59
108.15,0,5.73,211.29,-556.08,13.49
108.2,0,5.84,210.84,-556.09,13.36
108.25,0,5.91,210.62,-556.14,13.24
108.3,0,6.15,210.62,-556.2,13.16
108.35,0,6.41,210.62,-556.29,13.16
108.4,0,6.71,210.84,-556.39,13.27
108.45,0,6.83,211.73,-556.49,13.5
108.5,0,6.71,213.06,-556.57,13.85
108.55,0,6.51,215.51,-556.64,14.28
108.6,0,6.24,216.62,-556.69,14.7
108.65,0,6.15,216.84,-556.72,14.96
108.7,0,5.88,217.28,-556.73,15.05
108.75,0,5.61,217.73,-556.73,14.98
108.8,0,5.5,218.39,-556.72,14.85
108.85,0,5.42,218.39,-556.69,14.75
108.9,0,5.38,217.73,-556.64,14.76
108.95,0,5.16,216.39,-556.57,14.94
109,0,5.31,216.17,-556.48,15.14
109.05,0,5.49,217.73,-556.39,15.18
109.1,0,5.96,219.95,-556.3,14.85
109.15,0,6.09,223.05,-556.23,14.32
109.2,0,6.41,224.16,-556.19,13.72
109.25,0,6.5,222.61,-556.19,13.3
109.3,0,6.98,219.06,-556.22,13.01
109.35,0,7.3,217.5,-556.29,12.91
109.4,0,7.66,216.39,-556.38,12.95
109.45,0,7.99,216.17,-556.48,13.15
109.5,0,8.93,216.17,-556.58,13.46
109.55,0,9.98,216.84,-556.66,13.89
109.6,0,10.58,217.73,-556.72,14.32
109.65,0,10.71,219.95,-556.77,14.65
109.7,0,10.66,221.28,-556.81,14.77
109.75,0,11.08,221.5,-556.83,14.74
109.8,0,11.15,221.06,-556.86,14.65
109.85,0,11.24,220.61,-556.88,14.6
109.9,0,10.88,220.39,-556.89,14.63
109.95,0,10.62,220.61,-556.89,14.72
110,0,10.1,220.83,-556.88,14.84
110.05,0,9.75,221.06,-556.86,14.92
110.1,0,8.77,221.5,-556.83,14.95
