Depth,Den,Ng,Cal,SP,Res
56.35,2.37,15.05,126.26,-210.03,10.77
56.4,2.36,15.03,126.26,-209.69,10.35
56.45,2.35,14.82,126.04,-209.11,9.93
56.5,2.34,14.57,125.6,-208.4,9.63
56.55,2.33,14.08,125.15,-207.7,9.59
56.6,2.33,13.33,124.71,-207.18,9.74
56.65,2.32,12.48,123.82,-206.88,10.05
56.7,2.32,11.56,122.71,-206.82,10.49
56.75,2.32,11.01,122.04,-207.03,11.02
56.8,2.32,10.51,121.6,-207.55,11.6
56.85,2.33,10.51,120.93,-208.41,12.23
56.9,2.33,10.4,120.93,-209.59,12.91
56.95,2.33,10.38,120.71,-210.92,13.73
57,2.33,10.16,120.49,-212.22,14.75
57.05,2.35,10.31,120.71,-213.29,15.97
57.1,2.36,10.49,120.49,-214.06,17.33
57.15,2.38,10.56,120.27,-214.54,18.53
57.2,2.39,10.81,120.05,-214.8,19.41
57.25,2.4,11.07,120.05,-214.9,19.8
57.3,2.42,11.38,119.82,-214.89,19.82
57.35,2.43,11.09,119.82,-214.78,19.51
57.4,2.43,10.69,119.82,-214.55,19.05
57.45,2.44,10.36,119.82,-214.21,18.67
57.5,2.45,10.21,120.05,-213.79,18.67
57.55,2.46,10.51,120.49,-213.4,19.04
57.6,2.47,10.75,120.71,-213.15,19.7
57.65,2.47,11.05,121.16,-213.14,20.4
57.7,2.46,10.96,121.82,-213.34,21.05
57.75,2.46,11.4,122.04,-213.67,21.58
57.8,2.44,11.87,122.27,-214.06,21.98
57.85,2.42,12.46,122.49,-214.46,22.31
57.9,2.4,12.67,122.71,-214.91,22.64
57.95,2.38,13.22,122.93,-215.43,22.82
58,2.37,13.78,122.93,-215.98,22.68
58.05,2.35,14.2,122.49,-216.35,21.82
58.1,2.34,14,122.27,-216.24,20.46
58.15,2.33,13.64,122.04,-215.36,18.83
58.2,2.32,13.73,122.49,-213.84,17.44
58.25,2.31,13.67,123.82,-212.02,16.43
58.3,2.31,13.68,124.93,-210.63,15.77
58.35,2.31,13.47,126.04,-210.03,15.29
58.4,2.3,13.23,127.15,-210.32,14.81
58.45,2.3,12.94,128.48,-211,14.14
58.5,2.3,12.43,129.37,-211.55,13.4
58.55,2.31,11.88,128.93,-211.65,12.56
58.6,2.31,11.26,128.48,-211.4,11.85
58.65,2.32,10.63,127.59,-211.17,11.25
58.7,2.32,10.18,126.71,-211.25,10.85
58.75,2.33,9.76,126.93,-211.74,10.61
58.8,2.33,8.99,128.26,-212.48,10.47
58.85,2.33,8.55,129.59,-213.22,10.41
58.9,2.34,8.11,130.7,-213.77,10.39
58.95,2.35,7.53,131.37,-214.13,10.43
59,2.37,6.93,131.59,-214.3,10.47
59.05,2.38,6.29,131.81,-214.23,10.5
59.1,2.4,7.04,132.7,-213.75,10.47
59.15,2.41,8.27,133.14,-212.81,10.41
59.2,2.41,9.86,133.59,-211.65,10.35
59.25,2.4,11.03,134.03,-210.62,10.35
59.3,2.4,11.78,134.03,-209.95,10.42
59.35,2.41,12.36,133.81,-209.61,10.56
59.4,2.42,12.43,133.37,-209.43,10.73
59.45,2.43,11.96,132.48,-209.31,10.88
59.5,2.43,11.28,131.15,-209.31,11
59.55,2.42,10.85,130.26,-209.54,11.09
59.6,2.41,10.83,130.04,-210.03,11.17
59.65,2.4,10.93,130.04,-210.68,11.28
59.7,2.39,10.55,130.04,-211.27,11.4
59.75,2.39,9.7,130.04,-211.63,11.55
59.8,2.38,8.65,130.04,-211.76,11.71
59.85,2.38,7.87,129.81,-211.91,11.88
59.9,2.37,7.3,129.81,-212.3,12.08
59.95,2.37,6.84,129.81,-213.11,12.34
60,2.37,6.43,130.04,-214.28,12.62
60.05,2.37,6.45,130.48,-215.68,12.85
60.1,2.36,6.58,130.7,-217.09,12.95
60.15,2.36,6.81,130.92,-218.33,12.94
60.2,2.35,6.88,130.7,-219.17,12.92
60.25,2.35,6.94,130.48,-219.5,12.97
60.3,2.34,6.76,130.48,-219.35,13.18
60.35,2.34,6.54,130.48,-218.98,13.45
60.4,2.35,7.26,130.7,-218.6,13.68
60.45,2.36,8.36,131.81,-218.36,13.68
60.5,2.36,9.72,133.59,-218.27,13.5
60.55,2.36,10.82,135.36,-218.39,13.25
60.6,2.36,11.91,135.14,-218.81,13.04
60.65,2.36,12.95,134.03,-219.66,12.87
60.7,2.37,13.17,132.48,-220.83,12.74
60.75,2.39,13.22,131.37,-222.08,12.63
60.8,2.4,13.28,130.04,-222.96,12.5
60.85,2.41,13.3,129.37,-223.22,12.32
60.9,2.42,13.32,129.15,-222.8,12.05
60.95,2.43,12.92,128.04,-221.91,11.77
61,2.43,11.65,126.71,-220.74,11.51
61.05,2.43,10.11,125.6,-219.51,11.33
61.1,2.43,8.55,124.71,-218.41,11.2
61.15,2.43,7.53,124.49,-217.73,11.14
61.2,2.43,6.62,124.04,-217.56,11.14
61.25,2.42,6.03,123.82,-217.92,11.21
61.3,2.42,6.13,123.6,-218.64,11.38
61.35,2.41,6.43,123.38,-219.63,11.68
61.4,2.4,6.51,123.38,-220.72,12.11
61.45,2.39,6.59,123.6,-221.71,12.44
61.5,2.38,6.62,124.49,-222.36,12.53
61.55,2.37,7.24,124.93,-222.55,12.29
61.6,2.36,7.77,124.49,-222.22,11.96
61.65,2.36,8.8,123.82,-221.48,11.72
61.7,2.35,9.32,123.38,-220.48,11.61
61.75,2.35,9.82,122.93,-219.49,11.61
61.8,2.36,9.63,122.93,-218.67,11.71
61.85,2.36,9.29,123.6,-218.05,12.02
61.9,2.37,8.78,125.15,-217.5,12.47
61.95,2.37,8.42,136.03,-216.94,12.95
62,2.37,8.24,137.36,-216.33,13.13
62.05,2.38,8.13,130.04,-215.83,12.92
62.1,2.38,8.47,131.15,-215.46,12.42
62.15,2.37,8.72,131.37,-215.23,11.94
62.2,2.36,9.04,130.7,-214.94,11.67
62.25,2.36,8.95,129.37,-214.59,11.65
62.3,2.35,9,128.48,-214.3,11.81
62.35,2.35,8.99,127.82,-214.43,12.01
62.4,2.34,9.2,127.82,-215.02,12.23
62.45,2.32,9.44,128.04,-215.92,12.39
62.5,2.31,10.13,128.48,-216.67,12.58
