Depth,Den,Ng,Cal,SP,Res
56.55,2.42,14.46,160.67,-149.28,18
56.6,2.43,13.87,161.78,-150.14,17.37
56.65,2.44,13.87,164.89,-150.53,16.95
56.7,2.45,14.15,168.89,-150.36,16.84
56.75,2.47,14.6,172.66,-149.79,16.95
56.8,2.48,14.55,171.55,-149.26,17.35
56.85,2.49,14.43,168.22,-149.22,17.91
56.9,2.48,14,168,-149.85,18.75
56.95,2.48,13.69,168.66,-151.14,19.83
57,2.47,13.34,170.88,-152.7,21.44
57.05,2.46,13.2,172.88,-154.09,23.44
57.1,2.45,13.11,170.66,-154.91,25.85
57.15,2.44,13.46,165.78,-155.03,27.99
57.2,2.42,13.71,164.22,-154.58,29.47
57.25,2.41,14.04,163.34,-153.88,29.96
57.3,2.4,14.15,163.34,-153.29,29.66
57.35,2.4,14.44,162.89,-153.07,29.14
57.4,2.4,14.92,162.45,-153.3,28.71
57.45,2.41,15.27,161.78,-153.93,28.56
57.5,2.41,15.64,161.34,-154.76,28.38
57.55,2.41,15.58,160.67,-155.59,28.06
57.6,2.41,15.44,160.23,-156.23,27.45
57.65,2.41,15.21,160.01,-156.64,26.67
57.7,2.41,14.53,159.78,-156.83,25.69
57.75,2.41,13.75,159.78,-156.91,24.77
57.8,2.4,13.26,159.78,-156.92,23.95
57.85,2.4,12.8,160.01,-156.93,23.32
57.9,2.4,12.21,160.01,-156.97,22.74
57.95,2.41,11.2,160.23,-157.07,22.12
58,2.41,10.48,160.45,-157.2,21.46
58.05,2.41,9.74,160.89,-157.18,20.81
58.1,2.41,9.04,161.78,-156.74,20.26
58.15,2.41,8.76,162.67,-155.7,19.8
58.2,2.41,8.76,161.56,-154.16,19.43
58.25,2.42,8.9,159.78,-152.48,19.05
58.3,2.42,9.13,158.9,-151.22,18.62
58.35,2.43,9.41,159.34,-150.74,18.13
58.4,2.44,9.11,160.23,-151.13,17.61
58.45,2.44,8.9,159.78,-152.18,17.24
58.5,2.44,8.6,156.68,-153.65,17.11
58.55,2.43,9.3,154.9,-155.28,17.26
58.6,2.43,9.78,154.01,-156.92,17.56
58.65,2.41,10.62,154.01,-158.36,17.89
58.7,2.4,11.08,154.01,-159.37,18.2
58.75,2.4,11.34,153.79,-159.7,18.45
58.8,2.39,11.08,153.79,-159.31,18.62
58.85,2.38,10.69,153.79,-158.39,18.66
58.9,2.37,10.35,153.57,-157.31,18.58
58.95,2.37,10.01,153.35,-156.42,18.34
59,2.36,9.67,152.9,-155.82,18.06
59.05,2.36,9.14,152.68,-155.35,17.91
59.1,2.36,8.76,152.46,-154.81,18
59.15,2.36,8.18,152.46,-154.15,18.3
59.2,2.36,7.79,152.24,-153.49,18.59
59.25,2.36,7.19,152.24,-153.05,18.74
