Depth,Den,Ng,Cal,SP,Res
59.3,2.36,6.8,152.24,-153,18.75
59.35,2.36,6.8,152.24,-153.43,18.81
59.4,2.36,7.92,152.24,-154.25,19
59.45,2.36,9.34,152.24,-155.36,19.25
59.5,2.37,11.05,152.24,-156.52,19.33
59.55,2.37,12.28,152.24,-157.58,19.18
59.6,2.38,13.67,152.46,-158.52,18.96
59.65,2.38,14.59,152.46,-159.41,18.95
59.7,2.39,15.05,152.46,-160.36,19.25
59.75,2.39,15.33,152.46,-161.37,19.67
59.8,2.39,15.48,152.46,-162.3,19.91
59.85,2.4,16.16,152.68,-162.95,19.81
59.9,2.4,16.73,152.9,-163.17,19.57
59.95,2.4,17.38,153.12,-162.98,19.47
60,2.39,17.42,153.79,-162.46,19.82
60.05,2.39,17.16,154.46,-161.76,20.52
60.1,2.38,16.72,154.68,-161.03,21.39
60.15,2.37,16.98,154.46,-160.39,22.16
60.2,2.37,17.34,154.46,-160,22.72
60.25,2.37,17.66,154.23,-159.9,23.11
60.3,2.36,17.4,154.46,-160.1,23.4
60.35,2.35,17.41,154.68,-160.51,23.63
60.4,2.35,17.36,154.68,-161.01,23.77
60.45,2.34,17.36,154.68,-161.49,23.67
60.5,2.35,16.74,154.9,-161.92,23.28
60.55,2.35,16.02,154.9,-162.31,22.65
60.6,2.35,15.15,154.9,-162.63,22
60.65,2.35,14.63,154.9,-162.87,21.44
60.7,2.34,14.16,154.9,-162.93,20.96
60.75,2.34,13.76,154.9,-162.79,20.45
60.8,2.33,13.18,154.9,-162.46,19.92
60.85,2.33,12.99,154.68,-162.08,19.44
60.9,2.32,12.83,154.68,-161.88,19.11
60.95,2.33,12.77,154.9,-162.07,18.9
61,2.34,12.12,155.12,-162.74,18.72
61.05,2.34,11.78,155.57,-163.69,18.56
61.1,2.35,11.58,155.79,-164.6,18.54
61.15,2.37,11.67,155.79,-165.11,18.7
61.2,2.38,11.25,155.79,-165.07,19.07
61.25,2.38,10.78,156.01,-164.47,19.52
61.3,2.38,10.21,156.01,-163.55,20.15
61.35,2.38,10.2,156.01,-162.53,20.89
61.4,2.39,10.28,156.01,-161.69,21.7
61.45,2.39,10.7,156.23,-161.14,22.36
61.5,2.39,10.8,156.45,-161.04,22.81
61.55,2.39,10.9,156.23,-161.35,23.1
61.6,2.39,10.94,156.23,-162.06,23.35
61.65,2.39,10.77,156.45,-162.87,23.64
61.7,2.39,10.54,156.45,-163.5,23.91
61.75,2.39,10.46,156.68,-163.55,24.02
61.8,2.39,10.8,156.68,-162.93,23.94
61.85,2.4,11.25,156.9,-161.64,23.65
61.9,2.4,12.21,156.9,-160.01,23.28
61.95,2.39,12.89,157.34,-158.33,22.88
62,2.39,14.22,157.34,-156.94,22.55
62.05,2.4,15.02,157.56,-155.98,22.33
62.1,2.4,16.25,157.56,-155.48,22.26
62.15,2.41,17.05,157.56,-155.42,22.32
62.2,2.4,17.86,157.79,-155.78,22.46
62.25,2.4,18.38,158.01,-156.63,22.6
62.3,2.39,18.25,158.23,-157.93,22.73
62.35,2.39,17.93,158.23,-159.62,22.9
62.4,2.38,17.24,158.23,-161.47,23.27
62.45,2.37,16.83,158.23,-163.32,23.86
62.5,2.38,15.41,158.23,-164.93,24.57
62.55,2.38,14.25,158.23,-166.16,25.16
62.6,2.38,12.93,158.01,-166.93,25.58
62.65,2.38,12.64,157.79,-167.27,25.77
62.7,2.38,12.11,157.56,-167.34,25.82
62.75,2.38,11.95,157.34,-167.25,25.82
62.8,2.37,11.81,156.9,-167.11,25.89
62.85,2.37,12.35,156.45,-166.92,26.09
62.9,2.37,13.03,156.01,-166.62,26.4
62.95,2.36,13.88,155.57,-166.1,26.62
63,2.36,14.58,155.12,-165.31,26.6
63.05,2.36,15.49,154.9,-164.25,26.31
63.1,2.37,16.42,154.9,-163.03,25.88
63.15,2.37,16.98,154.68,-161.81,25.47
63.2,2.37,16.48,154.46,-160.74,25.2
63.25,2.37,15.89,154.01,-159.93,25.07
63.3,2.38,15.27,153.79,-159.44,25.06
63.35,2.39,15.23,153.35,-159.27,25.16
63.4,2.4,14.7,153.35,-159.41,25.3
63.45,2.41,14.19,153.12,-159.96,25.45
63.5,2.42,13.78,153.12,-160.94,25.5
63.55,2.43,13.59,153.12,-162.31,25.51
63.6,2.44,13.47,152.9,-163.78,25.51
63.65,2.45,13.21,152.9,-165.1,25.56
63.7,2.46,13.34,152.9,-166.08,25.62
63.75,2.47,13.51,153.12,-166.72,25.63
63.8,2.48,13.77,153.12,-166.98,25.54
63.85,2.49,14.46,153.12,-166.85,25.27
63.9,2.5,14.85,154.01,-166.28,24.84
63.95,2.51,15.26,154.68,-165.38,24.4
64,2.51,15.42,155.12,-164.23,24.3
64.05,2.51,16.14,155.34,-163,24.65
64.1,2.51,16.91,155.79,-161.81,25.41
64.15,2.52,17.41,156.23,-160.88,26.26
64.2,2.52,17.66,156.68,-160.33,27.17
64.25,2.52,17.82,157.34,-160.32,28.08
64.3,2.52,18.3,158.01,-160.72,28.96
64.35,2.52,18.82,158.9,-161.4,29.6
64.4,2.51,19.42,159.34,-162.13,29.92
64.45,2.49,19.05,160.23,-162.81,30.03
64.5,2.47,18.5,161.34,-163.35,30.16
64.55,2.45,17.71,163.11,-163.72,30.38
64.6,2.44,17.04,164,-163.84,30.66
64.65,2.43,16.15,164.67,-163.67,30.83
64.7,2.43,15.24,164.45,-163.22,30.63
64.75,2.42,14.68,164.45,-162.66,29.97
64.8,2.41,14.38,164.67,-162.24,28.76
64.85,2.4,14.01,164.89,-162.21,27.34
64.9,2.39,13.68,164.89,-162.59,25.74
64.95,2.39,13.54,165.11,-163.21,24.27
65,2.39,13.24,165.33,-163.57,22.91
65.05,2.4,12.96,165.78,-163.27,21.9
65.1,2.41,12.64,166,-161.98,21.21
65.15,2.41,12.52,166.89,-159.93,20.81
65.2,2.41,12.43,167.33,-157.51,20.51
65.25,2.41,11.99,168,-155.48,20.24
65.3,2.41,11.88,168.66,-154.2,20.1
65.35,2.41,11.58,169.11,-153.92,20.25
65.4,2.41,11.49,169.33,-154.41,20.75
65.45,2.41,10.81,169.33,-155.34,21.35
65.5,2.41,10.06,169.33,-156.39,21.85
65.55,2.42,9.18,169.33,-157.46,22.04
65.6,2.42,8.85,169.11,-158.6,21.96
65.65,2.41,8.8,168.89,-159.97,21.69
65.7,2.41,8.93,168.89,-161.55,21.41
65.75,2.4,9.15,168.89,-163.12,21.18
65.8,2.4,9.42,168.66,-164.3,20.95
65.85,2.39,9.51,168.44,-164.83,20.54
65.9,2.39,9.39,168.22,-164.74,19.95
65.95,2.39,9.58,168,-164.32,19.24
66,2.39,10.19,167.33,-163.85,18.62
66.05,2.39,10.96,166.22,-163.5,18.21
66.1,2.4,11.83,166.44,-163.28,18.12
66.15,2.4,12.96,166.67,-163.2,18.31
66.2,2.4,14.16,166.44,-163.24,18.67
66.25,2.4,14.82,166.44,-163.41,19.04
66.3,2.4,15.2,166.22,-163.67,19.29
66.35,2.4,15.4,166,-163.98,19.47
66.4,2.41,15.92,166,-164.25,19.7
66.45,2.41,16.47,165.56,-164.44,20
66.5,2.42,16.68,164.45,-164.49,20.33
66.55,2.43,16.63,163.11,-164.34,20.58
66.6,2.43,16.06,161.34,-163.92,20.77
66.65,2.43,15.54,160.89,-163.18,20.89
66.7,2.43,14.92,160.45,-162.25,20.98
66.75,2.43,14.49,160.01,-161.27,20.99
66.8,2.43,14.28,159.56,-160.43,21
66.85,2.42,14.16,159.12,-159.91,21.07
66.9,2.42,14.09,158.9,-159.89,21.37
66.95,2.42,14.05,159.12,-160.5,21.86
67,2.41,14.03,159.34,-161.61,22.45
67.05,2.41,14.02,158.9,-162.92,22.93
67.1,2.4,14.21,158.01,-163.9,24.73
67.15,2.39,14.25,156.45,-164.4,26.73
67.2,2.39,14.29,156.01,-164.46,27.69
67.25,2.39,14.11,155.57,-164.5,27.1
67.3,2.38,13.88,155.12,-164.76,25.97
67.35,2.38,13.6,154.68,-165.41,25.73
67.4,2.38,13.3,154.68,-166.26,25.47
67.45,2.38,13.18,154.46,-167.15,25.17
67.5,2.38,13.1,154.23,-167.83,24.61
67.55,2.38,13.06,154.01,-168.27,23.67
67.6,2.38,13.03,153.57,-168.45,22.4
67.65,2.38,13.02,152.9,-168.07,21.05
67.7,2.39,13.01,152.24,-167.04,19.89
67.75,2.39,13.21,151.79,-165.21,19.24
67.8,2.4,13.64,151.35,-163.67,19.19
67.85,2.4,14.17,151.35,-162.72,19.61
67.9,2.4,14.76,151.35,-162.86,20.28
67.95,2.4,15.39,151.35,-163.18,21.05
68,2.4,16.03,151.13,-163.6,21.96
68.05,2.41,16.28,150.68,-163.89,22.97
68.1,2.41,16.46,150.02,-164.37,24.14
68.15,2.42,16.55,149.57,-164.99,25.32
68.2,2.43,16.8,149.13,-165.63,26.41
68.25,2.44,16.67,148.91,-166.05,26.96
68.3,2.44,16.69,148.91,-166.13,26.88
68.35,2.45,16.67,148.91,-165.83,26.33
68.4,2.45,16.27,148.46,-165.31,25.6
68.45,2.45,15.39,148.68,-164.79,24.88
68.5,2.45,14.33,149.35,-164.6,24.13
68.55,2.45,13.94,150.24,-164.81,23.41
68.6,2.46,13.66,151.35,-165.33,22.68
68.65,2.46,13.52,151.79,-165.65,21.94
68.7,2.46,13.44,152.24,-165.45,21.22
68.75,2.46,13.79,152.68,-164.59,20.64
68.8,2.45,14.65,153.35,-163.41,20.3
68.85,2.45,15.49,153.79,-162.48,20.33
68.9,2.44,16.43,154.01,-162.26,20.79
68.95,2.43,17.58,153.79,-162.9,21.49
69,2.43,18.8,153.79,-164.09,22.18
69.05,2.43,20.08,153.79,-165.37,22.59
69.1,2.43,20.58,154.01,-166.28,22.76
69.15,2.42,20.93,154.23,-166.75,22.82
69.2,2.41,21.3,154.46,-166.92,22.87
69.25,2.41,21.65,154.9,-167.07,22.85
69.3,2.41,21.99,155.57,-167.24,22.64
69.35,2.41,21.53,155.79,-167.32,22.28
69.4,2.41,21.1,156.23,-167.11,21.97
69.45,2.42,20.53,156.45,-166.62,21.82
69.5,2.42,19.93,157.12,-165.98,21.83
69.55,2.43,18.89,157.79,-165.46,21.96
69.6,2.43,17.76,158.9,-165.21,22.16
69.65,2.43,16.73,159.78,-165.29,22.4
69.7,2.44,16.5,160.01,-165.7,22.59
69.75,2.44,16.45,159.56,-166.49,22.65
69.8,2.44,16.39,159.78,-167.61,22.57
69.85,2.43,15.77,160.45,-169,22.37
69.9,2.42,15.03,161.12,-170.34,22.12
69.95,2.42,15.16,160.89,-171.43,21.9
70,2.42,15.24,160.01,-172.17,21.81
70.05,2.41,15.88,159.78,-172.68,21.93
70.1,2.4,16.02,160.23,-173.14,22.19
70.15,2.39,16.78,159.78,-173.61,22.58
70.2,2.38,17.36,158.9,-174.04,22.95
70.25,2.39,18.03,158.01,-174.32,23.29
70.3,2.39,18.68,156.9,-174.32,23.59
70.35,2.4,19.54,155.57,-174,23.95
70.4,2.4,20.44,154.23,-173.36,24.28
70.45,2.42,21.2,153.79,-172.58,24.44
70.5,2.43,21.33,153.35,-171.85,24.35
70.55,2.45,21.51,152.68,-171.45,24.02
70.6,2.46,21.57,152.24,-171.51,23.6
70.65,2.47,21.81,152.24,-171.96,23.26
70.7,2.48,21.68,152.68,-172.56,23.36
70.75,2.48,21.5,152.68,-172.97,24
70.8,2.49,21.24,152.9,-173,24.86
70.85,2.49,20.55,152.9,-172.57,25.5
70.9,2.49,19.76,151.35,-171.81,25.74
70.95,2.49,18.86,150.02,-170.82,25.78
71,2.48,18.52,149.57,-169.78,25.8
71.05,2.47,17.88,149.13,-168.79,25.85
71.1,2.46,17.28,148.68,-167.97,25.99
71.15,2.44,16.63,148.46,-167.44,26.27
71.2,2.43,16.18,148.24,-167.36,26.72
71.25,2.42,15.76,148.02,-167.76,27.35
71.3,2.42,15.79,148.02,-168.63,27.93
71.35,2.41,15.71,147.8,-169.74,28.35
71.4,2.41,15.7,147.13,-170.92,28.37
71.45,2.4,15.48,146.69,-172,28.01
71.5,2.39,15.24,146.24,-172.96,27.27
71.55,2.39,14.94,145.35,-173.85,26.25
71.6,2.39,14.44,144.69,-174.7,25.18
71.65,2.4,14.28,143.58,-175.48,24.22
71.7,2.4,13.74,142.91,-176.09,23.57
71.75,2.41,13.2,142.25,-176.49,23.19
71.8,2.42,12.39,141.8,-176.63,23.11
71.85,2.42,11.92,141.36,-176.61,23.2
71.9,2.41,11.46,140.69,-176.51,23.36
71.95,2.41,11.28,140.03,-176.47,23.47
72,2.41,10.95,139.58,-176.54,23.62
72.05,2.42,10.65,139.36,-176.73,24.01
72.1,2.42,10.32,139.36,-177.07,24.8
72.15,2.44,10.39,139.58,-177.51,25.83
72.2,2.44,10.74,139.8,-177.96,26.73
72.25,2.45,11.23,140.25,-178.24,27.21
72.3,2.45,11.79,141.14,-178.24,27.26
72.35,2.46,12.2,142.02,-178.03,27.16
72.4,2.47,12.6,142.69,-177.85,27.06
72.45,2.48,12.16,142.69,-177.93,27.06
72.5,2.49,11.75,142.69,-178.29,27.11
72.55,2.49,11.18,142.69,-178.77,27.25
72.6,2.5,11.59,142.69,-179.13,27.5
72.65,2.5,11.95,142.25,-179.24,27.78
72.7,2.49,12.11,142.25,-179.15,28.02
72.75,2.48,11.81,142.69,-179,28.06
72.8,2.48,11.38,142.47,-178.87,27.91
72.85,2.48,11.64,142.47,-178.78,27.66
72.9,2.47,12.01,142.25,-178.76,27.53
72.95,2.48,12.73,142.91,-178.84,27.51
73,2.47,13.55,143.58,-179.06,27.53
73.05,2.47,14.46,143.36,-179.35,27.43
73.1,2.46,15.4,142.91,-179.68,27.98
73.15,2.46,15.77,141.36,-179.94,28.49
73.2,2.47,16.63,139.8,-180.09,28.26
73.25,2.47,17.28,138.69,-180.05,27.02
73.3,2.48,18.38,138.47,-179.76,25.45
73.35,2.5,19.13,138.69,-179.12,24.46
73.4,2.51,19.9,138.69,-178.2,23.6
73.45,2.52,20.21,138.69,-177.15,22.94
73.5,2.53,20.02,138.47,-176.36,22.43
73.55,2.53,19.65,138.03,-176.09,22.24
73.6,2.53,19.33,137.36,-176.49,22.36
73.65,2.52,18.8,136.92,-177.38,22.65
73.7,2.51,18.43,136.47,-178.52,22.92
73.75,2.49,18.04,136.25,-179.66,23.07
73.8,2.46,17.69,136.25,-180.69,23.16
73.85,2.44,17.15,136.25,-181.54,23.28
73.9,2.43,16.37,136.47,-182.19,23.45
73.95,2.42,15.5,136.7,-182.61,23.62
74,2.41,14.57,136.47,-182.79,23.77
74.05,2.4,13.82,136.47,-182.71,23.93
74.1,2.39,13.88,136.25,-182.45,24.12
74.15,2.39,13.94,136.03,-182.17,24.29
74.2,2.38,14.16,136.03,-182.07,24.44
74.25,2.38,13.82,136.03,-182.28,24.62
74.3,2.38,13.4,135.81,-182.68,24.9
74.35,2.39,12.84,135.59,-183.08,25.16
74.4,2.4,12.65,135.59,-183.2,25.24
74.45,2.42,12.9,135.59,-183.02,24.97
74.5,2.43,13.31,135.59,-182.58,24.39
74.55,2.44,13.84,136.03,-182.1,23.61
74.6,2.45,14.43,136.47,-181.62,22.98
74.65,2.46,14.85,138.47,-181.18,22.79
74.7,2.47,15.06,141.14,-180.72,23.13
74.75,2.48,15.18,141.36,-180.24,24.01
74.8,2.48,15.65,136.25,-179.77,25.07
74.85,2.49,16.17,128.48,-179.3,26.28
74.9,2.5,16.36,127.59,-178.89,27.37
74.95,2.5,16.51,128.04,-178.65,28.54
75,2.5,16.57,127.37,-178.69,29.5
75.05,2.48,16.82,127.15,-179.06,30
75.1,2.47,16.88,129.37,-179.68,29.84
75.15,2.47,16.74,131.81,-180.34,29.3
75.2,2.47,16.52,133.37,-180.84,28.71
75.25,2.47,16.45,134.48,-181.07,27.97
75.3,2.46,16.6,135.14,-180.98,27.07
75.35,2.45,16.81,135.36,-180.71,26.12
75.4,2.44,17.08,135.36,-180.4,25.51
75.45,2.43,17.38,135.14,-180.28,25.33
75.5,2.42,17.69,134.92,-180.53,25.49
75.55,2.42,17.21,134.92,-181.19,25.85
75.6,2.43,16.58,134.7,-182.19,26.33
75.65,2.43,15.76,134.48,-183.22,26.89
75.7,2.43,15.47,134.48,-184,27.41
75.75,2.43,15.05,134.25,-184.2,27.83
75.8,2.43,14.5,134.48,-183.75,28.06
75.85,2.43,13.91,134.48,-182.71,28.16
75.9,2.43,13.48,134.48,-181.42,28.12
75.95,2.44,12.88,134.48,-180.13,27.91
76,2.44,12.27,134.48,-179.04,27.47
76.05,2.44,11.83,134.7,-178.05,28.01
76.1,2.44,12.02,134.7,-177.18,28.82
76.15,2.44,12.77,134.7,-176.46,29.09
76.2,2.45,13.56,134.48,-176.12,28.53
76.25,2.45,14.07,134.48,-176.29,27.95
76.3,2.45,14.33,134.48,-176.97,28.25
76.35,2.46,14.48,134.48,-177.91,28.35
76.4,2.46,14.56,134.7,-178.73,28.1
76.45,2.46,14.61,134.7,-178.97,27.31
76.5,2.47,14.83,134.92,-178.29,26.33
76.55,2.47,15.29,135.14,-176.63,25.4
76.6,2.46,15.42,135.59,-174.38,24.83
76.65,2.44,15.14,135.81,-172.07,24.54
76.7,2.4,14.71,135.81,-170.25,24.45
76.75,2.37,14.37,135.81,-169.24,24.54
76.8,2.35,13.62,135.81,-169.11,24.92
76.85,2.33,12.8,135.81,-169.77,25.61
76.9,2.32,11.88,135.81,-171.03,26.68
76.95,2.31,11.34,135.81,-172.72,27.79
77,2.3,10.84,135.81,-174.47,28.7
77.05,2.29,10.44,135.81,-175.95,28.93
77.1,2.29,10.06,135.59,-176.82,28.55
77.15,2.28,9.9,135.59,-177.1,27.66
77.2,2.3,9.79,135.36,-176.91,26.57
77.25,2.33,9.94,135.36,-176.61,25.5
77.3,2.36,9.75,135.36,-176.48,24.59
77.35,2.38,9.54,135.36,-176.71,23.88
77.4,2.39,9.26,135.36,-177.25,23.11
77.45,2.4,9.16,135.36,-177.83,22.21
77.5,2.41,9.28,135.14,-178.15,21.15
77.55,2.41,9.49,134.92,-178.02,20.29
77.6,2.41,9.95,134.92,-177.55,19.84
77.65,2.42,10.29,134.92,-176.89,19.93
77.7,2.43,10.65,134.92,-176.32,20.53
77.75,2.43,10.79,134.92,-176.08,21.35
77.8,2.43,11.49,135.14,-176.42,22.36
77.85,2.43,12.26,135.14,-177.38,23.45
77.9,2.43,12.95,135.36,-178.8,24.64
77.95,2.44,13.44,135.14,-180.22,25.64
78,2.44,13.88,135.14,-181.22,26.22
78.05,2.44,14.66,135.14,-181.47,26.48
78.1,2.45,14.91,134.92,-180.99,26.79
